candidate_cell_id,route_id,eligible_days,confirmed_state_days,confirmed_state_coverage,atomic_confirmed_interval_count
r2_s_pcvt_w120_qv30_primary__d3__g0,r2_s_pcvt_w120_qv30_primary,1601692,4564,0.00284948666784875,2177
r2_s_pcvt_w120_qv30_primary__d3__g1,r2_s_pcvt_w120_qv30_primary,1601692,4564,0.00284948666784875,2177
r2_s_pcvt_w120_qv30_primary__d3__g2,r2_s_pcvt_w120_qv30_primary,1601692,4564,0.00284948666784875,2177
r2_s_pcvt_w250_q20_shared__d1__g0,r2_s_pcvt_w250_q20_shared,1503366,2142,0.0014248027426455034,1023
r2_s_pcvt_w250_q20_shared__d1__g1,r2_s_pcvt_w250_q20_shared,1503366,2142,0.0014248027426455034,1023
r2_s_pcvt_w250_q20_shared__d1__g2,r2_s_pcvt_w250_q20_shared,1503366,2142,0.0014248027426455034,1023
r2_s_pcvt_w250_q20_shared__d2__g0,r2_s_pcvt_w250_q20_shared,1503366,2142,0.0014248027426455034,1023
r2_s_pcvt_w250_q20_shared__d2__g1,r2_s_pcvt_w250_q20_shared,1503366,2142,0.0014248027426455034,1023
r2_s_pcvt_w250_q20_shared__d2__g2,r2_s_pcvt_w250_q20_shared,1503366,2142,0.0014248027426455034,1023
r2_s_pcvt_w250_q20_shared__d3__g0,r2_s_pcvt_w250_q20_shared,1503366,2142,0.0014248027426455034,1023
r2_s_pcvt_w250_q20_shared__d3__g1,r2_s_pcvt_w250_q20_shared,1503366,2142,0.0014248027426455034,1023
r2_s_pcvt_w250_q20_shared__d3__g2,r2_s_pcvt_w250_q20_shared,1503366,2142,0.0014248027426455034,1023
r2_s_pcvt_w250_qv30_primary__d1__g0,r2_s_pcvt_w250_qv30_primary,1503366,3590,0.002387974718065993,1673
r2_s_pcvt_w250_qv30_primary__d1__g1,r2_s_pcvt_w250_qv30_primary,1503366,3590,0.002387974718065993,1673
r2_s_pcvt_w250_qv30_primary__d1__g2,r2_s_pcvt_w250_qv30_primary,1503366,3590,0.002387974718065993,1673
r2_s_pcvt_w250_qv30_primary__d2__g0,r2_s_pcvt_w250_qv30_primary,1503366,3590,0.002387974718065993,1673
r2_s_pcvt_w250_qv30_primary__d2__g1,r2_s_pcvt_w250_qv30_primary,1503366,3590,0.002387974718065993,1673
r2_s_pcvt_w250_qv30_primary__d2__g2,r2_s_pcvt_w250_qv30_primary,1503366,3590,0.002387974718065993,1673
r2_s_pcvt_w250_qv30_primary__d3__g0,r2_s_pcvt_w250_qv30_primary,1503366,3590,0.002387974718065993,1673
r2_s_pcvt_w250_qv30_primary__d3__g1,r2_s_pcvt_w250_qv30_primary,1503366,3590,0.002387974718065993,1673
r2_s_pcvt_w250_qv30_primary__d3__g2,r2_s_pcvt_w250_qv30_primary,1503366,3590,0.002387974718065993,1673
