candidate_cell_id,d,qualified_component_count,unqualified_component_count,retained_confirmed_day_ratio,retrospective_qualified_confirmed_coverage,asof_qualified_confirmed_coverage
r2_s_pcvt_w250_q20_shared__d1__g0,1,1023,0,1.0,0.0014248027426455034,0.0014248027426455034
r2_s_pcvt_w250_q20_shared__d1__g1,1,1023,0,1.0,0.0014248027426455034,0.0014248027426455034
r2_s_pcvt_w250_q20_shared__d1__g2,1,1023,0,1.0,0.0014248027426455034,0.0014248027426455034
r2_s_pcvt_w250_q20_shared__d2__g0,2,532,491,0.7707749766573296,0.001098202300703887,0.0007443297240991215
r2_s_pcvt_w250_q20_shared__d2__g1,2,532,491,0.7707749766573296,0.001098202300703887,0.0007443297240991215
r2_s_pcvt_w250_q20_shared__d2__g2,2,532,491,0.7707749766573296,0.001098202300703887,0.0007443297240991215
r2_s_pcvt_w250_q20_shared__d3__g0,3,275,748,0.530812324929972,0.0007563028563902603,0.000390457147494356
r2_s_pcvt_w250_q20_shared__d3__g1,3,275,748,0.530812324929972,0.0007563028563902603,0.000390457147494356
r2_s_pcvt_w250_q20_shared__d3__g2,3,275,748,0.530812324929972,0.0007563028563902603,0.000390457147494356
r2_s_pcvt_w250_qv30_primary__d1__g0,1,1673,0,1.0,0.002387974718065993,0.002387974718065993
r2_s_pcvt_w250_qv30_primary__d1__g1,1,1673,0,1.0,0.002387974718065993,0.002387974718065993
r2_s_pcvt_w250_qv30_primary__d1__g2,1,1673,0,1.0,0.002387974718065993,0.002387974718065993
r2_s_pcvt_w250_qv30_primary__d2__g0,2,869,804,0.7760445682451254,0.0018531748090617986,0.0012751385890062699
r2_s_pcvt_w250_qv30_primary__d2__g1,2,869,804,0.7760445682451254,0.0018531748090617986,0.0012751385890062699
r2_s_pcvt_w250_qv30_primary__d2__g2,2,869,804,0.7760445682451254,0.0018531748090617986,0.0012751385890062699
r2_s_pcvt_w250_qv30_primary__d3__g0,3,464,1209,0.5504178272980501,0.0013143838559605578,0.0006971023689507412
r2_s_pcvt_w250_qv30_primary__d3__g1,3,464,1209,0.5504178272980501,0.0013143838559605578,0.0006971023689507412
r2_s_pcvt_w250_qv30_primary__d3__g2,3,464,1209,0.5504178272980501,0.0013143838559605578,0.0006971023689507412
