formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,request_role,archetype,center_id,profile_type,state_or_step,year,partial_year,eligible_day_count,raw_state_day_count,confirmed_state_day_count,confirmed_year_share,delta,lift,selection_path_not_independently_confirmed
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,state,S_PCVT,2026,true,92069,230,60,0.020401224073444406,,,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,state,S_PCVT,2016,false,36246,197,49,0.010729143858112546,,,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,state,S_PCVT,2017,false,125380,1080,337,0.07379023428946792,,,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,state,S_PCVT,2018,false,137470,1309,353,0.077293628202321,,,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,state,S_PCVT,2019,false,148668,1845,508,0.11123275673308518,,,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,state,S_PCVT,2020,false,156039,1416,382,0.0836435296693672,,,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,state,S_PCVT,2021,false,166834,1699,461,0.10094153711407926,,,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,state,S_PCVT,2022,false,175725,2245,717,0.1569958397197285,,,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,state,S_PCVT,2023,false,183436,2460,706,0.154587256404642,,,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,state,S_PCVT,2024,false,188457,1086,284,0.06218524195314211,,,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,state,S_PCVT,2025,false,191368,2379,671,0.1469235822202759,,,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,state,S_PCVT,2026,true,92069,357,99,0.02167724983577841,,,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,state,S_PCT,2016,false,37011,2142,876,0.04277552614873773,,,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,state,S_PCT,2017,false,125417,3637,1522,0.0743200351579667,,,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,state,S_PCT,2018,false,137492,3806,1443,0.07046242492309195,,,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,state,S_PCT,2019,false,148708,6249,2306,0.11260315445090092,,,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,state,S_PCT,2020,false,156065,3772,1362,0.06650715366961277,,,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,state,S_PCT,2021,false,166886,4947,1882,0.09189901850676302,,,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,state,S_PCT,2022,false,175753,6573,2698,0.13174471409736804,,,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,state,S_PCT,2023,false,183471,7883,3112,0.15196054494848382,,,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,state,S_PCT,2024,false,188470,3477,1202,0.058694272181258854,,,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,state,S_PCT,2025,false,191388,8923,3720,0.18164949460422872,,,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,state,S_PCT,2026,true,92071,1011,356,0.01738366131158748,,,true
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,state,S_PCVT,2016,false,36246,152,37,0.0099382218640881,,,true
