formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,request_role,archetype,center_id,step_id,left_out_year,N,n11,n10,n01,n00,retention,target_marginal,lift,delta,nonanchor_target_rate,delta_nonanchor,joint_rate,independence_expected_joint_rate,joint_excess,selection_path_not_independently_confirmed
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T_GIVEN_PC,2018,1464773,36947,97982,185502,1144342,0.273825493407644,0.15186585225150928,1.8030748146999758,0.12195964115613472,0.13949154938473987,0.13433394402290413,0.02522370360458583,0.013989271770058497,0.011234431834527332,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T_GIVEN_PC,2019,1453558,35060,91144,187844,1139510,0.27780419004152007,0.15335060589257532,1.8115623894966975,0.12445358414894475,0.14151763583791513,0.13628655420360494,0.02412012454955358,0.013314542568006626,0.010805581981546953,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T_GIVEN_PC,2020,1446214,36942,97922,183149,1128201,0.2739203938782774,0.15218425488897216,1.7999259784011117,0.12173613898930521,0.13966446791474435,0.13425592596353303,0.0255439374808984,0.014191659983478478,0.011352277497419922,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T_GIVEN_PC,2021,1435400,36093,94938,183807,1120562,0.2754539002220848,0.15319771492266965,1.7980287784392022,0.12225618529941518,0.14091641245690445,0.13453748776518037,0.025144907342900934,0.013984707944846263,0.011160199398054672,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T_GIVEN_PC,2022,1426525,34718,93157,182637,1116013,0.2714995112414467,0.15236676539142321,1.7818814394594318,0.11913274585002351,0.1406360451237824,0.13086346611766433,0.024337463416343914,0.013658295595540382,0.010679167820803533,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T_GIVEN_PC,2023,1418800,33821,88341,183309,1113329,0.2768536860889638,0.1530377784042853,1.8090545287294333,0.12381590768467851,0.14137253419998488,0.13548115188897894,0.023837750211446292,0.013176910829873345,0.010660839381572947,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T_GIVEN_PC,2024,1413795,37131,99151,177302,1100211,0.2724571109904463,0.15167191848888983,1.7963583088085229,0.12078519250155645,0.13878684600469818,0.1336702649857481,0.026263355012572546,0.014620332081739492,0.011643022930833054,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T_GIVEN_PC,2025,1410870,33105,87689,183379,1106697,0.27406162557742936,0.1534400759814866,1.7861150278007971,0.12062154959594276,0.14214588907940306,0.1319157364980263,0.0234642454655638,0.013137029306816142,0.01032721615874766,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T_GIVEN_PC,2026,1510187,39009,103275,192743,1175160,0.2741629417221894,0.15345914115271816,1.7865533435336398,0.12070380056947125,0.1409039968477297,0.13325894487445972,0.025830575948541473,0.014458328961759935,0.011372246986781537,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V_GIVEN_PCT,2016,1546257,10671,27246,244588,1263752,0.28143049291874356,0.1650818719009841,1.704793443870961,0.11634862101775945,0.16215707333890236,0.1192734195798412,0.00690118136894449,0.00404810412296896,0.0028530772459755297,true
