step_id,W,q,year,N,n11,n10,n01,n00,anchor_true_count,target_true_count,retention,target_marginal_rate,lift,delta,delta_nonanchor,year_share_of_step_denominator
C_GIVEN_P,120,0.1,2016,27827,3105,4093,2708,17921,7198,5813,0.4313698249513754,0.20889783303985338,2.0649798931570484,0.222471991911522,0.3000983139716866,0.017797229140204585
C_GIVEN_P,120,0.1,2017,120518,3961,8010,9705,98842,11971,13666,0.33088296717066246,0.11339384988134553,2.9179974709113052,0.2174891172893169,0.2414746924141054,0.0770793280453939
C_GIVEN_P,120,0.1,2018,134378,3766,8355,14176,108081,12121,17942,0.310700437257652,0.13351887957850242,2.327015012696955,0.1771815576791496,0.1947479764578614,0.08594372578439687
C_GIVEN_P,120,0.1,2019,144350,7064,16299,14554,106433,23363,21618,0.30235842999614776,0.14976099757533773,2.0189397432669036,0.15259743242081003,0.18206451412088842,0.09232148727453666
C_GIVEN_P,120,0.1,2020,151961,3595,7874,14114,126378,11469,17709,0.313453657685936,0.11653647975467389,2.6897470933204883,0.19691717793126212,0.21299242145896224,0.09718923122775107
C_GIVEN_P,120,0.1,2021,162826,5397,14642,16262,126525,20039,21659,0.26932481660761515,0.13301929667252158,2.024704861210192,0.13630551993509357,0.15543489665691934,0.10413812599212821
C_GIVEN_P,120,0.1,2022,172988,6572,15092,17945,133379,21664,24517,0.30336041358936483,0.14172659375216778,2.140462178325123,0.16163381983719705,0.18477380472361982,0.11063740520019084
C_GIVEN_P,120,0.1,2023,181754,9425,20682,18688,132959,30107,28113,0.31305012123426446,0.15467610066353424,2.0239075066628427,0.15837402057073022,0.18981655908005107,0.11624384896498882
C_GIVEN_P,120,0.1,2024,186108,2901,8212,18140,156855,11113,21041,0.26104562224421846,0.11305800932791712,2.3089529330653016,0.14798761291630133,0.15738551766980205,0.11902852340623117
C_GIVEN_P,120,0.1,2025,189646,10310,21878,17888,139570,32188,28198,0.32030570398906427,0.1486875547071913,2.154219999244985,0.17161814928187297,0.20670080617504402,0.12129131122734174
C_GIVEN_P,120,0.1,2026,91202,701,3064,7597,79840,3765,8298,0.18618857901726427,0.09098484682353457,2.04636909900368,0.0952037321937297,0.09930316437586531,0.058329783736836116
C_GIVEN_P,120,0.2,2016,27827,6278,4143,2849,14557,10421,9127,0.6024373860474043,0.3279908003018651,1.8367508646369144,0.27444658574553915,0.43875819496386986,0.017797229140204585
C_GIVEN_P,120,0.2,2017,120518,9883,11351,14488,84796,21234,24371,0.46543279645850993,0.20221875570454206,2.3016302065400147,0.26321404075396787,0.3195079747349694,0.0770793280453939
C_GIVEN_P,120,0.2,2018,134378,10104,12128,20745,91401,22232,30849,0.45448002878733357,0.2295688282308116,1.9797114106902756,0.22491120055652197,0.2694979518519101,0.08594372578439687
