candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,state_name,confirmed_intervals,confirmed_interval_total_duration,mean_duration,median_duration,q25_duration,q75_duration,q90_duration,fragment_rate,open_intervals,cross_year_intervals
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_PC,15302,125163,8.179519017121946,6.0,3.0,11.0,19.0,0.13481897791138414,0,665
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_PCT,6111,13905,2.27540500736377,2.0,1.0,3.0,5.0,0.4491899852724595,0,37
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_PCVT,1611,3339,2.0726256983240225,2.0,1.0,3.0,4.0,0.49906890130353815,0,7
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_P,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_PC,16359,141796,8.667766978421664,6.0,3.0,12.0,20.0,0.1305091998288404,0,764
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_PCT,6632,15232,2.296743063932449,2.0,1.0,3.0,5.0,0.4455669481302774,0,45
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_PCVT,1789,3730,2.0849636668529903,2.0,1.0,3.0,4.0,0.4991615427613192,0,10
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_P,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_PC,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_PCT,1097,1753,1.5979945305378305,1.0,1.0,2.0,3.0,0.6399270738377393,0,2
