candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,archetype,affected_state,affected_step,confirmed_coverage,confirmed_state_days,unique_securities,confirmed_intervals,max_year_share,fragment_rate,baseline_retention,affected_delta,affected_lift,affected_lift_excess,selectivity_retained,hard_gate_pass,rejection_reasons,warnings,pareto_frontier,selected_center
W250_K3_P10_C20_T20_V20,250,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,PCT_q_decoupled_W250,S_PCT,C_GIVEN_P,0.004323642251077431,6524,747,2961,0.2553648068669528,0.45829111786558596,0.6010687304219643,0.2889148508816973,2.3637603089572194,1.3637603089572194,,true,,[],true,false
W250_K3_P15_C20_T20_V20,250,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,PCT_q_decoupled_W250,S_PCT,C_GIVEN_P,0.005822973892549501,8771,768,3950,0.23703112529928172,0.4539240506329114,0.8080891837110743,0.26926877168715146,2.271025224726044,1.2710252247260438,,false,material_advantage,[],false,false
W250_K3_P25_C20_T20_V20,250,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,PCT_q_decoupled_W250,S_PCT,C_GIVEN_P,0.00846292880093963,12703,777,5686,0.20774620168464142,0.4579669363348575,1.0,0.23087767428482,2.0898083205245745,1.0898083205245745,,false,material_advantage,"[""affected_lift_deterioration_vs_baseline""]",false,false
W250_K3_P30_C20_T20_V20,250,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,PCT_q_decoupled_W250,S_PCT,C_GIVEN_P,0.009658128669174728,14474,778,6428,0.20181014232416747,0.4567517112632234,1.0,0.21245266798270454,2.0028370478107305,1.0028370478107305,,false,material_advantage,"[""affected_lift_deterioration_vs_baseline""]",false,false
W250_K3_P20_C10_T20_V20,250,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,PCT_q_decoupled_W250,S_PCT,C_GIVEN_P,0.00485345531037042,7298,755,3323,0.23061112633598246,0.4673487812217875,0.6723788465081998,0.16924454032265512,2.4773976049709083,1.4773976049709083,,false,material_advantage,[],false,false
W250_K3_P20_C15_T20_V20,250,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,PCT_q_decoupled_W250,S_PCT,C_GIVEN_P,0.006111044237735516,9189,766,4138,0.22592229840026118,0.4596423392943451,0.8466003316749585,0.21555126683373207,2.3171381914774876,1.3171381914774876,,false,material_advantage,[],false,false
W250_K3_P20_C25_T20_V20,250,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,PCT_q_decoupled_W250,S_PCT,C_GIVEN_P,0.008068919331422897,12133,775,5432,0.2157751586582049,0.45636966126656847,1.0,0.2738076822115402,2.053403257293605,1.053403257293605,,false,material_advantage,"[""affected_lift_deterioration_vs_baseline""]",false,false
W250_K3_P20_C30_T20_V20,250,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,PCT_q_decoupled_W250,S_PCT,C_GIVEN_P,0.008874281674648245,13344,778,5937,0.21372901678657075,0.4519117399359946,1.0,0.2901019558535684,1.9432363139705766,0.9432363139705766,,true,,"[""affected_lift_deterioration_vs_baseline""]",true,false
W250_K3_P20_C20_T10_V20,250,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,PCT_q_decoupled_W250,S_PCT,T_GIVEN_PC,0.0008146728905458708,1225,480,788,0.21714285714285714,0.6573604060913706,0.11286161783674221,0.03968428731081382,1.7927103435505005,0.7927103435505005,,false,material_advantage,[],false,false
W250_K3_P20_C20_T15_V20,250,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,PCT_q_decoupled_W250,S_PCT,T_GIVEN_PC,0.003122358547847235,4695,739,2575,0.22321618743343982,0.5603883495145631,0.4325594250967385,0.07471361698253907,1.770200147205745,0.7702001472057449,,false,material_advantage,[],false,false
W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,PCT_q_decoupled_W250,S_PCT,T_GIVEN_PC,0.012188836520754873,18328,782,6958,0.22681143605412485,0.37841333716585224,1.0,0.14731461188032288,1.7392370853586436,0.7392370853586436,,true,,"[""affected_lift_deterioration_vs_baseline""]",true,true
W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,PCT_q_decoupled_W250,S_PCT,T_GIVEN_PC,0.018011253791554136,27083,784,8562,0.22645201787098918,0.30892314879701005,1.0,0.17960476656781776,1.7114908601812293,0.7114908601812293,,true,,"[""affected_lift_deterioration_vs_baseline""]",true,false
W250_K3_P20_C20_T20_V10,250,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,PCVT_depletion_W250,S_PCVT,V_GIVEN_PCT,0.0005567506515379489,837,293,422,0.23536439665471923,0.5165876777251185,0.39057396173588427,0.03871766378155541,1.6199967011243939,0.6199967011243939,1.1659357277882798,false,material_advantage|not_baseline_dominated,"[""affected_lift_deterioration_vs_baseline""]",false,false
W250_K3_P20_C20_T20_V15,250,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,PCVT_depletion_W250,S_PCVT,V_GIVEN_PCT,0.0009578505832910948,1440,418,702,0.23472222222222222,0.4843304843304843,0.6719552029864676,0.0672272932442744,1.7096191328434711,0.7096191328434711,1.087069943289225,false,material_advantage|not_baseline_dominated,"[""affected_lift_deterioration_vs_baseline""]",false,false
W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,PCVT_depletion_W250,S_PCVT,V_GIVEN_PCT,0.0018678086374176348,2808,587,1319,0.21082621082621084,0.4746019711902957,1.0,0.13068644109817115,1.7882797057591184,0.7882797057591184,0.9125897920604915,false,material_advantage,"[""V_selectivity_reduced_but_guard_passed""]",false,false
W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,PCVT_depletion_W250,S_PCVT,V_GIVEN_PCT,0.002388639892082168,3591,640,1674,0.2049568365357839,0.480884109916368,1.0,0.1681558319378822,1.8129876580631237,0.8129876580631237,0.8107372400756143,true,,"[""V_selectivity_reduced_but_guard_passed""]",true,true
