candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,layer,attrition,attrition_share
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,C,0.7985775747302817,0.14923617421039354
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,T,1.675789541938817,0.3131673464599902
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,V,1.2809414267045542,0.23937912102472428
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,P,1.5957906720514552,0.3407245099158604
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,C,0.7985775747302817,0.17050792284052035
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,T,1.0156476402349754,0.21685553783905298
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,V,1.2735059190474443,0.27191202940456627
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,P,1.5957906720514552,0.35710170001497554
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,C,0.7985775747302817,0.17870351953080257
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,T,0.8053306161593297,0.18021469679033905
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,V,1.2690299949292088,0.28398008366388294
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,P,1.5957906720514552,0.28572201023822663
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,C,0.7985775747302817,0.14298315811670975
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,T,1.291044808992635,0.23115808645427943
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,V,1.899703298128262,0.34013674519078424
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,P,1.5957906720514552,0.3045467171859868
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,C,0.7985775747302817,0.152403559603344
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,T,1.291044808992635,0.246387866030864
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,V,1.5544748891575875,0.2966618571798051
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,P,1.5957906720514552,0.33559468988430907
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,C,0.7985775747302817,0.1679408197039086
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,T,1.291044808992635,0.2715066517738487
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,V,1.0696999425915394,0.22495783863793364
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,P,1.5957906720514552,0.34952018404928437
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,C,0.7985775747302817,0.1749095202684323
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,T,1.291044808992635,0.2827728142281238
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,V,0.8802479414355615,0.19279748145415948
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,P,1.6201522558382582,0.31083337465323113
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,C,0.7749204884576301,0.14867192243644406
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,T,1.3435623901558085,0.25776838583187023
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,V,1.4736502504292432,0.2827263170784546
W250_K3_P10_C20_T20_V20,250,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,P,2.200236571339708,0.40261977241286373
W250_K3_P10_C20_T20_V20,250,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,C,0.6920463135160566,0.1266370775199593
W250_K3_P10_C20_T20_V20,250,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,T,1.311552510744194,0.24000008920032515
W250_K3_P10_C20_T20_V20,250,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,V,1.26096470140941,0.23074306086685173
W250_K3_P15_C20_T20_V20,250,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,P,1.8644145225311957,0.35122237343569357
W250_K3_P15_C20_T20_V20,250,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,C,0.7321759235919902,0.13792885785255787
W250_K3_P15_C20_T20_V20,250,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,T,1.3348317771621268,0.25145844942023754
W250_K3_P15_C20_T20_V20,250,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,V,1.3769369916852494,0.25939031929151113
W250_K3_P25_C20_T20_V20,250,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,P,1.4284370074260042,0.2779559191431689
W250_K3_P25_C20_T20_V20,250,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,C,0.8153604745474466,0.15865891807454172
W250_K3_P25_C20_T20_V20,250,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,T,1.3496288601617714,0.2626208424860103
W250_K3_P25_C20_T20_V20,250,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,V,1.5456511483867477,0.30076432029627903
W250_K3_P30_C20_T20_V20,250,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,P,1.2635894383783113,0.24851032964053393
W250_K3_P30_C20_T20_V20,250,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,C,0.8579195475019439,0.16872716966389711
W250_K3_P30_C20_T20_V20,250,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,T,1.350243265105617,0.26555255110152814
W250_K3_P30_C20_T20_V20,250,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,V,1.612903345447775,0.31720994959404086
W250_K3_P20_C10_T20_V20,250,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,P,1.6201522558382582,0.28798620923990237
W250_K3_P20_C10_T20_V20,250,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,C,1.2599151240505082,0.2239531372633843
W250_K3_P20_C10_T20_V20,250,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,T,1.2189134989361097,0.21666499348132856
W250_K3_P20_C10_T20_V20,250,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,V,1.5268171762778804,0.27139566001538473
W250_K3_P20_C15_T20_V20,250,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,P,1.6201522558382582,0.30087044462833656
W250_K3_P20_C15_T20_V20,250,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,C,0.9702434063484117,0.18017909367087345
W250_K3_P20_C15_T20_V20,250,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,T,1.2938432775522797,0.24027322172577398
W250_K3_P20_C15_T20_V20,250,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,V,1.5006444370235046,0.2786772399750159
W250_K3_P20_C25_T20_V20,250,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,P,1.6201522558382582,0.3187688401253154
W250_K3_P20_C25_T20_V20,250,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,C,0.628284176670646,0.1236164178673245
W250_K3_P20_C25_T20_V20,250,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,T,1.3855000199381449,0.27260045020939977
W250_K3_P20_C25_T20_V20,250,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,V,1.448593744674285,0.2850142917979604
W250_K3_P20_C30_T20_V20,250,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,P,1.6201522558382582,0.3256394921250473
W250_K3_P20_C30_T20_V20,250,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,C,0.5151492487635648,0.10354146601436075
W250_K3_P20_C30_T20_V20,250,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,T,1.415851990382873,0.2845765398968429
W250_K3_P20_C30_T20_V20,250,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,V,1.4241406416862674,0.28624250196374906
W250_K3_P20_C20_T10_V20,250,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,P,1.6201522558382582,0.25718693217543453
W250_K3_P20_C20_T10_V20,250,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,C,0.7749204884576301,0.12301277388475483
W250_K3_P20_C20_T10_V20,250,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,T,2.410306671101194,0.3826179768652469
W250_K3_P20_C20_T10_V20,250,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,V,1.4941329359268418,0.2371823170745638
W250_K3_P20_C20_T15_V20,250,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,P,1.6201522558382582,0.2880157479672515
W250_K3_P20_C20_T15_V20,250,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,C,0.7749204884576301,0.1377582281504742
W250_K3_P20_C20_T15_V20,250,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,T,1.7615804552155765,0.3131575508320968
W250_K3_P20_C20_T15_V20,250,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,V,1.4685678770196549,0.26106847305017744
W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,P,1.6201522558382582,0.32900417233900525
W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,C,0.7749204884576301,0.15736303363761908
W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,T,1.059201185640538,0.21509188915202027
W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,V,1.4701385610056543,0.2985409048713555
W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,P,1.6201522558382582,0.34457823625783063
W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,C,0.7749204884576301,0.16481212441026516
W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,T,0.8388645088342248,0.1784119065796278
W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,V,1.467904260232267,0.31219773275227636
W250_K3_P20_C20_T20_V10,250,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,P,1.6201522558382582,0.26869848666808005
W250_K3_P20_C20_T20_V10,250,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,C,0.7749204884576301,0.1285187622251729
W250_K3_P20_C20_T20_V10,250,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,T,1.3435623901558085,0.22282670019320372
W250_K3_P20_C20_T20_V10,250,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,V,2.2909941199907093,0.3799560509135434
W250_K3_P20_C20_T20_V15,250,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,P,1.6201522558382582,0.29144599622953293
W250_K3_P20_C20_T20_V15,250,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,C,0.7749204884576301,0.13939891941844565
W250_K3_P20_C20_T20_V15,250,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,T,1.3435623901558085,0.24169079040839453
W250_K3_P20_C20_T20_V15,250,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,V,1.820378462572574,0.3274642939436268
W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,P,1.6201522558382582,0.327010620352823
W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,C,0.7749204884576301,0.15640951567451955
W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,T,1.3435623901558085,0.27118387738209854
W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,V,1.2157980093104852,0.24539598659055897
W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,P,1.6201522558382582,0.3432901389649087
W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,C,0.7749204884576301,0.16419602615171255
W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,T,1.3435623901558085,0.2846841819727452
W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,V,0.9808486838815497,0.20782965291063343
