W,changed_layer,metric,q10,q15,q20,q25,q30,delta_10_15,delta_15_20,delta_20_25,delta_25_30,left_slope,right_slope,monotonic_increasing,monotonic_decreasing,locally_flat,direction_reversal,boundary_response,isolated_spike_warning,classifications,baseline_attrition_share,confirmed_coverage_response_rank,nonflat_response_category_count
120,P,confirmed_coverage,0.004600624277169114,0.006233219333819233,0.007786704202574104,0.009188075309101724,0.010554360462569813,0.0016325950566501183,0.0015534848687548718,0.0014013711065276194,0.001366285153468089,0.031069697375097436,0.028027422130552388,true,false,false,false,true,false,dominant_bottleneck|material_constraint,0.3213288347285887,2,4
120,P,confirmed_intervals,3382.0,4500.0,5528.0,6404.0,7277.0,1118.0,1028.0,876.0,873.0,20560.0,17520.0,true,false,false,false,true,false,dominant_bottleneck|material_constraint,0.3213288347285887,2,4
120,P,unique_securities,757.0,769.0,777.0,779.0,782.0,12.0,8.0,2.0,3.0,160.0,40.0,true,false,false,false,true,false,dominant_bottleneck|material_constraint,0.3213288347285887,2,4
120,P,baseline_retention,0.5928685897435897,0.8017628205128206,1.0,1.0,1.0,0.20889423076923086,0.19823717948717945,0.0,0.0,3.964743589743589,0.0,true,false,false,false,true,false,dominant_bottleneck|material_constraint,0.3213288347285887,2,4
120,P,affected_delta,0.2394876309987885,0.231819137503591,0.22110188924535673,0.20839675128496615,0.19462438293202922,-0.007668493495197493,-0.01071724825823428,-0.012705137960390578,-0.013772368352936937,-0.2143449651646856,-0.25410275920781156,false,true,false,false,true,false,dominant_bottleneck|material_constraint,0.3213288347285887,2,4
120,P,affected_lift,2.0361918714384646,2.0030125769890468,1.956642225906378,1.9016708663202642,1.8420819177042005,-0.03317929444941781,-0.04637035108266874,-0.05497135958611388,-0.059588948616063675,-0.9274070216533747,-1.0994271917222775,false,true,false,false,true,false,dominant_bottleneck|material_constraint,0.3213288347285887,2,4
120,P,fragment_rate,0.4674748669426375,0.46355555555555555,0.4547756874095514,0.4487820112429731,0.44537584169300537,-0.0039193113870819585,-0.008779868146004177,-0.0059936761665782545,-0.0034061695499677525,-0.17559736292008354,-0.11987352333156509,false,true,true,false,false,false,dominant_bottleneck|material_constraint,0.3213288347285887,2,4
120,C,confirmed_coverage,0.0052092302393662825,0.006641160218926184,0.007786704202574104,0.008675811052627639,0.009503772308782753,0.0014319299795599013,0.0011455439836479207,0.0008891068500535343,0.0008279612561551148,0.022910879672958413,0.017782137001070685,true,false,false,false,true,false,material_constraint,0.16080179313154289,3,4
120,C,confirmed_intervals,3799.0,4779.0,5528.0,6111.0,6632.0,980.0,749.0,583.0,521.0,14980.0,11660.0,true,false,false,false,true,false,material_constraint,0.16080179313154289,3,4
120,C,unique_securities,764.0,771.0,777.0,777.0,779.0,7.0,6.0,0.0,2.0,120.0,0.0,true,false,false,false,true,false,material_constraint,0.16080179313154289,3,4
120,C,baseline_retention,0.6689903846153846,0.8528846153846154,1.0,1.0,1.0,0.18389423076923073,0.14711538461538465,0.0,0.0,2.942307692307693,0.0,true,false,false,false,true,false,material_constraint,0.16080179313154289,3,4
120,C,affected_delta,0.15474178279957937,0.19281448550708416,0.22110188924535673,0.24053591404306424,0.25422498280160916,0.03807270270750479,0.02828740373827257,0.019434024797707505,0.01368906875854492,0.5657480747654514,0.3886804959541501,true,false,false,false,true,false,material_constraint,0.16080179313154289,3,4
120,C,affected_lift,2.1600091690745,2.0523662844244193,1.956642225906378,1.8673545061192263,1.7862152764034218,-0.10764288465008054,-0.09572405851804122,-0.08928771978715178,-0.08113922971580445,-1.9144811703608244,-1.7857543957430355,false,true,false,false,true,false,material_constraint,0.16080179313154289,3,4
120,C,fragment_rate,0.46959726243748356,0.4618120945804562,0.4547756874095514,0.4491899852724595,0.4455669481302774,-0.007785167857027375,-0.007036407170904813,-0.005585702137091864,-0.003623037142182095,-0.14072814341809625,-0.11171404274183727,false,true,true,false,false,false,material_constraint,0.16080179313154289,3,4
120,T,confirmed_coverage,0.0010937574092237505,0.003753590743804953,0.007786704202574104,0.012777557320874607,0.018415430652161436,0.0026598333345812025,0.004033113458769151,0.004990853118300502,0.005637873331286829,0.08066226917538301,0.09981706236601004,true,false,false,false,true,false,material_constraint|unstable_response,0.25996512658059967,1,4
120,T,confirmed_intervals,1097.0,3129.0,5528.0,7673.0,9499.0,2032.0,2399.0,2145.0,1826.0,47980.0,42900.0,true,false,false,false,true,false,material_constraint|unstable_response,0.25996512658059967,1,4
120,T,unique_securities,555.0,758.0,777.0,783.0,788.0,203.0,19.0,6.0,5.0,380.0,120.0,true,false,false,false,true,false,material_constraint|unstable_response,0.25996512658059967,1,4
120,T,baseline_retention,0.1404647435897436,0.48205128205128206,1.0,1.0,1.0,0.34158653846153847,0.5179487179487179,0.0,0.0,10.358974358974358,0.0,true,false,false,false,true,false,material_constraint|unstable_response,0.25996512658059967,1,4
