candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,profile_type,step_id,year,N,n11,n10,n01,n00,anchor_true_count,target_true_count,child_true_count,retention,target_marginal_rate,nonanchor_target_rate,lift,delta,delta_nonanchor,evaluable_securities,security_median_delta,security_q25_delta,security_q75_delta,security_median_lift
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,pooled,C_GIVEN_P,,1563558,169884,216638,191490,985546,386522,361374,169884,0.4395196133725894,0.23112286208762323,0.16268831199725411,1.9016708663202642,0.20839675128496615,0.2768313013753353,,,,,
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,pooled,T_GIVEN_PC,,1563558,46017,123867,193812,1199862,169884,239829,46017,0.27087306632761177,0.15338669879850955,0.139065520344069,1.7659488629026014,0.11748636752910221,0.13180754598354277,,,,,
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,pooled,V_GIVEN_PCT,,1545035,11665,33250,244508,1255612,44915,256173,11665,0.2597127908271179,0.16580401091237415,0.16299229394981735,1.5663842472687446,0.09390877991474375,0.09672049687730055,,,,,
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,security_summary,C_GIVEN_P,,1563558,169884,216638,191490,985546,,,,,,,,,,793,0.20849445153864138,0.16991758241758237,0.2477781676661988,1.9066934604251866
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,security_summary,T_GIVEN_PC,,1563558,46017,123867,193812,1199862,,,,,,,,,,791,0.11619211734890608,0.08582886648831174,0.15044554781254815,1.7641749020040853
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,security_summary,V_GIVEN_PCT,,1545035,11665,33250,244508,1255612,,,,,,,,,,790,0.08676267739130047,-0.0009966553155722757,0.1755556749833283,1.5247770433390262
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,pooled,C_GIVEN_P,,1563558,193133,260500,168241,941684,453633,361374,193133,0.42574724501965244,0.23112286208762323,0.15157871027321665,1.8420819177042005,0.19462438293202922,0.27416853474643577,,,,,
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,pooled,T_GIVEN_PC,,1563558,51862,141271,187967,1182458,193133,239829,51862,0.2685299767517721,0.15338669879850955,0.13715964025758431,1.7506731604186618,0.11514327795326254,0.13137033649418778,,,,,
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,pooled,V_GIVEN_PCT,,1545035,12416,38286,243757,1250576,50702,256173,12416,0.24488185870379867,0.16580401091237415,0.1631209375688016,1.4769356745731346,0.07907784779142452,0.08176092113499706,,,,,
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,security_summary,C_GIVEN_P,,1563558,193133,260500,168241,941684,,,,,,,,,,793,0.1962714443602685,0.1617306812985825,0.22924136904376646,1.8440050452589405
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,security_summary,T_GIVEN_PC,,1563558,51862,141271,187967,1182458,,,,,,,,,,791,0.11446750826061172,0.08641265293908067,0.14356295921353746,1.7466763121935538
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,security_summary,V_GIVEN_PCT,,1545035,12416,38286,243757,1250576,,,,,,,,,,791,0.07077380553133454,-0.010341013070059565,0.15393502099021455,1.4169935814034174
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,pooled,C_GIVEN_P,,1563558,92409,228301,116165,1126683,320710,208574,92409,0.2881388169997817,0.13339703420020235,0.09346677952573444,2.1600091690745,0.15474178279957937,0.19467203747404727,,,,,
