candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,state_name,total_rows,valid_rows,unknown_rows,blocked_rows,diagnostic_required_rows,raw_state_days,confirmed_state_days,unique_securities,raw_coverage,confirmed_coverage,confirmed_intervals,confirmed_interval_total_duration,mean_duration,median_duration,q25_duration,q75_duration,q90_duration,fragment_rate,open_intervals,cross_year_intervals,nonzero_years,max_year_share,year_HHI,effective_years
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,S_PCT,1730769,1600444,128350,1975,0,46017,14705,779,0.028752646140695958,0.009188075309101724,6404,14705,2.2962211118051217,2.0,1.0,3.0,5.0,0.4487820112429731,0,45,11,0.169534172050323,0.11203361219014181,8.925892689265563
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,S_PCVT,1730769,1599342,129413,2014,0,11665,3214,627,0.00729362450307689,0.002009576438310255,1547,3214,2.0775694893341954,2.0,1.0,3.0,4.0,0.497737556561086,0,9,11,0.1670815183571873,0.11431048589923751,8.748103834336604
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,475043,403633,794,0.29330666851072973,0.24921586157672332,27847,403633,14.494667289115524,9.0,3.0,20.0,36.0,0.10299134556684741,0,2129,11,0.15050057849581178,0.10632034322687982,9.405537732944234
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_PC,1730769,1598202,130163,2404,0,193133,147704,791,0.12084392335887453,0.0924188556890806,17525,147704,8.428188302425108,6.0,3.0,12.0,19.0,0.12724679029957203,0,779,11,0.16399691274440772,0.11149564296254347,8.96896034166955
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_PCT,1730769,1598202,130163,2404,0,51862,16868,782,0.03245021593015151,0.010554360462569813,7277,16868,2.3179881819431083,2.0,1.0,3.0,5.0,0.44537584169300537,0,49,11,0.16178562959449846,0.11030930846716225,9.065418085706593
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_PCVT,1730769,1597042,131280,2447,0,12416,3451,640,0.007774372871846827,0.002160869908242864,1659,3451,2.080168776371308,2.0,1.0,3.0,4.0,0.49547920433996384,0,9,11,0.16951608229498696,0.11434387002335383,8.745549715920564
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,337590,275639,794,0.2084388112708476,0.1701882920106791,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420,11,0.15876925979269987,0.1090136642661192,9.173161976821964
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_PC,1730769,1602732,126422,1615,0,92409,62947,790,0.05765717537305052,0.039274813256364755,10601,62947,5.9378360532025285,4.0,2.0,8.0,13.0,0.1786623903405339,0,324,11,0.17792746278615343,0.11494817990828676,8.69957228377053
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_PCT,1730769,1602732,126422,1615,0,28182,8349,764,0.01758372578821662,0.0052092302393662825,3799,8349,2.197683600947618,2.0,1.0,3.0,4.0,0.46959726243748356,0,23,11,0.18708827404479578,0.11596207035910827,8.62350936735802
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_PCVT,1730769,1601983,127144,1642,0,7342,1907,529,0.004583069857794995,0.00119039964843572,965,1907,1.9761658031088083,1.0,1.0,3.0,4.0,0.5119170984455959,0,3,11,0.16780283167278448,0.1200212063358328,8.331860931324819
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,337590,275639,794,0.2084388112708476,0.1701882920106791,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420,11,0.15876925979269987,0.1090136642661192,9.173161976821964
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_PC,1730769,1602732,126422,1615,0,120598,86391,790,0.07524526870368846,0.05390233675998233,12613,86391,6.84936176960279,5.0,2.0,9.0,16.0,0.15896297470863394,0,449,11,0.17627993656746652,0.11509843572695223,8.688215384371494
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_PCT,1730769,1602732,126422,1615,0,34668,10644,771,0.021630565808881334,0.006641160218926184,4779,10644,2.2272441933458884,2.0,1.0,3.0,4.0,0.4618120945804562,0,28,11,0.1800075159714393,0.11528786297714662,8.673939946291041
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_PCVT,1730769,1601814,127306,1649,0,9146,2455,578,0.005709776540846815,0.0015326373723790652,1211,2455,2.027250206440958,1.0,1.0,3.0,4.0,0.500412881915772,0,4,11,0.1718940936863544,0.11819678863120693,8.460466748552378
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,337590,275639,794,0.2084388112708476,0.1701882920106791,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420,11,0.15876925979269987,0.1090136642661192,9.173161976821964
