state_version_id,expected_daily_rows,actual_daily_rows,eligible_rows,valid_rows,raw_true_rows,confirmed_rows,state_risk_rows,qualified_event_risk_rows,strict_core_rows,daily_qualified_key_mismatch,daily_component_qualified_key_mismatch,qualified_component_transition_mismatch,unqualified_reentry_daily_qualified_rows,accepted_reentry_first_day_qualified_rows,accepted_reentry_qualification_day_unqualified_rows,status
r2_s_pct_W120_K3_qP20_qC20_qT25_qV20_d2_g1_v8,1751066,1751066,1602732,1602732,52420,20474,20474,12803,12476,0,0,0,0,0,0,passed
r2_s_pcvt_W120_K3_qP20_qC20_qT20_qV30_d2_g1_v8,1751066,1751066,1601692,1601692,16073,4564,4564,2387,2939,0,0,0,0,0,0,passed
