state_version_id,primary_confirmed_rows,strict_core_rows,subset_violations,status
r2_s_pct_W120_K3_qP20_qC20_qT25_qV20_d2_g1_v8,20474,12476,0,passed
r2_s_pcvt_W120_K3_qP20_qC20_qT20_qV30_d2_g1_v8,4564,2939,0,passed
