gate_id,candidate_cell_id,state_line,metric_id,operator,threshold,observed_value,status,evidence_check_id,fail_closed,zero_tolerance
s_pct_unique_securities,r2_s_pct_w120_q20_shared__d1__g2,S_PCT,unique_securities,>=,156.0,777.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_q20_shared__d2__g0,S_PCT,unique_securities,>=,156.0,752.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_q20_shared__d2__g1,S_PCT,unique_securities,>=,156.0,752.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_q20_shared__d2__g2,S_PCT,unique_securities,>=,156.0,752.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_q20_shared__d3__g0,S_PCT,unique_securities,>=,156.0,670.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_q20_shared__d3__g1,S_PCT,unique_securities,>=,156.0,670.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_q20_shared__d3__g2,S_PCT,unique_securities,>=,156.0,670.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_qt25_primary__d1__g0,S_PCT,unique_securities,>=,157.0,783.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_qt25_primary__d1__g1,S_PCT,unique_securities,>=,157.0,783.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_qt25_primary__d1__g2,S_PCT,unique_securities,>=,157.0,783.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_qt25_primary__d2__g0,S_PCT,unique_securities,>=,157.0,771.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_qt25_primary__d2__g1,S_PCT,unique_securities,>=,157.0,771.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_qt25_primary__d2__g2,S_PCT,unique_securities,>=,157.0,771.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_qt25_primary__d3__g0,S_PCT,unique_securities,>=,157.0,752.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_qt25_primary__d3__g1,S_PCT,unique_securities,>=,157.0,752.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w120_qt25_primary__d3__g2,S_PCT,unique_securities,>=,157.0,752.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_q20_shared__d1__g0,S_PCT,unique_securities,>=,155.0,773.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_q20_shared__d1__g1,S_PCT,unique_securities,>=,155.0,773.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_q20_shared__d1__g2,S_PCT,unique_securities,>=,155.0,773.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_q20_shared__d2__g0,S_PCT,unique_securities,>=,155.0,734.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_q20_shared__d2__g1,S_PCT,unique_securities,>=,155.0,734.0,passed,s_pct_unique_securities,True,False
