candidate_cell_id,route_id,d,g,status,security_count,component_count,event_count,error,state_line,W,candidate_role,objective_values,hard_gate_status,warning_count,complexity,baseline_distance,pareto_status,decision_unit
r2_s_pct_w120_qt25_primary__d1__g1,r2_s_pct_w120_qt25_primary,1,1,completed,800,7671,7236,,S_PCT,120,primary,"{""qualified_event_count"":7236.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.019973368841544607,""merge_ratio"":0.0562465450525152,""open_event_ratio"":0.0,""duration_q95_ratio"":1.2857142857142858,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.38300091252770174,""confirmed_density"":0.9400798934753661,""mega_zone_concentration"":0.05349189586298728,""max_single_gap"":1.0}",passed,4,2,2,dominated,S_PCT×W120
r2_s_pct_w120_qt25_primary__d1__g2,r2_s_pct_w120_qt25_primary,1,2,completed,800,7671,6997,,S_PCT,120,primary,"{""qualified_event_count"":6997.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.04007198033707865,""merge_ratio"":0.08732313848792339,""open_event_ratio"":0.0,""duration_q95_ratio"":1.4285714285714286,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.38300091252770174,""confirmed_density"":0.8986130617977528,""mega_zone_concentration"":0.0547313904494382,""max_single_gap"":2.0}",passed,4,2,3,dominated,S_PCT×W120
r2_s_pct_w120_qt25_primary__d2__g0,r2_s_pct_w120_qt25_primary,2,0,completed,800,7671,4733,,S_PCT,120,primary,"{""qualified_event_count"":4733.0,""retained_confirmed_day_ratio"":0.8565009280062519,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.1428571428571428,""component_qualification_rate"":0.6172404799165363,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.38300091252770174,""confirmed_density"":1.0,""mega_zone_concentration"":0.038720346715328466,""max_single_gap"":0.0}",passed,4,2,2,non_dominated,S_PCT×W120
r2_s_pct_w120_qt25_primary__d2__g1,r2_s_pct_w120_qt25_primary,2,1,completed,800,7671,4561,,S_PCT,120,primary,"{""qualified_event_count"":4561.0,""retained_confirmed_day_ratio"":0.8565009280062519,""bridged_day_ratio"":0.009528030135165079,""merge_ratio"":0.03683402762552072,""open_event_ratio"":0.0,""duration_q95_ratio"":1.2857142857142858,""component_qualification_rate"":0.6172404799165363,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.38300091252770174,""confirmed_density"":0.9714159095945047,""mega_zone_concentration"":0.04221138931974296,""max_single_gap"":1.0}",passed,4,2,3,dominated,S_PCT×W120
r2_s_pct_w120_qt25_primary__d2__g2,r2_s_pct_w120_qt25_primary,2,2,completed,800,7671,4472,,S_PCT,120,primary,"{""qualified_event_count"":4472.0,""retained_confirmed_day_ratio"":0.8565009280062519,""bridged_day_ratio"":0.01900005428586939,""merge_ratio"":0.05635062611806798,""open_event_ratio"":0.0,""duration_q95_ratio"":1.4285714285714286,""component_qualification_rate"":0.6172404799165363,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.38300091252770174,""confirmed_density"":0.9519570055914446,""mega_zone_concentration"":0.04424298355138157,""max_single_gap"":2.0}",passed,4,2,4,dominated,S_PCT×W120
r2_s_pct_w120_qt25_primary__d3__g0,r2_s_pct_w120_qt25_primary,3,0,completed,800,7671,2961,,S_PCT,120,primary,"{""qualified_event_count"":2961.0,""retained_confirmed_day_ratio"":0.6834033408225066,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.2857142857142858,""component_qualification_rate"":0.38615023474178406,""qualification_delay_observations_q90"":2.0,""atomic_fragment_rate"":0.38300091252770174,""confirmed_density"":1.0,""mega_zone_concentration"":0.03230417381360778,""max_single_gap"":0.0}",passed,4,2,3,non_dominated,S_PCT×W120
r2_s_pct_w120_qt25_primary__d3__g1,r2_s_pct_w120_qt25_primary,3,1,completed,800,7671,2874,,S_PCT,120,primary,"{""qualified_event_count"":2874.0,""retained_confirmed_day_ratio"":0.6834033408225066,""bridged_day_ratio"":0.006103978109871606,""merge_ratio"":0.029575504523312455,""open_event_ratio"":0.0,""duration_q95_ratio"":1.5714285714285714,""component_qualification_rate"":0.38615023474178406,""qualification_delay_observations_q90"":2.0,""atomic_fragment_rate"":0.38300091252770174,""confirmed_density"":0.9816880656703851,""mega_zone_concentration"":0.035150494632708904,""max_single_gap"":1.0}",passed,4,2,4,dominated,S_PCT×W120
r2_s_pct_w120_qt25_primary__d3__g2,r2_s_pct_w120_qt25_primary,3,2,completed,800,7671,2831,,S_PCT,120,primary,"{""qualified_event_count"":2831.0,""retained_confirmed_day_ratio"":0.6834033408225066,""bridged_day_ratio"":0.01198475926567371,""merge_ratio"":0.04486047333097845,""open_event_ratio"":0.0,""duration_q95_ratio"":1.5714285714285714,""component_qualification_rate"":0.38615023474178406,""qualification_delay_observations_q90"":2.0,""atomic_fragment_rate"":0.38300091252770174,""confirmed_density"":0.9693107031520609,""mega_zone_concentration"":0.037062694838933145,""max_single_gap"":2.0}",passed,4,2,5,dominated,S_PCT×W120
r2_s_pct_w250_q20_shared__d1__g0,r2_s_pct_w250_q20_shared,1,0,completed,800,4883,4883,,S_PCT,250,strict_core_reference,"{""qualified_event_count"":4883.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.0,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.4605775138234692,""confirmed_density"":1.0,""mega_zone_concentration"":0.047268036487607114,""max_single_gap"":0.0}",passed,0,1,1,non_dominated,S_PCT×W250
r2_s_pct_w250_q20_shared__d1__g1,r2_s_pct_w250_q20_shared,1,1,completed,800,4883,4689,,S_PCT,250,strict_core_reference,"{""qualified_event_count"":4689.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.016965456930476606,""merge_ratio"":0.03860098101940712,""open_event_ratio"":0.0,""duration_q95_ratio"":1.1666666666666667,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.4605775138234692,""confirmed_density"":0.9491036292085702,""mega_zone_concentration"":0.053957149103629205,""max_single_gap"":1.0}",passed,0,1,2,dominated,S_PCT×W250
