candidate_cell_id,qualified_component_count,unqualified_component_count,component_qualification_rate,qualified_confirmed_day_count,retrospective_qualified_confirmed_day_count,asof_qualified_confirmed_day_count,prequalification_confirmed_day_count,prequalification_right_censored_count,qualification_delay_observations_mean,qualification_delay_observations_median,qualification_delay_observations_q90,qualification_delay_observations_q95,unqualified_reentry_count,unqualified_reentry_rate
r2_s_pcvt_w120_q20_shared__d3__g1,382,1043,0.2680701754385965,1562,1562,798,775,0,2.0,2.0,2,2,9,0.00862895493767977
r2_s_pcvt_w120_q20_shared__d3__g2,382,1043,0.2680701754385965,1562,1562,798,779,0,2.0,2.0,2,2,12,0.011505273250239693
r2_s_pcvt_w120_qv30_primary__d1__g0,2177,0,1.0,4564,4564,4564,0,0,0.0,0.0,0,0,0,
r2_s_pcvt_w120_qv30_primary__d1__g1,2177,0,1.0,4564,4564,4564,0,0,0.0,0.0,0,0,0,
r2_s_pcvt_w120_qv30_primary__d1__g2,2177,0,1.0,4564,4564,4564,0,0,0.0,0.0,0,0,0,
r2_s_pcvt_w120_qv30_primary__d2__g0,1108,1068,0.5091911764705882,3495,3495,2387,1108,0,1.0,1.0,1,1,0,0.0
r2_s_pcvt_w120_qv30_primary__d2__g1,1108,1068,0.5091911764705882,3495,3495,2387,1130,0,1.0,1.0,1,1,22,0.0205799812909261
r2_s_pcvt_w120_qv30_primary__d2__g2,1108,1068,0.5091911764705882,3495,3495,2387,1140,0,1.0,1.0,1,1,32,0.029934518241347054
r2_s_pcvt_w120_qv30_primary__d3__g0,580,1595,0.26666666666666666,2439,2439,1279,1160,0,2.0,2.0,2,2,0,0.0
r2_s_pcvt_w120_qv30_primary__d3__g1,580,1595,0.26666666666666666,2439,2439,1279,1182,0,2.0,2.0,2,2,18,0.011271133375078271
r2_s_pcvt_w120_qv30_primary__d3__g2,580,1595,0.26666666666666666,2439,2439,1279,1191,0,2.0,2.0,2,2,25,0.015654351909830933
r2_s_pcvt_w250_q20_shared__d1__g0,1023,0,1.0,2142,2142,2142,0,0,0.0,0.0,0,0,0,
r2_s_pcvt_w250_q20_shared__d1__g1,1023,0,1.0,2142,2142,2142,0,0,0.0,0.0,0,0,0,
r2_s_pcvt_w250_q20_shared__d1__g2,1023,0,1.0,2142,2142,2142,0,0,0.0,0.0,0,0,0,
r2_s_pcvt_w250_q20_shared__d2__g0,532,491,0.520039100684262,1651,1651,1119,532,0,1.0,1.0,1,1,0,0.0
r2_s_pcvt_w250_q20_shared__d2__g1,532,491,0.520039100684262,1651,1651,1119,538,0,1.0,1.0,1,1,6,0.012219959266802444
r2_s_pcvt_w250_q20_shared__d2__g2,532,491,0.520039100684262,1651,1651,1119,544,0,1.0,1.0,1,1,12,0.024439918533604887
r2_s_pcvt_w250_q20_shared__d3__g0,275,748,0.26881720430107525,1137,1137,587,550,0,2.0,2.0,2,2,0,0.0
r2_s_pcvt_w250_q20_shared__d3__g1,275,748,0.26881720430107525,1137,1137,587,552,0,2.0,2.0,2,2,2,0.00267379679144385
r2_s_pcvt_w250_q20_shared__d3__g2,275,748,0.26881720430107525,1137,1137,587,559,0,2.0,2.0,2,2,7,0.009358288770053475
r2_s_pcvt_w250_qv30_primary__d1__g0,1673,0,1.0,3590,3590,3590,0,0,0.0,0.0,0,0,0,
r2_s_pcvt_w250_qv30_primary__d1__g1,1673,0,1.0,3590,3590,3590,0,0,0.0,0.0,0,0,0,
r2_s_pcvt_w250_qv30_primary__d1__g2,1673,0,1.0,3590,3590,3590,0,0,0.0,0.0,0,0,0,
r2_s_pcvt_w250_qv30_primary__d2__g0,869,804,0.5194261805140467,2786,2786,1917,869,0,1.0,1.0,1,1,0,0.0
r2_s_pcvt_w250_qv30_primary__d2__g1,869,804,0.5194261805140467,2786,2786,1917,879,0,1.0,1.0,1,1,10,0.012437810945273632
r2_s_pcvt_w250_qv30_primary__d2__g2,869,804,0.5194261805140467,2786,2786,1917,887,0,1.0,1.0,1,1,18,0.022388059701492536
r2_s_pcvt_w250_qv30_primary__d3__g0,464,1209,0.27734608487746565,1976,1976,1048,928,0,2.0,2.0,2,2,0,0.0
r2_s_pcvt_w250_qv30_primary__d3__g1,464,1209,0.27734608487746565,1976,1976,1048,935,0,2.0,2.0,2,2,5,0.0041356492969396195
r2_s_pcvt_w250_qv30_primary__d3__g2,464,1209,0.27734608487746565,1976,1976,1048,948,0,2.0,2.0,2,2,14,0.011579818031430935
