candidate_cell_id,metric_id,independent_value,production_value,status
r2_s_pct_w120_q20_shared__d1__g0,event_diag_duration_q95_ratio,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_confirmed_density,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_bridge_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_bridged_days,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_raw_false_days,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_preconfirmation_days,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_total_gap_days,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_bridged_day_ratio,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_raw_false_ratio,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_nonconfirmed_ratio,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_max_single_gap,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_top_zone_share,0.0014427701186277653,0.0014427701186277653,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_merge_ratio,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_revision_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_mega_zone_concentration,0.049615261301699264,0.049615261301699264,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_open_ratio,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_active_pending,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_gap_pending,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_reentry_pending,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_confirmed_coverage,0.007784208464047639,0.007784208464047639,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_events_per_security_mean,7.11068211068211,7.11068211068211,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_events_per_security_median,7.0,7.0,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_events_per_security_q90,11,11,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_events_per_security_max,17,17,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_events_per_year,502.27272727272725,502.27272727272725,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_nonzero_years,11,11,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_max_year_share,0.1623529411764706,0.1623529411764706,passed
r2_s_pct_w120_q20_shared__d1__g1,qualified_event_count,5268,5268,passed
r2_s_pct_w120_q20_shared__d1__g1,unique_securities,777,777,passed
r2_s_pct_w120_q20_shared__d1__g1,retained_confirmed_day_ratio,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g1,confirmed_event_coverage,0.007784208464047639,0.007784208464047639,passed
r2_s_pct_w120_q20_shared__d1__g1,retrospective_qualified_confirmed_coverage,0.007784208464047639,0.007784208464047639,passed
r2_s_pct_w120_q20_shared__d1__g1,asof_qualified_confirmed_coverage,0.007784208464047639,0.007784208464047639,passed
r2_s_pct_w120_q20_shared__d1__g1,short_interval_drop_rate,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g1,bridged_day_ratio,0.0194006190080773,0.0194006190080773,passed
r2_s_pct_w120_q20_shared__d1__g1,merge_ratio,0.04726651480637813,0.04726651480637813,passed
r2_s_pct_w120_q20_shared__d1__g1,open_event_ratio,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g1,nonzero_years,11,11,passed
r2_s_pct_w120_q20_shared__d1__g1,max_year_share,0.1611617312072893,0.1611617312072893,passed
