candidate_cell_id,route_id,state_line,W,d,g,qualified_event_count,unique_securities,retained_confirmed_day_ratio,short_interval_drop_rate,bridged_day_ratio,merge_ratio,open_event_ratio,nonzero_years,max_year_share,duration_q95_ratio
r2_s_pct_w250_qt25_primary__d1__g1,r2_s_pct_w250_qt25_primary,S_PCT,250,1,1,6556,782,1.0,0.0,0.02053356546674177,0.056894447834045146,0.0,10,0.212019524100061,1.1428571428571428
r2_s_pct_w250_qt25_primary__d1__g2,r2_s_pct_w250_qt25_primary,S_PCT,250,1,2,6296,782,1.0,0.0,0.04465021573665584,0.09339263024142312,0.0,10,0.2136277001270648,1.4285714285714286
r2_s_pct_w250_qt25_primary__d2__g0,r2_s_pct_w250_qt25_primary,S_PCT,250,2,0,4324,772,0.8563243479209866,0.3783783783783784,0.0,0.0,0.0,10,0.21808510638297873,1.1428571428571428
r2_s_pct_w250_qt25_primary__d2__g1,r2_s_pct_w250_qt25_primary,S_PCT,250,2,1,4163,772,0.8563243479209866,0.3783783783783784,0.00995301681503462,0.03699255344703339,0.0,10,0.2159500360317079,1.2857142857142858
r2_s_pct_w250_qt25_primary__d2__g2,r2_s_pct_w250_qt25_primary,S_PCT,250,2,2,4056,772,0.8563243479209866,0.3783783783783784,0.022546897546897548,0.060650887573964495,0.0,10,0.21572978303747534,1.5714285714285714
r2_s_pct_w250_qt25_primary__d3__g0,r2_s_pct_w250_qt25_primary,S_PCT,250,3,0,2642,747,0.6727600130961475,0.620184013801035,0.0,0.0,0.0,10,0.23467070401211204,1.2857142857142858
r2_s_pct_w250_qt25_primary__d3__g1,r2_s_pct_w250_qt25_primary,S_PCT,250,3,1,2574,747,0.6727600130961475,0.620184013801035,0.005425676214792946,0.025252525252525252,0.0,10,0.23232323232323232,1.4285714285714286
r2_s_pct_w250_qt25_primary__d3__g2,r2_s_pct_w250_qt25_primary,S_PCT,250,3,2,2531,747,0.6727600130961475,0.620184013801035,0.0121135845197829,0.04148557882259976,0.0,10,0.23231924140655869,1.5714285714285714
r2_s_pcvt_w120_q20_shared__d1__g0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,1,0,1425,617,1.0,0.0,0.0,0.0,0.0,11,0.14666666666666667,1.0
r2_s_pcvt_w120_q20_shared__d1__g1,r2_s_pcvt_w120_q20_shared,S_PCVT,120,1,1,1381,617,1.0,0.0,0.014327580592640833,0.03186097031136857,0.0,11,0.14699493120926865,1.2
r2_s_pcvt_w120_q20_shared__d1__g2,r2_s_pcvt_w120_q20_shared,S_PCVT,120,1,2,1355,617,1.0,0.0,0.03018867924528302,0.05092250922509225,0.0,11,0.14833948339483394,1.2
r2_s_pcvt_w120_q20_shared__d2__g0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,2,0,716,449,0.7587614834977884,0.4978932584269663,0.0,0.0,0.0,11,0.15223463687150837,1.2
r2_s_pcvt_w120_q20_shared__d2__g1,r2_s_pcvt_w120_q20_shared,S_PCVT,120,2,1,705,449,0.7587614834977884,0.4978932584269663,0.004860804242156429,0.015602836879432624,0.0,11,0.15460992907801419,1.4
r2_s_pcvt_w120_q20_shared__d2__g2,r2_s_pcvt_w120_q20_shared,S_PCVT,120,2,2,698,449,0.7587614834977884,0.4978932584269663,0.010897994768962511,0.025787965616045846,0.0,11,0.1518624641833811,1.4
r2_s_pcvt_w120_q20_shared__d3__g0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,3,0,382,298,0.5314732902347737,0.7324438202247191,0.0,0.0,0.0,11,0.1806282722513089,1.4
r2_s_pcvt_w120_q20_shared__d3__g1,r2_s_pcvt_w120_q20_shared,S_PCVT,120,3,1,378,298,0.5314732902347737,0.7324438202247191,0.0025412960609911056,0.010582010582010581,0.0,11,0.18253968253968253,1.6
r2_s_pcvt_w120_q20_shared__d3__g2,r2_s_pcvt_w120_q20_shared,S_PCVT,120,3,2,376,298,0.5314732902347737,0.7324438202247191,0.0050568900126422255,0.015957446808510637,0.0,11,0.18085106382978725,1.6
