pair_id,a_candidate_id,pcvt_indicator_id,pcvt_layer,security_id,common_count,eligible,pearson_raw,spearman_midrank,reason
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000591.SZ,2487,True,0.3977330743094425,0.5866728171104292,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000596.SZ,2487,True,0.6618395388505504,0.613998774645976,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000598.SZ,2487,True,0.6428789437009825,0.5498527974702787,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000617.SZ,2234,True,0.6168714792244799,0.5181184046903444,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000623.SZ,2431,True,0.5938900746964247,0.5374620812862547,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000625.SZ,2429,True,0.7377427151937911,0.7196288411121107,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000629.SZ,1942,True,0.7104634854266272,0.5817813676370798,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000630.SZ,2418,True,0.6480308246461838,0.5882365542316611,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000651.SZ,2081,True,0.6471712688006546,0.5727558234764055,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000657.SZ,2321,True,0.636497293065849,0.5644647186758682,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000661.SZ,2295,True,0.6487983290035108,0.6031700842456614,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000683.SZ,2487,True,0.6018794847928048,0.6163645002224988,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000703.SZ,2306,True,0.6121881271229861,0.5876220753506809,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000708.SZ,2363,True,0.4700800834568458,0.5529115854695291,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000709.SZ,2487,True,0.6254862981826256,0.5606853423212529,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000723.SZ,2162,True,0.7570856219853346,0.6387338275115692,
