pair_id,a_candidate_id,pcvt_indicator_id,pcvt_layer,tail_fraction,a_threshold,pcvt_threshold,a_selected_count,a_realized_rate,pcvt_selected_count,pcvt_realized_rate,intersection_count,union_count,jaccard,a_containment,pcvt_containment
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,0.01,0.0004920023406387308,0.0037105133324726947,16321,0.010000165433776553,16321,0.010000165433776553,703,31939,0.022010707911957167,0.04307334109429569,0.04307334109429569
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,0.05,0.0024706467479083116,0.00673003774810164,81604,0.05000021445119183,81604,0.05000021445119183,13158,150050,0.08769076974341886,0.16124209597568748,0.16124209597568748
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,0.1,0.004954550609300057,0.009122468472090431,163208,0.10000042890238366,163208,0.10000042890238366,43864,282552,0.1552422209009315,0.26876133522866524,0.26876133522866524
A1__C2_AdjVWAPSpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C2_AdjVWAPSpread_5_60,C,0.01,0.0004900308503739126,0.003836291359595319,16154,0.010000204287941997,16154,0.010000204287941997,633,31675,0.01998421468034728,0.0391853410919896,0.0391853410919896
A1__C2_AdjVWAPSpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C2_AdjVWAPSpread_5_60,C,0.05,0.0024594659565337906,0.006932560045318506,80769,0.0500004023853403,80769,0.0500004023853403,12046,149492,0.08057956278596848,0.14914137849917666,0.14914137849917666
A1__C2_AdjVWAPSpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C2_AdjVWAPSpread_5_60,C,0.1,0.004931659473697003,0.009365402338657543,161537,0.1000001857163109,161537,0.1000001857163109,40508,282566,0.14335765803387526,0.25076607835975656,0.25076607835975656
A1__P1_NATR14,A1_LogBodyCenterToMACloudCenter_5_60,P1_NATR14,P,0.01,0.0004920023406387308,0.011814138805624035,16321,0.010000165433776553,16321,0.010000165433776553,614,32028,0.0191707256150868,0.03762024385760676,0.03762024385760676
A1__P1_NATR14,A1_LogBodyCenterToMACloudCenter_5_60,P1_NATR14,P,0.05,0.0024706467479083116,0.016019948828983496,81604,0.05000021445119183,81604,0.05000021445119183,10935,152273,0.07181181168033729,0.13400078427528062,0.13400078427528062
A1__P1_NATR14,A1_LogBodyCenterToMACloudCenter_5_60,P1_NATR14,P,0.1,0.004954550609300057,0.018794661531875905,163208,0.10000042890238366,163208,0.10000042890238366,36673,289743,0.1265707885954104,0.2247009950492623,0.2247009950492623
A1__P2_LogRange20,A1_LogBodyCenterToMACloudCenter_5_60,P2_LogRange20,P,0.01,0.0004920023406387308,0.041182289966415306,16321,0.010000165433776553,16323,0.010001390869158426,804,31840,0.025251256281407036,0.0492616873966056,0.04925565153464437
A1__P2_LogRange20,A1_LogBodyCenterToMACloudCenter_5_60,P2_LogRange20,P,0.05,0.0024706467479083116,0.06050874472327509,81604,0.05000021445119183,81604,0.05000021445119183,12883,150325,0.08570098120738401,0.15787216312925836,0.15787216312925836
A1__P2_LogRange20,A1_LogBodyCenterToMACloudCenter_5_60,P2_LogRange20,P,0.1,0.004954550609300057,0.07419966059645788,163208,0.10000042890238366,163209,0.10000104162007459,42365,284052,0.14914522693028037,0.25957673643448853,0.2595751459784693
A1__T1_ER20,A1_LogBodyCenterToMACloudCenter_5_60,T1_ER20,T,0.01,0.0004920023406387308,0.0034707009194290556,16321,0.010000165433776553,16321,0.010000165433776553,393,32249,0.012186424385252257,0.024079406899087066,0.024079406899087066
A1__T1_ER20,A1_LogBodyCenterToMACloudCenter_5_60,T1_ER20,T,0.05,0.0024706467479083116,0.01957267205479776,81604,0.05000021445119183,81604,0.05000021445119183,8411,154797,0.05433567834001951,0.10307092789569139,0.10307092789569139
A1__T1_ER20,A1_LogBodyCenterToMACloudCenter_5_60,T1_ER20,T,0.1,0.004954550609300057,0.039182481905463334,163208,0.10000042890238366,163208,0.10000042890238366,33178,293238,0.11314358984851895,0.20328660359786285,0.20328660359786285
A1__T2_AbsTrendT20,A1_LogBodyCenterToMACloudCenter_5_60,T2_AbsTrendT20,T,0.01,0.0004920023406387308,0.0715356174078078,16321,0.010000165433776553,16321,0.010000165433776553,248,32394,0.007655738717046366,0.015195147356166902,0.015195147356166902
A1__T2_AbsTrendT20,A1_LogBodyCenterToMACloudCenter_5_60,T2_AbsTrendT20,T,0.05,0.0024706467479083116,0.3578866001974106,81604,0.05000021445119183,81604,0.05000021445119183,6444,156764,0.04110637646398408,0.07896671731777855,0.07896671731777855
A1__T2_AbsTrendT20,A1_LogBodyCenterToMACloudCenter_5_60,T2_AbsTrendT20,T,0.1,0.004954550609300057,0.7178157341239965,163208,0.10000042890238366,163208,0.10000042890238366,26055,300361,0.08674561610861596,0.1596429096612911,0.1596429096612911
A1__V1_TurnoverShrink20_60,A1_LogBodyCenterToMACloudCenter_5_60,V1_TurnoverShrink20_60,V,0.01,0.0004908038574145124,0.32563389366359047,16136,0.010000285084973914,16136,0.010000285084973914,134,32138,0.004169518949530151,0.008304412493802676,0.008304412493802676
