layer,role,indicator_id,W,q,total_row_count,eligible_day_count,ineligible_day_count,hit_true_day_count,hit_false_day_count,hit_null_day_count,hit_rate,coverage,unique_security_count_hit,nonzero_year_count,segment_count,strict_onset_count,left_censored_start_count,total_hit_duration,mean_duration,std_duration,min_duration,q10,q25,q50,q75,q90,q95,q99,max_duration,single_day_segment_count,single_day_fragment_ratio
P,A,P1_NATR14,120,0.1,1730769,1623605,107164,314578,1309027,107164,0.19375279085738217,0.18175620201193804,794,11,36493,36123,370,314578,8.620228536979695,10.392056642500297,1,1.0,1.0,4.0,12.0,23.0,30.0,46.0,86,9394,0.25741923108541365
P,A,P1_NATR14,120,0.2,1730769,1623605,107164,463526,1160079,107164,0.2854918530061191,0.2678150579308966,794,11,40280,39823,457,463526,11.50759682224429,15.265601778691524,1,1.0,2.0,5.0,15.0,33.0,45.0,68.0,157,9912,0.24607745779543197
P,A,P1_NATR14,120,0.3,1730769,1623605,107164,602583,1021022,107164,0.3711389161772722,0.3481591130878817,795,11,42637,42087,550,602583,14.132865820766002,19.445189709322314,1,1.0,2.0,5.0,19.0,42.0,57.0,86.0,171,9910,0.23242723456153105
P,A,P1_NATR14,250,0.1,1730769,1520247,210522,251274,1268973,210522,0.16528498329547764,0.14518055269074037,789,10,24032,23803,229,251274,10.455808921438082,13.926140004855485,1,1.0,1.0,4.0,14.0,30.0,41.0,63.0,122,6045,0.2515396138482024
P,A,P1_NATR14,250,0.2,1730769,1520247,210522,393749,1126498,210522,0.25900330669950344,0.22749945255548257,789,10,29254,28908,346,393749,13.459663635742121,19.681815792015257,1,1.0,2.0,5.0,16.0,40.0,57.0,88.0,228,7086,0.24222328570451904
P,A,P1_NATR14,250,0.3,1730769,1520247,210522,525894,994353,210522,0.3459266816510738,0.3038499071799876,791,10,31750,31296,454,525894,16.563590551181104,25.458371294247836,1,1.0,2.0,5.0,20.0,49.0,72.0,117.0,259,7265,0.22881889763779528
P,A,P1_NATR14,500,0.1,1730769,1322929,407840,200373,1122556,407840,0.15146164306625676,0.11577108210281095,773,9,16630,16571,59,200373,12.048887552615755,17.448178910306062,1,1.0,2.0,4.0,15.0,34.0,50.0,81.0,184,4116,0.24750450992182801
P,A,P1_NATR14,500,0.2,1730769,1322929,407840,328073,994856,407840,0.24798987700776082,0.1895533141626641,777,9,20604,20503,101,328073,15.92278198408076,25.223183894633404,1,1.0,2.0,5.0,19.0,46.0,69.0,123.0,292,4681,0.22718889536012424
P,A,P1_NATR14,500,0.3,1730769,1322929,407840,446315,876614,407840,0.3373688232701831,0.25787092327167865,782,9,23372,23229,143,446315,19.09614068115694,32.545175333073566,1,1.0,2.0,6.0,21.0,54.0,83.0,159.0,333,5217,0.22321581379428376
P,B,P2_LogRange20,120,0.1,1730769,1619612,111157,229565,1390047,111157,0.1417407379051279,0.13263757324056533,794,11,31343,31141,202,229565,7.32428293398845,6.629251220121687,1,1.0,2.0,5.0,10.0,16.0,21.0,30.0,68,4986,0.1590785821395527
P,B,P2_LogRange20,120,0.2,1730769,1619612,111157,388255,1231357,111157,0.23972099490495255,0.2243251410211299,794,11,38610,38292,318,388255,10.055814555814555,9.802518862144069,1,1.0,3.0,7.0,14.0,23.0,30.0,45.0,84,4880,0.12639212639212638
P,B,P2_LogRange20,120,0.3,1730769,1619612,111157,541819,1077793,111157,0.33453629634752025,0.3130510195179137,796,11,42259,41826,433,541819,12.82138716013157,12.887571292931488,1,1.0,4.0,8.0,18.0,30.0,39.0,58.0,126,4429,0.10480607681204004
