source_level,layer,indicator_id,raw_source_indicator_id,W,validity_status,reason_code,total_row_count,reason_occurrence_count,row_count,row_prevalence,reason_occurrence_share
indicator_score,P,P1_NATR14,P1_NATR14,250,unknown,insufficient_strict_past_history,1730769,1741969,199322,0.11516383757740056,0.11442339100179165
indicator_score,P,P1_NATR14,P1_NATR14,250,unknown,raw_metric_not_valid,1730769,1741969,11200,0.006471111973926041,0.0064295059211731094
indicator_score,P,P1_NATR14,P1_NATR14,250,unknown,window_insufficient,1730769,1741969,11200,0.006471111973926041,0.0064295059211731094
indicator_score,P,P1_NATR14,P1_NATR14,250,valid,valid_no_blocker,1730769,1741969,1520247,0.8783650504486734,0.8727175971558622
indicator_score,P,P1_NATR14,P1_NATR14,500,unknown,insufficient_strict_past_history,1730769,1741969,396640,0.22916980833375222,0.22769635969411625
indicator_score,P,P1_NATR14,P1_NATR14,500,unknown,raw_metric_not_valid,1730769,1741969,11200,0.006471111973926041,0.0064295059211731094
indicator_score,P,P1_NATR14,P1_NATR14,500,unknown,window_insufficient,1730769,1741969,11200,0.006471111973926041,0.0064295059211731094
indicator_score,P,P1_NATR14,P1_NATR14,500,valid,valid_no_blocker,1730769,1741969,1322929,0.7643590796923218,0.7594446284635376
indicator_score,P,P2_LogRange20,P2_LogRange20,120,unknown,insufficient_strict_past_history,1730769,1745969,95957,0.05544182961446617,0.05495916594166334
indicator_score,P,P2_LogRange20,P2_LogRange20,120,unknown,raw_metric_not_valid,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,P,P2_LogRange20,P2_LogRange20,120,unknown,window_insufficient,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,P,P2_LogRange20,P2_LogRange20,120,valid,valid_no_blocker,1730769,1745969,1619612,0.9357759469923485,0.9276292992601816
indicator_score,P,P2_LogRange20,P2_LogRange20,250,unknown,insufficient_strict_past_history,1730769,1745969,199282,0.11514072646320797,0.11413833808045848
indicator_score,P,P2_LogRange20,P2_LogRange20,250,unknown,raw_metric_not_valid,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
