layer,role,indicator_id,W,bucket_id,lower_bound,upper_bound,lower_inclusive,upper_inclusive,eligible_count,bucket_count,bucket_ratio_of_eligible,nominal_bucket_width,bucket_ratio_minus_nominal_width
V,B,V2_AmountLevel20Pct,250,B03_10_20,0.1,0.2,false,true,1516287,129108,0.08514746878394394,0.1,-0.014852531216056064
V,B,V2_AmountLevel20Pct,250,B04_20_30,0.2,0.3,false,true,1516287,118490,0.07814483669648292,0.09999999999999998,-0.021855163303517056
V,B,V2_AmountLevel20Pct,250,B05_30_50,0.3,0.5,false,true,1516287,240886,0.15886570286495894,0.2,-0.041134297135041076
V,B,V2_AmountLevel20Pct,250,B06_50_90,0.5,0.9,false,true,1516287,566116,0.37335675897768694,0.4,-0.02664324102231308
V,B,V2_AmountLevel20Pct,250,B07_90_95,0.9,0.95,false,true,1516287,80086,0.052817177750650104,0.04999999999999993,0.002817177750650171
V,B,V2_AmountLevel20Pct,250,B08_95_99,0.95,0.99,false,true,1516287,59137,0.03900119172689603,0.040000000000000036,-0.0009988082731040085
V,B,V2_AmountLevel20Pct,250,B09_99_100,0.99,1.0,false,true,1516287,100363,0.06618997590825483,0.010000000000000009,0.05618997590825482
V,B,V2_AmountLevel20Pct,500,B00_00_01,0.0,0.01,true,true,1319004,46084,0.03493848388632635,0.01,0.02493848388632635
V,B,V2_AmountLevel20Pct,500,B01_01_05,0.01,0.05,false,true,1319004,57543,0.04362609969340502,0.04,0.0036260996934050216
V,B,V2_AmountLevel20Pct,500,B02_05_10,0.05,0.1,false,true,1319004,59310,0.04496574688173804,0.05,-0.005034253118261965
V,B,V2_AmountLevel20Pct,500,B03_10_20,0.1,0.2,false,true,1319004,102228,0.07750393478715759,0.1,-0.02249606521284242
V,B,V2_AmountLevel20Pct,500,B04_20_30,0.2,0.3,false,true,1319004,97152,0.07365557648043523,0.09999999999999998,-0.026344423519564744
V,B,V2_AmountLevel20Pct,500,B05_30_50,0.3,0.5,false,true,1319004,196645,0.14908597699476273,0.2,-0.050914023005237286
V,B,V2_AmountLevel20Pct,500,B06_50_90,0.5,0.9,false,true,1319004,519960,0.39420653766023456,0.4,-0.005793462339765465
V,B,V2_AmountLevel20Pct,500,B07_90_95,0.9,0.95,false,true,1319004,94201,0.0714182822796595,0.04999999999999993,0.02141828227965957
V,B,V2_AmountLevel20Pct,500,B08_95_99,0.95,0.99,false,true,1319004,77315,0.05861619828294683,0.040000000000000036,0.01861619828294679
V,B,V2_AmountLevel20Pct,500,B09_99_100,0.99,1.0,false,true,1319004,68566,0.05198316305333418,0.010000000000000009,0.041983163053334174
