layer,role,indicator_id,raw_source_indicator_id,raw_metric_name,total_row_count,valid_count,unknown_count,diagnostic_required_count,blocked_count,raw_value_null_count,valid_ratio,missing_ratio,unknown_ratio,blocked_ratio,mean,standard_deviation,minimum,q01,q05,q10,q20,q30,median,q90,q95,q99,maximum,raw_tail_ratio_outside_q01_q99,domain_violation_count,domain_violation_ratio
C,A,C1_LogMASpread_5_60,C1_LogMASpread_5_60,LogMASpread_5_60,1730769,1683569,47200,0,0,47200,0.9727288852527403,0.027271114747259743,0.027271114747259743,0.0,0.03307440748596488,0.028275803968592896,0.00023028402393909347,0.003729050584469237,0.006765049734870237,0.009169429646625165,0.013125630753137028,0.016911679900526937,0.025434386145986993,0.06498146846144585,0.08422795140711664,0.13866224188665888,0.5372932421247221,0.020000368265274546,0,0.0
C,B,C2_AdjVWAPSpread_5_60,C2_AdjVWAPSpread_5_60,AdjVWAPSpread_5_60,1730769,1659385,38879,0,32505,71384,0.9587559056118985,0.04124409438810148,0.022463425217345585,0.01878066917075589,0.031566416689602056,0.024189363199925637,6.220054650032781e-05,0.0038528527595459356,0.006962772929691119,0.009406367010958216,0.01337262565185698,0.017131713011909373,0.02536553494997605,0.06094286405715678,0.07637423033046678,0.11642018130667947,0.4654621218663986,0.020000180789870946,0,0.0
P,A,P1_NATR14,P1_NATR14,NATR14,1730769,1719569,11200,0,0,11200,0.993528888026074,0.006471111973926041,0.006471111973926041,0.0,0.036405250259022914,0.01569154988451175,0.0053601819263977965,0.011906909349724156,0.016155412735625686,0.018970924362460406,0.023229760366391888,0.026888755643184548,0.033974056730962675,0.05671814674653552,0.06492208699832724,0.08343930722763232,0.4829013930501513,0.02000036055546477,0,0.0
P,B,P2_LogRange20,P2_LogRange20,LogRange20,1730769,1715569,15200,0,0,15200,0.9912177766068146,0.00878222339318534,0.00878222339318534,0.0,0.17731454211444805,0.10802984091346615,0.00930239266231363,0.041469356542713595,0.06106025676124628,0.07493900581274694,0.0960728273663784,0.11474813196122924,0.15309970758128316,0.30484807906275596,0.3717675756109936,0.5545047549519735,1.9941236451965392,0.019999195602158817,0,0.0
T,A,T1_ER20,T1_ER20,ER20,1730769,1714769,16000,0,0,16000,0.9907555543229628,0.009244445677037201,0.009244445677037201,0.0,0.23372109132690125,0.16586172854726153,0.0,0.0034816827117387407,0.019539593503328005,0.039119727475914426,0.07874058648710007,0.11955449569870313,0.20602500268122384,0.46771125495912363,0.5466990307491739,0.6924821802290723,1.0,0.020000361564735541,0,0.0
T,B,T2_AbsTrendT20,T2_AbsTrendT20,AbsTrendT20,1730769,1715569,15200,0,0,15200,0.9912177766068146,0.00878222339318534,0.00878222339318534,0.0,4.764160774600716,93.61252691283093,0.0,0.07115233203025809,0.3566621850567891,0.7151482458430214,1.4403876672128146,2.1874749680200405,3.807564337503626,9.110033999385333,10.999945206504709,15.17466072734333,42632.62069509317,0.020000361396131545,0,0.0
V,A,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,TurnoverShrink20_60,1730769,1662805,66722,0,1242,67964,0.9607319058753653,0.03926809412463477,0.03855049402895476,0.0007176000956800127,1.0838898221064412,0.7054341470059996,0.0693375844195082,0.32494533175128715,0.4523723009665802,0.5346203388118508,0.6494568690644522,0.7427954687700704,0.9255991826097281,1.7448021497850608,2.201590603776965,3.710040430986797,41.3862650671592,0.020001142647514292,0,0.0
V,B,V2_AmountLevel20Pct,V2_LogAmount20_base,LogAmount20,1730769,1715569,15200,0,0,15200,0.9912177766068146,0.00878222339318534,0.00878222339318534,0.0,19.46298810835952,1.1645745365559632,14.809465102491314,16.875183820950475,17.596803765831396,17.993701231587437,18.491703112228933,18.84309846296118,19.427330745347966,20.9844470491968,21.46480722146994,22.317916422324423,24.37337432797854,0.020000361396131545,0,0.0
