layer,indicator_a,indicator_b,W,q,common_eligible_rows,both_hit,indicator_a_only,indicator_b_only,neither,A_hit_count,B_hit_count,A_hit_rate,B_hit_rate,both_hit_rate,A_given_B,B_given_A,Jaccard,A_given_B_denominator_zero,B_given_A_denominator_zero,Jaccard_denominator_zero,joint_segment_count,joint_strict_onset_count,joint_left_censored_start_count,joint_total_duration,joint_mean_duration,joint_median_duration,joint_q90_duration,joint_q95_duration,joint_max_duration,joint_single_day_segment_count,joint_single_day_fragment_ratio
P,P1_NATR14,P2_LogRange20,500,0.1,1319004,102652,97437,63509,1055406,200089,166161,0.15169703806811807,0.1259745990156209,0.07782538946053234,0.6177863638278537,0.5130317008931026,0.3894263234167179,false,false,false,12144,12110,34,102652,8.452898550724637,5.0,21.0,28.0,89,2426,0.19976943346508563
P,P1_NATR14,P2_LogRange20,500,0.2,1319004,202059,125494,95234,896217,327553,297293,0.2483335911035903,0.22539203823491058,0.1531905892628074,0.6796628242171864,0.6168742157757676,0.47792150657423244,false,false,false,18143,18075,68,202059,11.137022543129582,6.0,28.0,39.0,152,3217,0.17731356446012236
P,P1_NATR14,P2_LogRange20,500,0.3,1319004,305144,140447,116970,756443,445591,422114,0.33782384283899064,0.3200248065964925,0.23134425672704556,0.722894763026102,0.6848073681919069,0.5424193998517494,false,false,false,22336,22238,98,305144,13.661532951289399,7.0,35.0,49.25,213,3766,0.1686067335243553
T,T1_ER20,T2_AbsTrendT20,120,0.1,1618814,50007,132513,133129,1303165,182520,183136,0.11274921022427531,0.11312973572010127,0.030891133879494496,0.2730593657172811,0.2739809335963182,0.15842597315372456,false,false,false,35762,35735,27,50007,1.3983278340137577,1.0,2.0,3.0,15,25781,0.7209048710922208
T,T1_ER20,T2_AbsTrendT20,120,0.2,1618814,159787,186315,185524,1087188,346102,345311,0.21379973239668054,0.2133111030668131,0.09870621331419174,0.462733593774887,0.4616760376998688,0.30056280166884236,false,false,false,76115,76041,74,159787,2.099283978190895,2.0,4.0,5.0,24,36284,0.47669973067069565
T,T1_ER20,T2_AbsTrendT20,120,0.3,1618814,301192,204733,202645,910244,505925,503837,0.31252818421387507,0.3112383510397118,0.18605719990066802,0.5977965095854413,0.5953293472352621,0.4250702118351045,false,false,false,99324,99176,148,301192,3.032419153477508,2.0,6.0,8.0,41,33296,0.33522612862953566
T,T1_ER20,T2_AbsTrendT20,250,0.1,1515495,39902,120359,120669,1234565,160261,160571,0.10574828686336807,0.10595284049106067,0.026329351136097447,0.24850066325799802,0.24898134917415965,0.14203538247962125,false,false,false,30631,30621,10,39902,1.3026672325421957,1.0,2.0,3.0,8,23446,0.7654337109464269
T,T1_ER20,T2_AbsTrendT20,250,0.2,1515495,139404,173077,172687,1030327,312481,312091,0.20619071656455482,0.20593337490390928,0.09198578682212742,0.4466774113960351,0.44611992409138473,0.28733139860831713,false,false,false,70311,70265,46,139404,1.9826769637752273,2.0,4.0,5.0,17,34667,0.49305229622676394
T,T1_ER20,T2_AbsTrendT20,250,0.3,1515495,273945,189440,188092,864018,463385,462037,0.30576478312366584,0.304875304768409,0.18076272109112865,0.5929070615556763,0.5911822782351608,0.4204983445309658,false,false,false,92855,92744,111,273945,2.9502450056539766,2.0,6.0,7.0,35,30562,0.32913682623445156
T,T1_ER20,T2_AbsTrendT20,500,0.1,1318219,32620,103641,104082,1077876,136261,136702,0.10336749811677726,0.10370204040451549,0.024745508902541992,0.23862123451010225,0.2393935168536852,0.13572269631318573,false,false,false,25724,25707,17,32620,1.268076504431659,1.0,2.0,2.0,8,20207,0.7855310216140569
