layer,indicator_a,indicator_b,W,eligible_rows,unique_security_count,pooled_spearman_score,pooled_spearman_percentile,security_spearman_computable_count,security_spearman_q25,security_spearman_median,security_spearman_q75,positive_security_share,negative_security_share,zero_security_share,pooled_vs_security_median_sign_consistency
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,120,1563558,795,0.9048447469786213,0.9048447469786214,795,0.8755855678746176,0.913270799226666,0.9395645805887883,1.0,0.0,0.0,true
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,250,1460423,792,0.919358080480216,0.9193580804802163,792,0.8960253318097426,0.9277274524968011,0.9486058742008662,1.0,0.0,0.0,true
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,500,1263482,783,0.9263820333057502,0.9263820333057501,783,0.9005343116921503,0.9345305368901927,0.9550997155473862,1.0,0.0,0.0,true
P,P1_NATR14,P2_LogRange20,120,1619612,798,0.6848146937973527,0.6848146937973529,798,0.6303773774512473,0.6886183515335587,0.7384048977089521,0.9987468671679198,0.0012531328320802004,0.0,true
P,P1_NATR14,P2_LogRange20,250,1516287,792,0.7280039875199107,0.7280039875199107,792,0.6743959004073586,0.7352697209894865,0.7762963867283482,1.0,0.0,0.0,true
P,P1_NATR14,P2_LogRange20,500,1319004,785,0.7573603883092987,0.7573603883092986,785,0.70360209547493,0.7570400229991383,0.8011191619098056,0.9974522292993631,0.0025477707006369425,0.0,true
T,T1_ER20,T2_AbsTrendT20,120,1618814,798,0.6554608271671705,0.6554608271671702,798,0.6372014124111858,0.655347368344582,0.6760250791349292,1.0,0.0,0.0,true
T,T1_ER20,T2_AbsTrendT20,250,1515495,792,0.6664633960030028,0.6664633960030029,792,0.6470819429361166,0.6681399418571523,0.6865677453863266,1.0,0.0,0.0,true
T,T1_ER20,T2_AbsTrendT20,500,1318219,785,0.6694530457733647,0.6694530457733647,785,0.6486239053192498,0.66925866361099,0.6914203721784996,1.0,0.0,0.0,true
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,120,1567078,795,0.6194979669166687,0.6194979669166711,795,0.5759964332829428,0.6278089571743606,0.6710302972135562,1.0,0.0,0.0,true
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,250,1464003,792,0.5289351107822817,0.5289351107822854,792,0.48832933707882376,0.5390262594471086,0.5920352769892403,1.0,0.0,0.0,true
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,500,1267268,780,0.4581265185238469,0.4581265185238455,780,0.42475967585563557,0.4810653098917702,0.5488498089904617,0.9987179487179487,0.001282051282051282,0.0,true
