candidate_config_id,state_line,W,q,K,key_count,eligible_count,missing_key_count,extra_key_count,raw_state_mismatch_count,confirmed_state_mismatch_count,interval_mismatch_count,upstream_profile_mismatch_count,upstream_nested_mismatch_count,P_true_count,P_false_count,P_null_count,C_true_count,C_false_count,C_null_count,T_true_count,T_false_count,T_null_count,V_true_count,V_false_count,V_null_count,raw_state_true_count,raw_state_false_count,raw_state_null_count,unknown_count,blocked_count,diagnostic_required_count,confirmed_state_days,confirmed_coverage,confirmed_interval_count,mean_duration,median_duration,single_day_fragment_count,single_day_fragment_rate,confirmation_time_consistency,reconciliation_status
R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,1730769,1730769,0,0,0,0,0,0,0,337590,1282022,111157,361374,1202184,167211,248118,1370696,111955,257834,1309244,163691,39800,1562932,128037,126422,1615,0,12480,0.007210667628089017,5528,2.2575976845151953,2.0,2514,0.4547756874095514,passed,passed
R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,1730769,1730769,0,0,0,0,0,0,0,337590,1282022,111157,361374,1202184,167211,248118,1370696,111955,257834,1309244,163691,10768,1590924,129077,127424,1653,0,2941,0.0016992446710104006,1426,2.0624123422159886,2.0,709,0.49719495091164095,passed,passed
R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,1730769,1730769,0,0,0,0,0,0,0,300660,1215627,214482,309393,1151030,270346,223760,1291735,215274,188233,1275770,266766,34615,1469056,227098,226030,1068,0,10854,0.006271200836160112,4884,2.2223587223587224,2.0,2250,0.4606879606879607,passed,passed
R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,1730769,1730769,0,0,0,0,0,0,0,300660,1215627,214482,309393,1151030,270346,223760,1291735,215274,188233,1275770,266766,7860,1495506,227403,226326,1077,0,2143,0.00123817794286817,1024,2.0927734375,2.0,492,0.48046875,passed,passed
