W,q,row_count,security_count,year_count,block_count,shiftable_block_count,singleton_unshiftable_block_count,min_block_length,median_block_length,max_block_length,cross_security_violation_count,cross_year_violation_count,calendar_gap_inside_block_count,rows_unassigned_count,segment_contract_version,status
120,0.2,1730769,800,11,8677,8669,8,1,242.0,244,0,0,0,0,authorized_master_calendar_gap_v1,passed
250,0.2,1730769,800,11,8677,8669,8,1,242.0,244,0,0,0,0,authorized_master_calendar_gap_v1,passed
