check_id,scope,candidate_cell_id,observed_value,expected_rule,status,blocking,detail
s_pct_qualified_event_count,r2_s_pct_w250_qt25_primary,r2_s_pct_w250_qt25_primary__d3__g2,2531,>=348,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w250_qt25_primary,r2_s_pct_w250_qt25_primary__d2__g0,4325,>=348,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w250_qt25_primary,r2_s_pct_w250_qt25_primary__d2__g1,4164,>=348,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w120_qt25_primary,r2_s_pct_w120_qt25_primary__d1__g1,7238,>=384,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w120_qt25_primary,r2_s_pct_w120_qt25_primary__d3__g2,2831,>=384,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w250_q20_shared,r2_s_pct_w250_q20_shared__d1__g2,4557,>=250,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w250_qt25_primary,r2_s_pct_w250_qt25_primary__d1__g2,6297,>=348,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w120_q20_shared,r2_s_pct_w120_q20_shared__d1__g0,5528,>=277,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w120_q20_shared,r2_s_pct_w120_q20_shared__d1__g1,5271,>=277,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w120_q20_shared,r2_s_pct_w120_q20_shared__d1__g2,5134,>=277,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w120_q20_shared,r2_s_pct_w120_q20_shared__d2__g0,3014,>=277,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w120_q20_shared,r2_s_pct_w120_q20_shared__d2__g2,2869,>=277,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w120_qt25_primary,r2_s_pct_w120_qt25_primary__d1__g2,6999,>=384,passed,False,frozen_reference_gate
