candidate_cell_id,route_id,eligible_days,confirmed_state_days,confirmed_state_coverage,atomic_confirmed_interval_count
r2_s_pcvt_w120_qv30_primary__d3__g0,r2_s_pcvt_w120_qv30_primary,1601692,4567,0.002851359687130859,2179
r2_s_pcvt_w120_qv30_primary__d3__g1,r2_s_pcvt_w120_qv30_primary,1601692,4567,0.002851359687130859,2179
r2_s_pcvt_w120_qv30_primary__d3__g2,r2_s_pcvt_w120_qv30_primary,1601692,4567,0.002851359687130859,2179
r2_s_pcvt_w250_q20_shared__d1__g0,r2_s_pcvt_w250_q20_shared,1503366,2143,0.001425467916661678,1024
r2_s_pcvt_w250_q20_shared__d1__g1,r2_s_pcvt_w250_q20_shared,1503366,2143,0.001425467916661678,1024
r2_s_pcvt_w250_q20_shared__d1__g2,r2_s_pcvt_w250_q20_shared,1503366,2143,0.001425467916661678,1024
r2_s_pcvt_w250_q20_shared__d2__g0,r2_s_pcvt_w250_q20_shared,1503366,2143,0.001425467916661678,1024
r2_s_pcvt_w250_q20_shared__d2__g1,r2_s_pcvt_w250_q20_shared,1503366,2143,0.001425467916661678,1024
r2_s_pcvt_w250_q20_shared__d2__g2,r2_s_pcvt_w250_q20_shared,1503366,2143,0.001425467916661678,1024
r2_s_pcvt_w250_q20_shared__d3__g0,r2_s_pcvt_w250_q20_shared,1503366,2143,0.001425467916661678,1024
r2_s_pcvt_w250_q20_shared__d3__g1,r2_s_pcvt_w250_q20_shared,1503366,2143,0.001425467916661678,1024
r2_s_pcvt_w250_q20_shared__d3__g2,r2_s_pcvt_w250_q20_shared,1503366,2143,0.001425467916661678,1024
r2_s_pcvt_w250_qv30_primary__d1__g0,r2_s_pcvt_w250_qv30_primary,1503366,3591,0.002388639892082168,1674
r2_s_pcvt_w250_qv30_primary__d1__g1,r2_s_pcvt_w250_qv30_primary,1503366,3591,0.002388639892082168,1674
r2_s_pcvt_w250_qv30_primary__d1__g2,r2_s_pcvt_w250_qv30_primary,1503366,3591,0.002388639892082168,1674
r2_s_pcvt_w250_qv30_primary__d2__g0,r2_s_pcvt_w250_qv30_primary,1503366,3591,0.002388639892082168,1674
r2_s_pcvt_w250_qv30_primary__d2__g1,r2_s_pcvt_w250_qv30_primary,1503366,3591,0.002388639892082168,1674
r2_s_pcvt_w250_qv30_primary__d2__g2,r2_s_pcvt_w250_qv30_primary,1503366,3591,0.002388639892082168,1674
r2_s_pcvt_w250_qv30_primary__d3__g0,r2_s_pcvt_w250_qv30_primary,1503366,3591,0.002388639892082168,1674
r2_s_pcvt_w250_qv30_primary__d3__g1,r2_s_pcvt_w250_qv30_primary,1503366,3591,0.002388639892082168,1674
r2_s_pcvt_w250_qv30_primary__d3__g2,r2_s_pcvt_w250_qv30_primary,1503366,3591,0.002388639892082168,1674
