candidate_cell_id,route_id,d,g,status,security_count,component_count,event_count,error
r2_s_pcvt_w250_q20_shared__d1__g0,r2_s_pcvt_w250_q20_shared,1,0,completed,800,1024,1024,
r2_s_pcvt_w250_q20_shared__d1__g1,r2_s_pcvt_w250_q20_shared,1,1,completed,800,1024,1003,
r2_s_pcvt_w250_q20_shared__d1__g2,r2_s_pcvt_w250_q20_shared,1,2,completed,800,1024,985,
r2_s_pcvt_w250_q20_shared__d2__g0,r2_s_pcvt_w250_q20_shared,2,0,completed,800,1024,532,
r2_s_pcvt_w250_q20_shared__d2__g1,r2_s_pcvt_w250_q20_shared,2,1,completed,800,1024,525,
r2_s_pcvt_w250_q20_shared__d2__g2,r2_s_pcvt_w250_q20_shared,2,2,completed,800,1024,519,
r2_s_pcvt_w250_q20_shared__d3__g0,r2_s_pcvt_w250_q20_shared,3,0,completed,800,1024,275,
r2_s_pcvt_w250_q20_shared__d3__g1,r2_s_pcvt_w250_q20_shared,3,1,completed,800,1024,273,
r2_s_pcvt_w250_q20_shared__d3__g2,r2_s_pcvt_w250_q20_shared,3,2,completed,800,1024,272,
r2_s_pcvt_w250_qv30_primary__d1__g0,r2_s_pcvt_w250_qv30_primary,1,0,completed,800,1674,1674,
r2_s_pcvt_w250_qv30_primary__d1__g1,r2_s_pcvt_w250_qv30_primary,1,1,completed,800,1674,1625,
r2_s_pcvt_w250_qv30_primary__d1__g2,r2_s_pcvt_w250_qv30_primary,1,2,completed,800,1674,1592,
r2_s_pcvt_w250_qv30_primary__d2__g0,r2_s_pcvt_w250_qv30_primary,2,0,completed,800,1674,869,
r2_s_pcvt_w250_qv30_primary__d2__g1,r2_s_pcvt_w250_qv30_primary,2,1,completed,800,1674,851,
r2_s_pcvt_w250_qv30_primary__d2__g2,r2_s_pcvt_w250_qv30_primary,2,2,completed,800,1674,840,
r2_s_pcvt_w250_qv30_primary__d3__g0,r2_s_pcvt_w250_qv30_primary,3,0,completed,800,1674,464,
r2_s_pcvt_w250_qv30_primary__d3__g1,r2_s_pcvt_w250_qv30_primary,3,1,completed,800,1674,458,
r2_s_pcvt_w250_qv30_primary__d3__g2,r2_s_pcvt_w250_qv30_primary,3,2,completed,800,1674,456,
