candidate_cell_id,metric_id,independent_value,production_value,status
r2_s_pct_w120_qt25_primary__d3__g0,qualified_components,2961,2961,passed
r2_s_pct_w120_qt25_primary__d3__g0,event_count,2961,2961,passed
r2_s_pct_w120_qt25_primary__d3__g0,confirmed_event_coverage,0.6833341471751551,0.6833341471751551,passed
r2_s_pct_w120_qt25_primary__d3__g0,raw_false_bridged_days,0,0,passed
r2_s_pct_w120_qt25_primary__d3__g1,confirmed_days,20479,20479,passed
r2_s_pct_w120_qt25_primary__d3__g1,qualified_components,2961,2961,passed
r2_s_pct_w120_qt25_primary__d3__g1,event_count,2874,2874,passed
r2_s_pct_w120_qt25_primary__d3__g1,confirmed_event_coverage,0.6833341471751551,0.6833341471751551,passed
r2_s_pct_w120_qt25_primary__d3__g1,raw_false_bridged_days,87,87,passed
r2_s_pct_w120_qt25_primary__d3__g2,confirmed_days,20479,20479,passed
r2_s_pct_w120_qt25_primary__d3__g2,qualified_components,2961,2961,passed
r2_s_pct_w120_qt25_primary__d3__g2,event_count,2831,2831,passed
r2_s_pct_w120_qt25_primary__d3__g2,confirmed_event_coverage,0.6833341471751551,0.6833341471751551,passed
r2_s_pct_w120_qt25_primary__d3__g2,raw_false_bridged_days,173,173,passed
r2_s_pct_w250_q20_shared__d1__g0,confirmed_days,10854,10854,passed
r2_s_pct_w250_q20_shared__d1__g0,qualified_components,4884,4884,passed
r2_s_pct_w250_q20_shared__d1__g0,event_count,4884,4884,passed
r2_s_pct_w250_q20_shared__d1__g0,confirmed_event_coverage,1.0,1.0,passed
r2_s_pct_w250_q20_shared__d1__g0,raw_false_bridged_days,0,0,passed
r2_s_pct_w250_q20_shared__d1__g1,confirmed_days,10854,10854,passed
r2_s_pct_w250_q20_shared__d1__g1,qualified_components,4884,4884,passed
r2_s_pct_w250_q20_shared__d1__g1,event_count,4690,4690,passed
r2_s_pct_w250_q20_shared__d1__g1,confirmed_event_coverage,1.0,1.0,passed
r2_s_pct_w250_q20_shared__d1__g1,raw_false_bridged_days,194,194,passed
r2_s_pct_w250_q20_shared__d1__g2,confirmed_days,10854,10854,passed
r2_s_pct_w250_q20_shared__d1__g2,qualified_components,4884,4884,passed
r2_s_pct_w250_q20_shared__d1__g2,event_count,4557,4557,passed
r2_s_pct_w250_q20_shared__d1__g2,confirmed_event_coverage,1.0,1.0,passed
r2_s_pct_w250_q20_shared__d1__g2,raw_false_bridged_days,460,460,passed
r2_s_pct_w250_q20_shared__d2__g0,confirmed_days,10854,10854,passed
r2_s_pct_w250_q20_shared__d2__g0,qualified_components,2634,2634,passed
r2_s_pct_w250_q20_shared__d2__g0,event_count,2634,2634,passed
r2_s_pct_w250_q20_shared__d2__g0,confirmed_event_coverage,0.7927031509121062,0.7927031509121062,passed
r2_s_pct_w250_q20_shared__d2__g0,raw_false_bridged_days,0,0,passed
r2_s_pct_w250_q20_shared__d2__g1,confirmed_days,10854,10854,passed
r2_s_pct_w250_q20_shared__d2__g1,qualified_components,2634,2634,passed
r2_s_pct_w250_q20_shared__d2__g1,event_count,2572,2572,passed
r2_s_pct_w250_q20_shared__d2__g1,confirmed_event_coverage,0.7927031509121062,0.7927031509121062,passed
r2_s_pct_w250_q20_shared__d2__g1,raw_false_bridged_days,62,62,passed
r2_s_pct_w250_q20_shared__d2__g2,confirmed_days,10854,10854,passed
r2_s_pct_w250_q20_shared__d2__g2,qualified_components,2634,2634,passed
r2_s_pct_w250_q20_shared__d2__g2,event_count,2525,2525,passed
r2_s_pct_w250_q20_shared__d2__g2,confirmed_event_coverage,0.7927031509121062,0.7927031509121062,passed
r2_s_pct_w250_q20_shared__d2__g2,raw_false_bridged_days,156,156,passed
r2_s_pct_w250_q20_shared__d3__g0,confirmed_days,10854,10854,passed
r2_s_pct_w250_q20_shared__d3__g0,qualified_components,1442,1442,passed
r2_s_pct_w250_q20_shared__d3__g0,event_count,1442,1442,passed
r2_s_pct_w250_q20_shared__d3__g0,confirmed_event_coverage,0.5730606228118665,0.5730606228118665,passed
r2_s_pct_w250_q20_shared__d3__g0,raw_false_bridged_days,0,0,passed
r2_s_pct_w250_q20_shared__d3__g1,confirmed_days,10854,10854,passed
r2_s_pct_w250_q20_shared__d3__g1,qualified_components,1442,1442,passed
r2_s_pct_w250_q20_shared__d3__g1,event_count,1420,1420,passed
r2_s_pct_w250_q20_shared__d3__g1,confirmed_event_coverage,0.5730606228118665,0.5730606228118665,passed
r2_s_pct_w250_q20_shared__d3__g1,raw_false_bridged_days,22,22,passed
r2_s_pct_w250_q20_shared__d3__g2,confirmed_days,10854,10854,passed
r2_s_pct_w250_q20_shared__d3__g2,qualified_components,1442,1442,passed
r2_s_pct_w250_q20_shared__d3__g2,event_count,1403,1403,passed
r2_s_pct_w250_q20_shared__d3__g2,confirmed_event_coverage,0.5730606228118665,0.5730606228118665,passed
r2_s_pct_w250_q20_shared__d3__g2,raw_false_bridged_days,56,56,passed
r2_s_pct_w250_qt25_primary__d1__g0,confirmed_days,18328,18328,passed
r2_s_pct_w250_qt25_primary__d1__g0,qualified_components,6958,6958,passed
r2_s_pct_w250_qt25_primary__d1__g0,event_count,6958,6958,passed
