candidate_cell_id,route_id,state_line,W,d,g,qualified_event_count,unique_securities,retained_confirmed_day_ratio,short_interval_drop_rate,bridged_day_ratio,merge_ratio,open_event_ratio,nonzero_years,max_year_share,duration_q95_ratio
r2_s_pct_w250_qt25_primary__d1__g1,r2_s_pct_w250_qt25_primary,S_PCT,250,1,1,6557,782,1.0,0.0,0.020531462802723874,0.06115601647094708,0.0,10,0.21133554416641542,4.0
r2_s_pct_w250_qt25_primary__d1__g2,r2_s_pct_w250_qt25_primary,S_PCT,250,1,2,6297,782,1.0,0.0,0.04464588685830627,0.10497062093060187,0.0,10,0.21269592476489027,5.0
r2_s_pct_w250_qt25_primary__d2__g0,r2_s_pct_w250_qt25_primary,S_PCT,250,2,0,4325,772,0.8563400261894369,0.37841333716585224,0.0,0.0,0.0,10,0.21664374140302614,2.6666666666666665
r2_s_pct_w250_qt25_primary__d2__g1,r2_s_pct_w250_qt25_primary,S_PCT,250,2,1,4164,772,0.8563400261894369,0.37841333716585224,0.00995178637656076,0.038664745437079734,0.0,10,0.21404841006169908,3.0
r2_s_pct_w250_qt25_primary__d2__g2,r2_s_pct_w250_qt25_primary,S_PCT,250,2,2,4057,772,0.8563400261894369,0.37841333716585224,0.022544186605747266,0.0660586640374661,0.0,10,0.21360874848116645,3.6666666666666665
r2_s_pct_w250_qt25_primary__d3__g0,r2_s_pct_w250_qt25_primary,S_PCT,250,3,0,2642,747,0.6726865997381056,0.6202931876976142,0.0,0.0,0.0,10,0.23154739602847507,2.25
r2_s_pct_w250_qt25_primary__d3__g1,r2_s_pct_w250_qt25_primary,S_PCT,250,3,1,2574,747,0.6726865997381056,0.6202931876976142,0.005425676214792946,0.02641802641802642,0.0,10,0.22861526658995013,2.5
r2_s_pct_w250_qt25_primary__d3__g2,r2_s_pct_w250_qt25_primary,S_PCT,250,3,2,2531,747,0.6726865997381056,0.6202931876976142,0.0121135845197829,0.04385618332674832,0.0,10,0.22810432074737252,2.75
r2_s_pcvt_w120_q20_shared__d1__g0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,1,0,1426,617,1.0,0.0,0.0,0.0,0.0,11,0.14814814814814814,2.5
r2_s_pcvt_w120_q20_shared__d1__g1,r2_s_pcvt_w120_q20_shared,S_PCVT,120,1,1,1382,617,1.0,0.0,0.014318255776114546,0.03183791606367583,0.0,11,0.14852198990627252,3.0
r2_s_pcvt_w120_q20_shared__d1__g2,r2_s_pcvt_w120_q20_shared,S_PCVT,120,1,2,1356,617,1.0,0.0,0.03016970458830924,0.051622418879056046,0.0,11,0.14757709251101322,3.0
r2_s_pcvt_w120_q20_shared__d2__g0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,2,0,717,449,0.7589255355321319,0.49719495091164095,0.0,0.0,0.0,11,0.1571627260083449,2.0
r2_s_pcvt_w120_q20_shared__d2__g1,r2_s_pcvt_w120_q20_shared,S_PCVT,120,2,1,706,449,0.7589255355321319,0.49719495091164095,0.004856512141280353,0.015580736543909348,0.0,11,0.1596045197740113,2.3333333333333335
r2_s_pcvt_w120_q20_shared__d2__g2,r2_s_pcvt_w120_q20_shared,S_PCVT,120,2,2,699,449,0.7589255355321319,0.49719495091164095,0.01088850174216028,0.02575107296137339,0.0,11,0.1581196581196581,2.3333333333333335
r2_s_pcvt_w120_q20_shared__d3__g0,r2_s_pcvt_w120_q20_shared,S_PCVT,120,3,0,382,298,0.5311118667120027,0.7321178120617111,0.0,0.0,0.0,11,0.1906005221932115,1.75
r2_s_pcvt_w120_q20_shared__d3__g1,r2_s_pcvt_w120_q20_shared,S_PCVT,120,3,1,378,298,0.5311118667120027,0.7321178120617111,0.0025412960609911056,0.010582010582010581,0.0,11,0.19261213720316622,2.0
