gate_id,state_line,metric_id,operator,threshold,admissible_threshold,scope_rule,evaluator_id,violation_population_key,fail_closed,zero_tolerance
blocked_bridge,GLOBAL,blocked_bridge,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__blocked_bridge,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
diagnostic_required_bridge,GLOBAL,diagnostic_required_bridge,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__diagnostic_required_bridge,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
ineligible_bridge,GLOBAL,ineligible_bridge,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__ineligible_bridge,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
confirmed_day_conservation_mismatch,GLOBAL,confirmed_day_conservation_mismatch,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__confirmed_day_conservation_mismatch,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
event_overlap_within_same_route_cell_security,GLOBAL,event_overlap_within_same_route_cell_security,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__event_overlap_within_same_route_cell_security,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
post_merge_short_zone,GLOBAL,post_merge_short_zone,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__post_merge_short_zone,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
risk_set_violation,GLOBAL,risk_set_violation,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__risk_set_violation,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
strict_core_subset_violation,GLOBAL,strict_core_subset_violation,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__strict_core_subset_violation,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
event_id_instability,GLOBAL,event_id_instability,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__event_id_instability,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
availability_backfill,GLOBAL,availability_backfill,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__availability_backfill,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
right_censor_misclassified_as_natural_exit,GLOBAL,right_censor_misclassified_as_natural_exit,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__right_censor_misclassified_as_natural_exit,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
