state_version_id,state_line,window_track_id,W,K,qP,qC,qT,qV,d,g,source_candidate_cell_id,strict_core_source_candidate_cell_id,strict_core_enabled,contract_version,source_run_id,freeze_decision_hash,freeze_plan_hash
r2_s_pct_W120_K3_qP20_qC20_qT25_qV20_d2_g1_v8,S_PCT,W120,120,3,0.2,0.2,0.25,0.2,2,1,r2_s_pct_w120_qt25_primary__d2__g1,r2_s_pct_w120_q20_shared__d2__g1,True,r2_t02_confirmed_event_zone_state_machine_contract.v8,R2-T05-20260713T154957Z,ceb99c3480aa49a13a545dd06d43a85c2faf378256c49623b17d1b0255e0048d,1ea368d67b9445a6916ee31ff33e6f0a5f94ed43b0fd5a2b716f8d60c39a80dc
r2_s_pcvt_W120_K3_qP20_qC20_qT20_qV30_d2_g1_v8,S_PCVT,W120,120,3,0.2,0.2,0.2,0.3,2,1,r2_s_pcvt_w120_qv30_primary__d2__g1,r2_s_pcvt_w120_q20_shared__d2__g1,True,r2_t02_confirmed_event_zone_state_machine_contract.v8,R2-T05-20260713T154957Z,ceb99c3480aa49a13a545dd06d43a85c2faf378256c49623b17d1b0255e0048d,1ea368d67b9445a6916ee31ff33e6f0a5f94ed43b0fd5a2b716f8d60c39a80dc
