state_name,eligible_day_count,valid_day_count,unknown_day_count,blocked_day_count,diagnostic_required_day_count,raw_state_true_day_count,raw_state_false_day_count,raw_state_null_day_count,confirmed_state_true_day_count,confirmed_state_false_day_count,confirmed_state_null_day_count,unique_security_count_raw_true,unique_security_count_confirmed_true,nonzero_year_count_raw,nonzero_year_count_confirmed,candidate_config_id,W,q,K,raw_coverage,confirmed_coverage,year_coverage_raw,year_coverage_confirmed,unknown_ratio,blocked_ratio,diagnostic_required_ratio,raw_segment_count,raw_fragment_rate,raw_average_duration,raw_fragment_denominator_zero,raw_duration_denominator_zero,confirmed_interval_count,confirmed_interval_total_days,confirmed_interval_average_duration,unique_security_count_confirmed_interval,nonzero_year_count_confirmed_interval,confirmed_interval_status
S_P,1730769,1619612,111157,0,0,196350,1423262,111157,169508,1450104,111157,794,794,11,11,R0_W120_Q10_K2_WEAK_D010,120,0.1,2,0.1134466817928909,0.09793796861395138,1.0,1.0,0.06422405300765151,0.0,0.0,26842,0.1367048637636873,7.315028686387006,False,False,20862,169508,8.125203719681718,794,11,computed
S_PC,1730769,1608260,121679,830,0,56797,1551463,122509,45078,1563182,122509,790,790,11,11,R0_W120_Q10_K2_WEAK_D010,120,0.1,2,0.03281604881991762,0.026045070139342687,1.0,1.0,0.0703034315960131,0.00047955561949630484,0.0,11719,0.20633132031621387,4.8465739397559515,False,False,8743,45078,5.1558961454878185,790,11,computed
S_PCT,1730769,1608260,121679,830,0,6693,1601567,122509,2154,1606106,122509,769,616,11,11,R0_W120_Q10_K2_WEAK_D010,120,0.1,2,0.0038670671822756244,0.0012445334992711333,1.0,1.0,0.0703034315960131,0.00047955561949630484,0.0,4539,0.6781712236665173,1.4745538664904163,False,False,1405,2154,1.5330960854092526,616,11,computed
S_PCVT,1730769,1608055,121876,838,0,1143,1606912,122714,333,1607722,122714,449,192,11,11,R0_W120_Q10_K2_WEAK_D010,120,0.1,2,0.0006604000880533451,0.00019240002565333676,1.0,1.0,0.07041725383341162,0.00048417784233482344,0.0,810,0.7086614173228346,1.4111111111111112,False,False,235,333,1.4170212765957446,192,11,computed
S_P,1730769,1619612,111157,0,0,196350,1423262,111157,148646,1470966,111157,794,794,11,11,R0_W120_Q10_K3_WEAK_D010,120,0.1,3,0.1134466817928909,0.08588436700680449,1.0,1.0,0.06422405300765151,0.0,0.0,26842,0.1367048637636873,7.315028686387006,False,False,17480,148646,8.503775743707093,794,11,computed
S_PC,1730769,1608260,121679,830,0,56797,1551463,122509,36335,1571925,122509,790,789,11,11,R0_W120_Q10_K3_WEAK_D010,120,0.1,3,0.03281604881991762,0.02099355835469667,1.0,1.0,0.0703034315960131,0.00047955561949630484,0.0,11719,0.20633132031621387,4.8465739397559515,False,False,6865,36335,5.29278951201748,789,11,computed
S_PCT,1730769,1608260,121679,830,0,6693,1601567,122509,749,1607511,122509,769,346,11,11,R0_W120_Q10_K3_WEAK_D010,120,0.1,3,0.0038670671822756244,0.000432755613256304,1.0,1.0,0.0703034315960131,0.00047955561949630484,0.0,4539,0.6781712236665173,1.4745538664904163,False,False,477,749,1.570230607966457,346,11,computed
S_PCVT,1730769,1608055,121876,838,0,1143,1606912,122714,98,1607957,122714,449,63,11,11,R0_W120_Q10_K3_WEAK_D010,120,0.1,3,0.0006604000880533451,5.662222977185286e-05,1.0,1.0,0.07041725383341162,0.00048417784233482344,0.0,810,0.7086614173228346,1.4111111111111112,False,False,67,98,1.462686567164179,63,11,computed
S_P,1730769,1619612,111157,0,0,196350,1423262,111157,116114,1503498,111157,794,794,11,11,R0_W120_Q10_K5_WEAK_D010,120,0.1,5,0.1134466817928909,0.0670880978339686,1.0,1.0,0.06422405300765151,0.0,0.0,26842,0.1367048637636873,7.315028686387006,False,False,13174,116114,8.813875816001215,794,11,computed
S_PC,1730769,1608260,121679,830,0,56797,1551463,122509,23961,1584299,122509,790,783,11,11,R0_W120_Q10_K5_WEAK_D010,120,0.1,5,0.03281604881991762,0.013844135179218025,1.0,1.0,0.0703034315960131,0.00047955561949630484,0.0,11719,0.20633132031621387,4.8465739397559515,False,False,4473,23961,5.356807511737089,783,11,computed
S_PCT,1730769,1608260,121679,830,0,6693,1601567,122509,91,1608169,122509,769,56,11,10,R0_W120_Q10_K5_WEAK_D010,120,0.1,5,0.0038670671822756244,5.257778478814908e-05,1.0,0.9090909090909091,0.0703034315960131,0.00047955561949630484,0.0,4539,0.6781712236665173,1.4745538664904163,False,False,58,91,1.5689655172413792,56,10,computed
S_PCVT,1730769,1608055,121876,838,0,1143,1606912,122714,8,1608047,122714,449,7,11,5,R0_W120_Q10_K5_WEAK_D010,120,0.1,5,0.0006604000880533451,4.622222838518601e-06,1.0,0.45454545454545453,0.07041725383341162,0.00048417784233482344,0.0,810,0.7086614173228346,1.4111111111111112,False,False,7,8,1.1428571428571428,7,5,computed
S_P,1730769,1619612,111157,0,0,337590,1282022,111157,303192,1316420,111157,794,794,11,11,R0_W120_Q20_K2_WEAK_D010,120,0.2,2,0.1950520260069368,0.17517762335701645,1.0,1.0,0.06422405300765151,0.0,0.0,34398,0.1018928285790456,9.814233385661957,False,False,27553,303192,11.003956012049505,794,11,computed
S_PC,1730769,1602732,126422,1615,0,145033,1457699,128037,124013,1478719,128037,791,791,11,11,R0_W120_Q20_K2_WEAK_D010,120,0.2,2,0.08379685561735853,0.07165196510915091,1.0,1.0,0.07304383196139981,0.0009331112355259425,0.0,21020,0.14493253259602987,6.899762131303521,False,False,16763,124013,7.398019447592913,791,11,computed
S_PCT,1730769,1602732,126422,1615,0,39800,1562932,128037,22201,1580531,128037,790,786,11,11,R0_W120_Q20_K2_WEAK_D010,120,0.2,2,0.02299555862163004,0.012827246154743932,1.0,1.0,0.07304383196139981,0.0009331112355259425,0.0,17599,0.4421859296482412,2.2614921302346724,False,False,9721,22201,2.2838185371875324,786,11,computed
