security_id,indicator_id,row_count,valid_count,valid_rate,zero_count,zero_rate_among_valid,first_date,last_date,first_valid_date,last_valid_date,min_value,median_value,max_value
000050.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2182,0.8570306362922231,45,0.020623281393217233,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.003547354540637926,0.04105454012571208
000060.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2460,0.9662215239591516,0,0.0,2016-01-04,2026-06-30,2016-05-12,2026-06-30,1.8234370813274836e-06,0.025121326538754207,0.22785508018909972
000060.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2441,0.9587588373919874,14,0.005735354362965997,2016-01-04,2026-06-30,2016-06-08,2026-06-30,0.0,0.5,1.0
000060.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2441,0.9587588373919874,43,0.017615731257681278,2016-01-04,2026-06-30,2016-06-08,2026-06-30,0.0,0.0037995621370039423,0.01964459075745757
000062.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2245,0.8817753338570307,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,3.509683578606371e-05,0.02788649463313675,0.6504054465771469
000062.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2169,0.851924587588374,20,0.009220839096357769,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,1.0
000062.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2169,0.851924587588374,38,0.01751959428307976,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.003816564626028862,0.1105009072095422
000063.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2176,0.8546739984289081,0,0.0,2016-01-04,2026-06-30,2016-07-04,2026-06-30,2.87033247392543e-06,0.031479276990048266,0.2775099867845423
000063.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2100,0.8248232521602514,20,0.009523809523809525,2016-01-04,2026-06-30,2016-07-29,2026-06-30,0.0,0.5,1.0
000063.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2100,0.8248232521602514,29,0.01380952380952381,2016-01-04,2026-06-30,2016-07-29,2026-06-30,0.0,0.004651407359907989,0.023962616252051074
