security_id,indicator_id,row_count,present_count,valid_count,valid_rate_expected,valid_rate_present,unknown_count,blocked_count,diagnostic_required_count,first_date,last_date,first_valid_date,last_valid_date
000063.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2475,2100,0.8248232521602514,0.8484848484848485,40,406,0,2016-01-04,2026-06-30,2016-07-29,2026-06-30
000063.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2475,2100,0.8248232521602514,0.8484848484848485,40,406,0,2016-01-04,2026-06-30,2016-07-29,2026-06-30
000088.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2530,2353,0.9241948153967007,0.9300395256916996,59,134,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000088.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2530,2296,0.9018067556952082,0.9075098814229249,78,172,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000088.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2530,2296,0.9018067556952082,0.9075098814229249,78,172,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000100.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2380,2113,0.8299293008641005,0.8878151260504201,59,374,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000100.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2380,2037,0.8000785545954439,0.8558823529411764,78,431,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000100.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2380,2037,0.8000785545954439,0.8558823529411764,78,431,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000155.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2118,1811,0.711311861743912,0.8550519357884797,23,712,0,2016-01-04,2026-06-30,2018-03-19,2026-06-30
000155.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2118,1735,0.6814611154752553,0.8191690273843248,23,788,0,2016-01-04,2026-06-30,2018-04-17,2026-06-30
000155.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2118,1735,0.6814611154752553,0.8191690273843248,23,788,0,2016-01-04,2026-06-30,2018-04-17,2026-06-30
000157.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2546,2487,0.9768263943440691,0.9768263943440691,59,0,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000157.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000157.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000166.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2521,2403,0.9438334642576591,0.953193177310591,59,84,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000166.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2521,2365,0.9289080911233307,0.9381197937326458,78,103,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000166.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2521,2365,0.9289080911233307,0.9381197937326458,78,103,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000301.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2375,2042,0.8020424194815396,0.8597894736842105,59,445,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000301.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2375,1947,0.7647289866457188,0.8197894736842105,78,521,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
