upstream_task,scope_id,year,metric,actual_value,expected_value,absolute_difference,mismatch_count,status
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,year_hhi,0.11459613586867193,0.11459613586867193,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2016,year_state_true_count,501,501,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2016,year_state_share,0.04014423076923077,0.04014423076923077,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2017,year_state_true_count,987,987,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2017,year_state_share,0.07908653846153846,0.07908653846153846,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2018,year_state_true_count,875,875,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2018,year_state_share,0.07011217948717949,0.07011217948717949,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2019,year_state_true_count,1378,1378,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2019,year_state_share,0.11041666666666666,0.11041666666666666,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2020,year_state_true_count,824,824,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2020,year_state_share,0.06602564102564103,0.06602564102564103,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2021,year_state_true_count,1116,1116,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2021,year_state_share,0.08942307692307692,0.08942307692307692,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2022,year_state_true_count,1721,1721,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2022,year_state_share,0.13790064102564104,0.13790064102564104,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2023,year_state_true_count,1882,1882,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2023,year_state_share,0.15080128205128204,0.15080128205128204,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2024,year_state_true_count,758,758,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2024,year_state_share,0.060737179487179487,0.060737179487179487,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2025,year_state_true_count,2215,2215,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2025,year_state_share,0.17748397435897437,0.17748397435897437,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2026,year_state_true_count,223,223,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,2026,year_state_share,0.017868589743589743,0.017868589743589743,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,confirmed_interval_count,5528,5528,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,confirmed_total_duration,12480,12480,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,pooled,eligible_day_count,1730769,1730769,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,pooled,valid_day_count,1503671,1503671,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,pooled,unknown_day_count,226030,226030,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,pooled,blocked_day_count,1068,1068,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,pooled,state_true_day_count,34615,34615,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,pooled,state_false_day_count,1469056,1469056,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,pooled,state_null_day_count,227098,227098,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,pooled,coverage,0.01999978044441517,0.01999978044441517,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,pooled,max_year_share,0.21071789686552073,0.21071789686552073,0.0,0,matched
