summary_scope,candidate_config_id,state_line,W,q,K,analysis_level,nonzero_year_count,evaluable_year_count,zero_state_year_count,max_year_state_share,top2_year_state_share,year_hhi,effective_year_count,max_year_eligible_share,max_year_valid_share,state_share_minus_eligible_share_at_peak,coverage_min,coverage_q25,coverage_median,coverage_q75,coverage_max,coverage_iqr,peak_state_year,peak_coverage_year,max_year_interval_share,candidate_stability_status,warnings,step_id,positive_delta_year_count,negative_delta_year_count,zero_delta_year_count,undefined_delta_year_count,positive_lift_excess_year_count,negative_lift_excess_year_count,max_year_denominator_share,max_year_child_share,delta_weighted_mean,delta_unweighted_median,min_year_delta,max_year_delta
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,raw,11,11,0,0.16821608040201005,0.31844221105527637,0.11186045933183505,8.93970940199245,0.11133837040067161,0.11941360127582154,0.05687771000133844,0.008534190708413353,0.01580316216670944,0.02115536203595961,0.029489716767888377,0.034742943731480375,0.013686554601178937,2025,2025,0.16226483357452967,year_stability_supported,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,confirmed,11,11,0,0.17748397435897437,0.3282852564102564,0.11459613586867193,8.726297727403374,0.11133837040067161,0.11941360127582154,0.06614560395830275,0.0024059728545842954,0.00457827227757261,0.006440889258258882,0.009247004449397148,0.011494491466053627,0.004668732171824537,2025,2025,0.16226483357452967,year_stability_supported,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,raw,10,11,1,0.21071789686552073,0.41906687852087243,0.14240700698751244,7.022126376742749,0.11133837040067161,0.12651770234313225,0.09937952646484911,0.0,0.009846811696311363,0.01373541956022075,0.02763877714265868,0.038540876201062384,0.017791965446347317,2025,2023,0.21642096642096642,year_stability_supported,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,confirmed,10,11,1,0.21715496591118483,0.43357287635894604,0.1464065880834076,6.830293725787132,0.11133837040067161,0.12651770234313225,0.10581659551051321,0.0,0.0030670733686871516,0.0042466107007214935,0.00860274651388776,0.012553039128715412,0.005535673145200608,2025,2023,0.21642096642096642,year_stability_supported,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,raw,11,11,0,0.14951708766716196,0.29411218424962854,0.11303061572564353,8.847160511159876,0.11133837040067161,0.11947865132622253,0.041399828807083,0.0007923736082406855,0.004725032336178946,0.006567860193457534,0.007914885874718875,0.008614679812767652,0.003189853538539929,2023,2022,0.14656381486676018,year_stability_supported,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,confirmed,11,11,0,0.16865011900714044,0.31961917715062904,0.1159749353747352,8.622552767706452,0.11133837040067161,0.11947865132622253,0.06422370508361859,0.0002287264023787546,0.0012188737800410963,0.0017012302284710019,0.002093197800374853,0.002744303909526497,0.0008743240203337567,2022,2022,0.14656381486676018,year_stability_supported,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,raw,10,11,1,0.22353689567430027,0.37646310432569974,0.1367832747379394,7.310835348224277,0.11133837040067161,0.1265327272267698,0.11541963681422131,0.0,0.0022514620946115153,0.0036906854130052723,0.006352784360529034,0.009389395380652608,0.004101322265917518,2023,2023,0.2236328125,year_stability_supported,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,confirmed,10,11,1,0.21931871208586096,0.38404106392907145,0.13597646919976683,7.354213606847462,0.11133837040067161,0.1265327272267698,0.111201453225782,0.0,0.0006561905551039263,0.0009894418564633293,0.0016994990799826287,0.002511676624306617,0.0010433085248787023,2023,2023,0.2236328125,year_stability_supported,,,,,,,,,,,,,,
interlayer_step,,,120,0.2,,,,,,,,,,,,,,,,,,,,,,year_stability_supported,,C_GIVEN_P,11,0,0,0,11,0,0.12129131122734174,0.16712748133183483,0.2116308784635724,0.21029355514525144,0.18056447914161314,0.27444658574553915
interlayer_step,,,250,0.2,,,,,,,,,,,,,,,,,,,,,,year_stability_supported,,C_GIVEN_P,10,0,0,1,10,0,0.1290235774155844,0.21947655808698927,0.2363327522441689,0.22869059931539587,0.19771655957565837,0.27377092041165196
interlayer_step,,,120,0.2,,,,,,,,,,,,,,,,,,,,,,year_stability_supported,,T_GIVEN_PC,11,0,0,0,11,0,0.12129131122734174,0.16821608040201005,0.12529029465658156,0.12264776591403412,0.10434065450005697,0.14593489598267748
interlayer_step,,,250,0.2,,,,,,,,,,,,,,,,,,,,,,year_stability_supported,,T_GIVEN_PC,10,0,0,1,10,0,0.1290235774155844,0.21071789686552073,0.12241085500316652,0.12666790262044814,0.0908899691321503,0.16687561273322807
interlayer_step,,,120,0.2,,,,,,,,,,,,,,,,,,,,,,year_stability_supported,,V_GIVEN_PCT,11,0,0,0,11,0,0.12243994472617126,0.14951708766716196,0.1191939747544741,0.10946623174438433,0.01691002347278109,0.2014940766262258
interlayer_step,,,250,0.2,,,,,,,,,,,,,,,,,,,,,,year_stability_supported,,V_GIVEN_PCT,10,0,0,1,10,0,0.13030257651766625,0.22353689567430027,0.10551867668716544,0.10379632106472092,0.060063482706083596,0.15619243194607654
