task_id,run_id,code_commit,candidate_config_id,state_line,W,q,K,primary_role,year,calendar_year_clipped_segment_count,calendar_year_clipped_duration_total,calendar_year_clipped_mean_duration,calendar_year_clipped_median_duration,calendar_year_clipped_q10,calendar_year_clipped_q25,calendar_year_clipped_q75,calendar_year_clipped_q90,calendar_year_clipped_max_duration,calendar_year_clipped_fragment_count,calendar_year_clipped_fragment_rate,partial_year_observation,geometry_semantics
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2023,1065,2349,2.2056338028169016,2.0,1.0,1.0,3.0,4.0,13,486,0.4563380281690141,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2024,277,608,2.1949458483754514,2.0,1.0,1.0,3.0,4.400000000000006,11,130,0.4693140794223827,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2025,1022,2357,2.3062622309197653,2.0,1.0,1.0,3.0,5.0,21,456,0.4461839530332681,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2026,100,203,2.03,2.0,1.0,1.0,2.0,4.0,9,49,0.49,True,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2016,12,28,2.3333333333333335,2.5,1.0,1.0,3.0,3.9000000000000004,4,4,0.3333333333333333,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2017,109,230,2.110091743119266,2.0,1.0,1.0,3.0,4.0,12,49,0.44954128440366975,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2018,131,242,1.8473282442748091,1.0,1.0,1.0,2.0,4.0,8,73,0.5572519083969466,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2019,167,317,1.8982035928143712,1.0,1.0,1.0,2.0,4.0,9,88,0.5269461077844312,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2020,115,240,2.0869565217391304,2.0,1.0,1.0,3.0,4.0,7,56,0.48695652173913045,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2021,154,292,1.896103896103896,1.0,1.0,1.0,2.0,3.0,10,78,0.5064935064935064,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2022,212,496,2.339622641509434,2.0,1.0,1.0,3.0,4.900000000000006,13,100,0.4716981132075472,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2023,209,444,2.124401913875598,2.0,1.0,1.0,3.0,4.0,7,101,0.48325358851674644,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2024,94,183,1.946808510638298,1.0,1.0,1.0,2.75,4.0,8,49,0.5212765957446809,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2025,195,409,2.0974358974358975,2.0,1.0,1.0,2.0,4.0,9,97,0.49743589743589745,False,trading_year_clipped_confirmed_runs
