scope_type,candidate_config_id,state_line,W,q,K,removed_year,confirmed_state_days_without_year,confirmed_coverage_without_year,confirmed_interval_count_without_confirmation_year,max_remaining_year_share,remaining_year_hhi,pooled_sign,leave_one_out_sign,sign_flip,relative_count_change,relative_metric_change,removed_year_denominator_share,removed_year_state_or_child_share,partial_year_removed,step_id,N_without_year,n11_without_year,n10_without_year,n01_without_year,n00_without_year,retention_without_year,target_marginal_without_year,lift_without_year,delta_without_year,pooled_delta_sign,leave_one_out_delta_sign,pooled_lift_excess_sign,leave_one_out_lift_excess_sign
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,2016,11979,0.007447996458486699,5284,0.18490692044411053,0.12263295784457819,positive,positive,False,-0.04014423076923077,0.032913572312385106,0.07072983165286645,0.04014423076923077,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,2017,11493,0.007194077983730229,5121,0.1927260071347777,0.12774885675798908,positive,positive,False,-0.07908653846153846,-0.002300708507789633,0.07696289915060878,0.07908653846153846,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,2018,11605,0.007305546864721165,5134,0.1908660060318828,0.1268434303730007,positive,positive,False,-0.07011217948717949,0.01315817640277131,0.08218889984740887,0.07011217948717949,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,2019,11102,0.007039150280342308,4847,0.19951360115294542,0.12940316518020728,positive,positive,False,-0.11041666666666666,-0.023786611253383372,0.08874090072100899,0.11041666666666666,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,2020,11656,0.007433431693229365,5155,0.1900308853809197,0.12637364044734223,positive,positive,False,-0.06602564102564103,0.030893680950232007,0.09401485697975871,0.06602564102564103,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,2021,11364,0.007296303501570785,5022,0.19491376275959169,0.12856492358524008,positive,positive,False,-0.08942307692307692,0.011876275249212084,0.10011041334805511,0.08942307692307692,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,2022,10759,0.006941151499550654,4816,0.20587415187285063,0.12860277292905242,positive,positive,False,-0.13790064102564104,-0.03737741668863896,0.10442641392352185,0.13790064102564104,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,2023,10598,0.00686557707967451,4669,0.20900169843366673,0.1273751352459406,positive,positive,False,-0.15080128205128204,-0.04785833520743808,0.10811725886007896,0.15080128205128204,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,2024,11722,0.007608234963480861,5178,0.1889609281692544,0.12571445214581414,positive,positive,False,-0.060737179487179487,0.055135995152949265,0.1098182368646538,0.060737179487179487,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,2025,10265,0.006673957198251312,4631,0.18334145153433998,0.1228256749000963,positive,positive,False,-0.17748397435897437,-0.07443283445030242,0.11133837040067161,0.17748397435897437,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,2026,12257,0.00748252683166848,5423,0.18071306192379866,0.11847291022556412,positive,positive,False,-0.017868589743589743,0.03770236233333527,0.053551918251366876,0.017868589743589743,True,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,2016,10854,0.006748522711446251,4884,0.21715496591118483,0.1464065880834076,positive,positive,False,0.0,0.07611331350351164,0.07072983165286645,0.0,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,2017,10463,0.006549346379863342,4721,0.22526999904425118,0.15615690828964723,positive,positive,False,-0.03602358577482956,0.04435283623822522,0.07696289915060878,0.03602358577482956,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,2018,10323,0.006498505840975147,4640,0.22832509929284123,0.15920992661625075,positive,positive,False,-0.04892205638474295,0.03624584999803885,0.08218889984740887,0.04892205638474295,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,2019,9481,0.006011365862720718,4207,0.2486024680940829,0.17090933597803637,positive,positive,False,-0.12649714391007924,-0.041433049303918015,0.08874090072100899,0.12649714391007924,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,2020,10163,0.006481294294637101,4581,0.2319197087474171,0.1623694073911972,positive,positive,False,-0.0636631656532154,0.033501312422587005,0.09401485697975871,0.0636631656532154,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,2021,9997,0.006418615461563106,4486,0.23577073121936581,0.16523523627059108,positive,positive,False,-0.07895706651925558,0.02350660252387278,0.10011041334805511,0.07895706651925558,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,2022,9360,0.006038588905641242,4231,0.2518162393162393,0.17139701585214406,positive,positive,False,-0.13764510779436154,-0.03709208755962909,0.10442641392352185,0.13764510779436154,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,2023,8505,0.005509693627347774,3827,0.2771310993533216,0.16216568667806502,positive,positive,False,-0.21641791044776118,-0.1214292491513655,0.10811725886007896,0.21641791044776118,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,2024,10246,0.006650228240558344,4609,0.2300409916064806,0.16077646255806172,positive,positive,False,-0.05601621522019532,0.060439366287352525,0.1098182368646538,0.05601621522019532,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,2025,8497,0.005524463157675734,3865,0.2764505119453925,0.1619497436592239,positive,positive,False,-0.21715496591118483,-0.11907411323500353,0.11133837040067161,0.21715496591118483,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,2026,10651,0.0065021125303174505,4789,0.22129377523237254,0.15167731377406862,positive,positive,False,-0.018702782384374426,0.036820969410816556,0.053551918251366876,0.018702782384374426,True,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,2016,2913,0.0018111706890034023,1414,0.17027119807758326,0.11812277998092997,positive,positive,False,-0.009520571234274057,0.06586810004615079,0.07072983165286645,0.009520571234274057,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,2017,2711,0.001696958619498186,1317,0.18295831796385098,0.12929046668483565,positive,positive,False,-0.0782046922815369,-0.0013453339305488623,0.07696289915060878,0.0782046922815369,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,2018,2699,0.0016990668666852584,1296,0.18377176732123007,0.12966516628707597,positive,positive,False,-0.08228493709622578,-0.0001046372710037283,0.08218889984740887,0.08228493709622578,False,,,,,,,,,,,,,,
