state_line,year,W120_eligible_days,W250_eligible_days,W120_valid_days,W250_valid_days,W120_confirmed_coverage,W250_confirmed_coverage,coverage_difference,coverage_ratio,W120_confirmed_intervals,W250_confirmed_intervals,interval_difference,W120_fragment_rate,W250_fragment_rate,fragment_difference,W120_unique_securities,W250_unique_securities,availability_difference,paired_comparison_status,warnings
S_PCT,2016,122417,122417,37011,0,0.004092568842562716,0.0,0.004092568842562716,,244,0,244,0.4959016393442623,,,179,0,37011,descriptive_availability_qualified,availability_difference_requires_caution
S_PCT,2017,133205,133205,125417,94662,0.007409631770579183,0.002935325250553658,0.004474306520025525,2.524296675191816,407,163,244,0.3955773955773956,0.4294478527607362,-0.03387045718334064,276,111,30755,descriptive_availability_qualified,availability_difference_requires_caution
S_PCT,2018,142250,142250,137492,133044,0.006151142355008787,0.0037328646748681898,0.0024182776801405974,1.647834274952919,394,244,150,0.4746192893401015,0.46311475409836067,0.011504535241740832,281,174,4448,descriptive_availability_qualified,availability_difference_requires_caution
S_PCT,2019,153590,153590,148708,144956,0.00897193827723159,0.008939384074484016,3.255420274757455e-05,1.0036416605972323,681,677,4,0.4948604992657856,0.48892171344165436,0.005938785824131265,403,383,3752,descriptive_availability_qualified,availability_difference_requires_caution
S_PCT,2020,162718,162718,156065,151537,0.005063975712582504,0.0042466107007214935,0.0008173650118610109,1.1924746743849493,373,303,70,0.46380697050938335,0.49504950495049505,-0.03124253444111169,281,223,4528,descriptive_availability_qualified,availability_difference_requires_caution
S_PCT,2021,173268,173268,166886,160719,0.006440889258258882,0.004946095066602027,0.0014947941916568551,1.3022170361726955,506,398,108,0.43478260869565216,0.4623115577889447,-0.027528949093292565,346,278,6167,descriptive_availability_qualified,availability_difference_requires_caution
S_PCT,2022,180738,180738,175753,171028,0.009522070621562705,0.008266108953291504,0.0012559616682712004,1.1519410977242304,712,653,59,0.44662921348314605,0.45329249617151607,-0.00666328268837002,466,394,4725,descriptive_availability_qualified,availability_difference_requires_caution
S_PCT,2023,187126,187126,183471,179495,0.010057394482861816,0.012553039128715412,-0.0024956446458535963,0.8011919965942954,859,1057,-198,0.479627473806752,0.45600756859035,0.023619905216402004,516,528,3976,descriptive_availability_qualified,availability_difference_requires_caution
S_PCT,2024,190070,190070,188470,186342,0.003988004419424423,0.003198821486820645,0.0007891829326037779,1.2467105263157896,350,275,75,0.4514285714285714,0.46545454545454545,-0.014025974025974053,255,198,2128,descriptive_availability_qualified,availability_difference_requires_caution
S_PCT,2025,192701,192701,191388,190241,0.011494491466053627,0.012231384372680993,-0.0007368929066273663,0.9397539244802715,897,1019,-122,0.41471571906354515,0.44062806673209026,-0.02591234766854511,541,535,1147,descriptive_availability_qualified,availability_difference_requires_caution
S_PCT,2026,92686,92686,92071,91647,0.0024059728545842954,0.0021901905357874975,0.00021578231879679785,1.0985221674876848,105,95,10,0.5238095238095238,0.49473684210526314,0.029072681704260694,94,82,424,descriptive_availability_qualified,partial_year_observation;availability_difference_requires_caution
S_PCVT,2016,122417,122417,36246,0,0.0002287264023787546,0.0,0.0002287264023787546,,12,0,12,0.3333333333333333,,,12,0,36246,descriptive_availability_qualified,availability_difference_requires_caution
S_PCVT,2017,133205,133205,125380,94589,0.001726661912090387,0.0005705491535603018,0.001156112758530085,3.026315789473684,109,32,77,0.44036697247706424,0.3125,0.12786697247706424,91,27,30791,descriptive_availability_qualified,availability_difference_requires_caution
S_PCVT,2018,142250,142250,137470,133028,0.0017012302284710019,0.0009701230228471002,0.0007311072056239016,1.7536231884057971,130,67,63,0.5538461538461539,0.5373134328358209,0.016532721010332985,118,62,4442,descriptive_availability_qualified,availability_difference_requires_caution
S_PCVT,2019,153590,153590,148668,144923,0.0020639364541962368,0.0017383944267204895,0.0003255420274757472,1.1872659176029963,167,143,24,0.5269461077844312,0.48951048951048953,0.03743561827394165,136,119,3745,descriptive_availability_qualified,availability_difference_requires_caution
S_PCVT,2020,162718,162718,156039,151498,0.0014749443823055838,0.0009894418564633293,0.0004855025258422546,1.4906832298136645,115,71,44,0.48695652173913045,0.4507042253521127,0.03625229638701777,100,60,4541,descriptive_availability_qualified,availability_difference_requires_caution
S_PCVT,2021,173268,173268,166834,160676,0.001685250594454833,0.0010561673246069672,0.0006290832698478657,1.5956284153005464,154,95,59,0.4935064935064935,0.5578947368421052,-0.06438824333561172,129,77,6158,descriptive_availability_qualified,availability_difference_requires_caution
S_PCVT,2022,180738,180738,175725,171001,0.002744303909526497,0.0019531033872234947,0.0007912005223030024,1.4050991501416432,208,146,62,0.47596153846153844,0.4041095890410959,0.07185194942044254,176,122,4724,descriptive_availability_qualified,availability_difference_requires_caution
S_PCVT,2023,187126,187126,183436,179443,0.002372732811047102,0.002511676624306617,-0.00013894381325951473,0.9446808510638299,209,229,-20,0.48325358851674644,0.49344978165938863,-0.010196193142642196,169,184,3993,descriptive_availability_qualified,availability_difference_requires_caution
S_PCVT,2024,190070,190070,188457,186339,0.0009628031777766086,0.0007418319566475509,0.0002209712211290577,1.297872340425532,94,68,26,0.5212765957446809,0.5294117647058824,-0.008135168961201478,84,61,2118,descriptive_availability_qualified,availability_difference_requires_caution
S_PCVT,2025,192701,192701,191368,190225,0.0021224591465534687,0.0016606037332447677,0.000461855413308701,1.278125,195,154,41,0.49743589743589745,0.4805194805194805,0.016916416916416932,161,128,1143,descriptive_availability_qualified,availability_difference_requires_caution
