task_id,run_id,code_commit,candidate_config_id,state_line,W,q,K,primary_role,year,eligible_trading_days,valid_day_count,unknown_day_count,blocked_day_count,diagnostic_required_day_count,raw_state_true_count,raw_state_false_count,raw_state_null_count,raw_unique_security_count,raw_onset_count,confirmed_state_true_count,confirmed_state_false_count,confirmed_state_null_count,confirmed_unique_security_count,raw_coverage,raw_valid_hit_rate,confirmed_coverage,confirmed_valid_hit_rate,denominator_share,valid_denominator_share,raw_state_year_share,confirmed_state_year_share,partial_year_observation
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2017,133205,94662,38492,51,0,1181,93481,38543,210,503,391,94271,38543,111,0.0088660335572989,0.012475967125139972,0.002935325250553658,0.004130485305613657,0.07696289915060878,0.06295393074681895,0.034118156868409646,0.03602358577482956,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2018,142250,133044,9182,24,0,1788,131256,9206,334,803,531,132513,9206,174,0.012569420035149385,0.013439162983674573,0.0037328646748681898,0.003991160818977181,0.08218889984740887,0.08847946126513047,0.05165390726563628,0.04892205638474295,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2019,153590,144956,8401,233,0,4700,140256,8634,546,2134,1373,143583,8634,383,0.030600950582720228,0.03242363199867546,0.008939384074484016,0.009471839730676895,0.08874090072100899,0.09640140695670794,0.13577928643651596,0.12649714391007924,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2020,162718,151537,11127,54,0,2235,149302,11181,407,995,691,150846,11181,223,0.01373541956022075,0.01474887321248276,0.0042466107007214935,0.004559942456297802,0.09401485697975871,0.10077802923644867,0.06456738408204536,0.0636631656532154,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2021,173268,160719,12369,180,0,3030,157689,12549,497,1418,857,159862,12549,278,0.017487360620541587,0.018852780318443993,0.004946095066602027,0.005332288030662212,0.10011041334805511,0.10688441820052391,0.08753430593673263,0.07895706651925558,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2022,180738,171028,9595,115,0,4460,166568,9710,594,1873,1494,169534,9710,394,0.024676603702597128,0.02607760132843745,0.008266108953291504,0.00873541174544519,0.10442641392352185,0.11374030622390137,0.1288458760652896,0.13764510779436154,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2023,187126,179495,7448,183,0,7212,172283,7631,701,3053,2349,177146,7631,528,0.038540876201062384,0.04017939218362628,0.012553039128715412,0.01308671550739575,0.10811725886007896,0.11937119223553556,0.20834898165535173,0.21641791044776118,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2024,190070,186342,3643,85,0,2058,184284,3728,408,943,608,185734,3728,198,0.010827589835323828,0.011044209035000162,0.003198821486820645,0.0032628178295821663,0.1098182368646538,0.12392471491436624,0.059453993933265926,0.05601621522019532,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2025,192701,190241,2356,104,0,7294,182947,2460,724,3128,2357,187884,2460,535,0.03785138634464793,0.038340841353861684,0.012231384372680993,0.012389547994386069,0.11133837040067161,0.12651770234313225,0.21071789686552073,0.21715496591118483,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2026,92686,91647,1000,39,0,657,90990,1039,180,286,203,91444,1039,82,0.007088449172474807,0.007168810763036433,0.0021901905357874975,0.002215020677163464,0.053551918251366876,0.060948837877434624,0.018980210891232124,0.018702782384374426,True
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2016,122417,36246,86112,59,0,97,36149,86171,41,50,28,36218,86171,12,0.0007923736082406855,0.002676157369089003,0.0002287264023787546,0.000772499034376207,0.07072983165286645,0.022629818966442988,0.00900817236255572,0.009520571234274057,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2017,133205,125380,7703,122,0,750,124630,7825,199,327,230,125150,7825,91,0.005630419278555609,0.005981815281544106,0.001726661912090387,0.0018344233530068592,0.07696289915060878,0.07827971919694923,0.06965081723625557,0.0782046922815369,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2018,142250,137470,4572,208,0,960,136510,4780,280,478,242,137228,4780,118,0.0067486818980667836,0.006983341820033462,0.0017012302284710019,0.0017603840838001019,0.08218889984740887,0.08582798690384918,0.08915304606240713,0.08228493709622578,False
