step_id,W,q,primary_step_denominator,all4_common_denominator,denominator_retention_ratio,primary_retention,all4_restricted_retention,retention_difference,primary_lift,all4_restricted_lift,lift_difference,primary_delta,all4_restricted_delta,delta_difference
C_GIVEN_P,120,0.1,1563558,1545035,0.9881533016363959,0.3070141298824852,0.30465310206804536,-0.0023610278144398644,2.3015064144658437,2.2998319492331567,-0.0016744652326869947,0.17361709568228287,0.17218555278922643,-0.0014315428930564422
C_GIVEN_P,120,0.2,1563558,1545035,0.9881533016363959,0.45222475133297996,0.44996855576802136,-0.0022561955649585963,1.956642225906378,1.9577350521131158,0.0010928262067377847,0.22110188924535673,0.22012716058927137,-0.0009747286560853607
C_GIVEN_P,120,0.3,1563558,1545035,0.9881533016363959,0.553636970855295,0.5516762636388388,-0.0019607072164561368,1.712175724318286,1.7138324328604182,0.0016567085421321792,0.23028407956504543,0.22977999591674836,-0.0005040836482970712
C_GIVEN_P,250,0.1,1460423,1442412,0.987667271742502,0.3225259891388673,0.3223686680935752,-0.00015732104529214697,2.8154475351832158,2.8109905529155834,-0.004456982267632359,0.2079701378546846,0.20768714852773684,-0.0002829893269477579
C_GIVEN_P,250,0.2,1460423,1442412,0.987667271742502,0.46095388204579857,0.4607404137235116,-0.00021346832228696933,2.1758334909935626,2.1716231901648144,-0.004210300828748181,0.24910224727970684,0.24857634409569376,-0.0005259031840130768
C_GIVEN_P,250,0.3,1460423,1442412,0.987667271742502,0.5633296346026373,0.5631009615384616,-0.00022867306417573285,1.831607672308106,1.82819595056815,-0.003411721739956075,0.25576942773106653,0.25509187675547307,-0.0006775509755934661
C_GIVEN_P,500,0.1,1263482,1246284,0.9863884091740127,0.3398093001947085,0.3404216832600139,0.0006123830653053663,3.086755055852319,3.0827848332039203,-0.003970222648398636,0.22972304649263758,0.22999500683634158,0.00027196034370399746
C_GIVEN_P,500,0.2,1263482,1246284,0.9863884091740127,0.47993610024953554,0.4803771301012388,0.00044102985170324516,2.281104697009704,2.2783403592115334,-0.0027643377981707573,0.2695397511127849,0.2695319294888583,-7.821623926596022e-06
C_GIVEN_P,500,0.3,1263482,1246284,0.9863884091740127,0.578995173023319,0.5792799161580124,0.0002847431346933993,1.8785484658118528,1.8759820158380625,-0.002566449973790297,0.27078104729774477,0.27049235248873643,-0.00028869480900833855
T_GIVEN_PC,120,0.1,1563558,1545035,0.9881533016363959,0.11784073102452594,0.11839200014598274,0.0005512691214567961,2.1064217594316488,2.1154377169337963,0.009015957502147565,0.061897171527532546,0.06242627768662098,0.0005291061590884313
T_GIVEN_PC,120,0.2,1563558,1545035,0.9881533016363959,0.27442030434452847,0.2749833278942066,0.0005630235496781322,1.789074975171152,1.792585370230774,0.003510395059621807,0.12103360554601891,0.12158291948921901,0.0005493139432000971
T_GIVEN_PC,120,0.3,1563558,1545035,0.9881533016363959,0.40787503782630163,0.40863723686732933,0.0007621990410277002,1.5965279392608287,1.599774064089684,0.0032461248288553346,0.1523987459330684,0.15320289395600373,0.0008041480229353248
T_GIVEN_PC,250,0.1,1460423,1442412,0.987667271742502,0.10443165855254297,0.10415453310036886,-0.0002771254521741068,2.086066338557542,2.07786435227752,-0.008201986280022222,0.054370135281545454,0.05402877152877905,-0.0003413637527664021
T_GIVEN_PC,250,0.2,1460423,1442412,0.987667271742502,0.26070419883261153,0.26091453166944234,0.0002103328368308066,1.7612427289417836,1.7601736640337478,-0.0010690649080358217,0.11268133148527448,0.11268226516028962,9.336750151356377e-07
T_GIVEN_PC,250,0.3,1460423,1442412,0.987667271742502,0.39671305854514266,0.3967242393221963,1.1180777053643176e-05,1.5715491334848897,1.569474455958508,-0.002074677526381574,0.14427866111371357,0.14394902669224036,-0.00032963442147321276
T_GIVEN_PC,500,0.1,1263482,1246284,0.9863884091740127,0.09768274699810407,0.0976428829518162,-3.9864046287876875e-05,2.0523545387564606,2.052536141153712,0.00018160239725162342,0.050087292531795884,0.05007106144082833,-1.623109096755143e-05
T_GIVEN_PC,500,0.2,1263482,1246284,0.9863884091740127,0.24864549673218495,0.2484639739509617,-0.00018152278122324228,1.6998664035309798,1.700522668450536,0.0006562649195560599,0.1023719447543966,0.10235361708206184,-1.832767233475585e-05
T_GIVEN_PC,500,0.3,1263482,1246284,0.9863884091740127,0.3882420354044648,0.3878637365142076,-0.0003782988902572004,1.5374968214189795,1.5377149051164216,0.00021808369744213962,0.1357263683826948,0.13562989575239087,-9.647263030393427e-05
V_GIVEN_PCT,120,0.1,1545035,1545035,1.0,0.17617139334155363,0.17617139334155363,0.0,1.884757118008734,1.884757118008734,0.0,0.08269972441495974,0.08269972441495974,0.0
V_GIVEN_PCT,120,0.2,1545035,1545035,1.0,0.27781217750257997,0.27781217750257997,0.0,1.6755455792284848,1.6755455792284848,0.0,0.11200816659020582,0.11200816659020582,0.0
V_GIVEN_PCT,120,0.3,1545035,1545035,1.0,0.39126225221088773,0.39126225221088773,0.0,1.5811104760083408,1.5811104760083408,0.0,0.14380183869274737,0.14380183869274737,0.0
V_GIVEN_PCT,250,0.1,1442412,1442412,1.0,0.11407269338303822,0.11407269338303822,0.0,1.8266777144635076,1.8266777144635076,0.0,0.05162451630187139,0.05162451630187139,0.0
V_GIVEN_PCT,250,0.2,1442412,1442412,1.0,0.22908772952491985,0.22908772952491985,0.0,1.7667883424914916,1.7667883424914916,0.0,0.09942436011312905,0.09942436011312905,0.0
V_GIVEN_PCT,250,0.3,1442412,1442412,1.0,0.3452686826097459,0.3452686826097459,0.0,1.6692800626809619,1.6692800626809619,0.0,0.1384318010530201,0.1384318010530201,0.0
V_GIVEN_PCT,500,0.1,1246284,1246284,1.0,0.10100130605137135,0.10100130605137135,0.0,2.226126301369304,2.226126301369304,0.0,0.05563042750362461,0.05563042750362461,0.0
V_GIVEN_PCT,500,0.2,1246284,1246284,1.0,0.2027988146196905,0.2027988146196905,0.0,1.9518790766672305,1.9518790766672305,0.0,0.09889954286461701,0.09889954286461701,0.0
V_GIVEN_PCT,500,0.3,1246284,1246284,1.0,0.31193300767620374,0.31193300767620374,0.0,1.780284274887941,1.780284274887941,0.0,0.1367177276918663,0.1367177276918663,0.0
