step_id,W,q,security_count_total,retention_computable_security_count,lift_computable_security_count,anchor_count_q25,anchor_count_median,anchor_count_q75,retention_q25,retention_median,retention_q75,lift_q25,lift_median,lift_q75,delta_q25,delta_median,delta_q75,positive_delta_security_share,negative_delta_security_share,pooled_vs_security_median_sign_consistency
C_GIVEN_P,120,0.1,795,792,791,187.5,248.0,288.0,0.25,0.3018205892088712,0.3631377551020408,1.912088888221024,2.27613361024576,2.7138334172565974,0.11882246095762977,0.16912306181783304,0.23165577887710093,0.98989898989899,0.008838383838383838,true
C_GIVEN_P,120,0.2,795,793,793,344.5,441.0,489.0,0.40315315315315314,0.4523809523809524,0.5027624309392266,1.7703388151377057,1.9506486293489904,2.161556948798328,0.17608047232109514,0.221302212816667,0.26783525218951815,0.9962168978562421,0.0037831021437578815,true
C_GIVEN_P,120,0.3,795,793,793,495.0,627.0,690.0,0.5118110236220472,0.554675118858954,0.5937007874015748,1.6018952366944719,1.7159817444425243,1.8295354469396743,0.191177673874927,0.23186917892038839,0.26731380005059624,0.9987389659520807,0.0012610340479192938,true
C_GIVEN_P,250,0.1,792,788,787,166.0,213.0,251.0,0.253303787268332,0.31976242273559174,0.3899921682703066,2.249127437035706,2.7922807313880327,3.337124692738927,0.14258647168754185,0.20522807573825083,0.2704156357544495,0.9873096446700508,0.011421319796954314,true
C_GIVEN_P,250,0.2,792,788,787,308.0,389.5,441.25,0.4091074947091877,0.4622686184242075,0.513613172541744,1.9352504324868134,2.160193913277673,2.404114451161197,0.19918904011887323,0.24857263416916764,0.2971839249392863,0.9974619289340102,0.0012690355329949238,true
C_GIVEN_P,250,0.3,792,789,788,448.75,568.5,629.25,0.5241730279898219,0.5628140703517588,0.6058394160583942,1.6959955307784733,1.8265176107613976,1.9598447599842288,0.21922378831373773,0.2562993483364948,0.2928368512126736,0.9974651457541192,0.0012674271229404308,true
C_GIVEN_P,500,0.1,783,767,765,135.0,187.0,231.5,0.2642547816672681,0.32972972972972975,0.40193103240027783,2.370343071562584,2.9745508982035926,3.6596051007815715,0.15747064414128012,0.2145031943487345,0.2880187457460486,0.9765319426336375,0.020860495436766623,true
C_GIVEN_P,500,0.2,783,772,771,270.0,345.0,418.0,0.4215543775649795,0.47737556561085975,0.5290039218187036,1.963119857801507,2.2407125579890748,2.537483920467472,0.20966229518326623,0.26145854945149527,0.31723660188819547,0.9922279792746114,0.006476683937823834,true
C_GIVEN_P,500,0.3,783,777,777,402.0,509.0,581.5,0.5281456953642384,0.5806451612903226,0.625250501002004,1.6997736029779915,1.8601347780126851,2.0311449535536577,0.2208377208377208,0.2656547328262033,0.3117158963648306,0.9935649935649936,0.006435006435006435,true
T_GIVEN_PC,120,0.1,795,790,790,50.5,72.0,92.0,0.07692307692307693,0.11242977528089887,0.14886428982173663,1.3753446299629377,2.014849206349206,2.626706753621069,0.02143947296660599,0.05595356166895437,0.09204773481951473,0.8784810126582279,0.12025316455696203,true
T_GIVEN_PC,120,0.2,795,791,791,147.5,189.0,228.0,0.2359245283018868,0.27411167512690354,0.30997151825156943,1.5611983522095882,1.7844270656239374,2.0086588154746705,0.08619415228543786,0.12139878217491848,0.15635273758220264,0.9873577749683944,0.012642225031605562,true
T_GIVEN_PC,120,0.3,795,792,792,265.0,341.0,387.0,0.37628937109738847,0.40652496452070697,0.44062706134564644,1.4704488558584463,1.6017351398966104,1.7193280737541157,0.12103996230815425,0.15160707505918242,0.18413966958403447,0.9962121212121212,0.003787878787878788,true
T_GIVEN_PC,250,0.1,792,784,784,46.0,65.0,84.0,0.06578947368421052,0.1,0.1358324343761237,1.315734065440485,2.0153569330199765,2.6421726573002995,0.016275908564688184,0.050317694500834925,0.08451550324853112,0.8507653061224489,0.14923469387755103,true
T_GIVEN_PC,250,0.2,792,787,787,133.0,172.0,208.0,0.2219806763285024,0.2577639751552795,0.2969591547480995,1.5111996159204852,1.7479674796747968,1.9990794057271302,0.07607528209570925,0.11102678844023411,0.14830038105432844,0.9872935196950444,0.012706480304955527,true
T_GIVEN_PC,250,0.3,792,788,788,244.75,312.0,358.0,0.3638676844783715,0.3960866261398176,0.4300254275824309,1.4466907456647196,1.5713781997233338,1.7012462854905266,0.11247275866556183,0.1452857066692701,0.17704311597965036,0.9936548223350253,0.006345177664974619,true
T_GIVEN_PC,500,0.1,783,756,756,39.0,59.0,82.0,0.058823529411764705,0.09312179739850217,0.1275031289111389,1.3061761534133531,1.9542908072319838,2.6639268058565815,0.014122793531879924,0.04543365120176468,0.08054759515443669,0.8333333333333334,0.16666666666666666,true
T_GIVEN_PC,500,0.2,783,768,768,120.0,162.0,204.0,0.20860752156568585,0.2442128389240167,0.2887697268774124,1.4531818095701792,1.6814716710639808,1.9511974115754205,0.06627176960563144,0.09903787795969689,0.14045391018580328,0.9752604166666666,0.024739583333333332,true
T_GIVEN_PC,500,0.3,783,774,774,224.5,292.0,343.0,0.35177952755905517,0.3870944427178572,0.4246575342465753,1.4116690994726993,1.5361171559439928,1.6823283269303602,0.103813124864426,0.13538792446714032,0.17065986098336752,0.9909560723514211,0.00904392764857881,true
V_GIVEN_PCT,120,0.1,795,768,766,4.0,7.0,12.0,0.0,0.1111111111111111,0.2857142857142857,0.0,1.1236373846082313,2.900648273782602,-0.08583650287706449,0.01137536860054221,0.18273797588912005,0.5169270833333334,0.48046875,true
V_GIVEN_PCT,120,0.2,795,790,790,37.0,50.0,62.5,0.1703425012973534,0.2682926829268293,0.3684210526315789,1.0201320761043093,1.6070556318006255,2.289646400951112,0.0034930948060932707,0.10170405551882965,0.2056057329737366,0.7582278481012659,0.2417721518987342,true
V_GIVEN_PCT,120,0.3,795,791,791,101.0,134.0,157.0,0.30761836097092043,0.39072847682119205,0.46997395572473205,1.2616617301576882,1.5817863397548162,1.8846993503796503,0.06318147478290367,0.14367773280692606,0.21488177206164238,0.8798988621997471,0.12010113780025285,true
V_GIVEN_PCT,250,0.1,792,745,736,4.0,6.0,9.25,0.0,0.0,0.18181818181818182,0.0,0.0,2.773080416905718,-0.06256983240223464,-0.03844414292175486,0.11344158773116823,0.3865771812080537,0.6013422818791946,false
