state_version_id,daily_rows,membership_rows,availability_order_violations,terminal_rows_added,status
r2_s_pct_W120_K3_qP20_qC20_qT25_qV20_d2_g1_v8,1751066,22719,0,5647,passed
r2_s_pcvt_W120_K3_qP20_qC20_qT20_qV30_d2_g1_v8,1751066,4669,0,5647,passed
