state_version_id,state_line,window_track_id,source_candidate_cell_id,strict_core_source_candidate_cell_id,W,K,qP,qC,qT,qV,d,g,status
r2_s_pct_W120_K3_qP20_qC20_qT25_qV20_d2_g1_v8,S_PCT,W120,r2_s_pct_w120_qt25_primary__d2__g1,r2_s_pct_w120_q20_shared__d2__g1,120,3,0.2,0.2,0.25,0.2,2,1,materialized_author_stage
r2_s_pcvt_W120_K3_qP20_qC20_qT20_qV30_d2_g1_v8,S_PCVT,W120,r2_s_pcvt_w120_qv30_primary__d2__g1,r2_s_pcvt_w120_q20_shared__d2__g1,120,3,0.2,0.2,0.2,0.3,2,1,materialized_author_stage
