state_version_id,canonical_membership_rows,event_member_rows,retrospective_component_rows,prequalification_rows,bridge_rows,unqualified_reentry_rows,qualified_risk_rows,availability_lag_min,availability_lag_max,terminal_rows_added_total,status
r2_s_pct_W120_K3_qP20_qC20_qT25_qV20_d2_g1_v8,22719,18052,17536,5183,172,106,12803,15:00:00,"13 days, 15:00:00",5647,passed
r2_s_pcvt_W120_K3_qP20_qC20_qT20_qV30_d2_g1_v8,4669,3561,3495,1174,22,22,2387,15:00:00,"10 days, 15:00:00",5647,passed
