state_version_id,state_risk_rows,qualified_risk_rows,event_member_not_state_risk,bridge_risk_rows,prequalification_risk_rows,status
r2_s_pct_W120_K3_qP20_qC20_qT25_qV20_d2_g1_v8,20474,12803,516,0,0,failed
r2_s_pcvt_W120_K3_qP20_qC20_qT20_qV30_d2_g1_v8,4564,2387,66,0,0,failed
