state_version_id,freeze_status,state_line,window_track_id,W,K,qP,qC,qT,qV,d,g,source_candidate_cell_id,strict_core_enabled,strict_core_source_candidate_cell_id,state_formula_binding_id,state_formula_binding_sha256,r1_handoff_row_id,r1_handoff_row_sha256,confirmed_state_contract_id,interval_rule_registry_id,event_state_machine_registry_id,state_risk_set_rule_id,qualified_event_risk_set_rule_id,t04_decision_unit,t04_decision_hash,t04_freeze_decision_hash,t04_freeze_plan_hash,t04_user_decision_record_sha256,t05_run_id,t06_run_id,canonical_daily_state_sha256,canonical_event_zone_sha256,canonical_event_membership_sha256,warning_codes,selection_path_not_independently_confirmed,allowed_uses,forbidden_uses
r2_s_pct_W120_K3_qP20_qC20_qT25_qV20_d2_g1_v8,frozen,S_PCT,W120,120,3,0.2,0.2,0.25,0.2,2,1,r2_s_pct_w120_qt25_primary__d2__g1,True,r2_s_pct_w120_q20_shared__d2__g1,state_formula_binding_S_PCT_W120_v8,58a51105740a6dd6bb4cada54718026a67a476290a1ed828943d76f6cbc38b78,q_W120_K3_P20_C20_T25_V20_S_PCT,7c376fcc17f3b9fa0ac72ccb92cfbdad35e70c3960baa85a7457694159c0844b,r2_t02_confirmed_event_zone_state_machine_contract.v8,r2_t07_interval_rule_registry.v2,r2_t07_event_state_machine_registry.v2,r2_t07_state_risk_set_eligible.v2,r2_t07_qualified_event_risk_set_eligible.v2,S_PCT×W120,f1344346662225f1f0837bc160be1bf6f88f12174cbacc8f27f8a126ad9bf3bf,ceb99c3480aa49a13a545dd06d43a85c2faf378256c49623b17d1b0255e0048d,1ea368d67b9445a6916ee31ff33e6f0a5f94ed43b0fd5a2b716f8d60c39a80dc,dd4c24032882b83007cd7c747786b7092d3396498f8c1feadfef78603b83e669,R2-T05-20260713T154957Z,R2-T06-20260713T183455Z,64c396322b0e358a5c5440eebe90483d65f18a2cc6461a9a28f2cb72711da4ec,4c0fcec9012fa46a7b68d3dd436e9e14881c44719f90def22490b8b6bc118acb,5664a11fc7f4c61f3b6e8d4b0a465ed0d5c89447a38fc29cd12e966ab6340d0a,"[""affected_lift_deterioration_vs_baseline"",""layer_q_complexity_added"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed""]",True,"[""T08_R2_final_acceptance_input"",""T08_R3_handoff_source"",""canonical_daily_state_consumption"",""canonical_event_zone_consumption"",""canonical_event_membership_consumption"",""state_risk_set_consumption"",""qualified_event_risk_set_consumption"",""R3_contract_design_only""]","[""no_trading_advantage_claim"",""no_global_optimum_claim"",""no_future_outcome_selection"",""confirmed_exit_is_not_release"",""quality_interruption_is_not_natural_release"",""event_zone_member_is_not_risk_set"",""no_finalization_time_backfill"",""no_risk_set_mixing"",""strict_core_is_not_independent_product"",""no_PCT_parent_product"",""transition_trigger_trade_date_not_causal_time"",""no_cross_state_version_event_merge""]"
r2_s_pcvt_W120_K3_qP20_qC20_qT20_qV30_d2_g1_v8,frozen,S_PCVT,W120,120,3,0.2,0.2,0.2,0.3,2,1,r2_s_pcvt_w120_qv30_primary__d2__g1,True,r2_s_pcvt_w120_q20_shared__d2__g1,state_formula_binding_S_PCVT_W120_v8,58a51105740a6dd6bb4cada54718026a67a476290a1ed828943d76f6cbc38b78,q_W120_K3_P20_C20_T20_V30_S_PCVT,e155fe06fbc492427beb4d3a4fec8389f1ff2ae0855bb060e44837c47c34c04b,r2_t02_confirmed_event_zone_state_machine_contract.v8,r2_t07_interval_rule_registry.v2,r2_t07_event_state_machine_registry.v2,r2_t07_state_risk_set_eligible.v2,r2_t07_qualified_event_risk_set_eligible.v2,S_PCVT×W120,f1344346662225f1f0837bc160be1bf6f88f12174cbacc8f27f8a126ad9bf3bf,ceb99c3480aa49a13a545dd06d43a85c2faf378256c49623b17d1b0255e0048d,1ea368d67b9445a6916ee31ff33e6f0a5f94ed43b0fd5a2b716f8d60c39a80dc,dd4c24032882b83007cd7c747786b7092d3396498f8c1feadfef78603b83e669,R2-T05-20260713T154957Z,R2-T06-20260713T183455Z,64c396322b0e358a5c5440eebe90483d65f18a2cc6461a9a28f2cb72711da4ec,4c0fcec9012fa46a7b68d3dd436e9e14881c44719f90def22490b8b6bc118acb,5664a11fc7f4c61f3b6e8d4b0a465ed0d5c89447a38fc29cd12e966ab6340d0a,"[""V_security_negative_delta_share_material"",""V_selectivity_reduced_but_guard_passed"",""layer_q_complexity_added"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed""]",True,"[""T08_R2_final_acceptance_input"",""T08_R3_handoff_source"",""canonical_daily_state_consumption"",""canonical_event_zone_consumption"",""canonical_event_membership_consumption"",""state_risk_set_consumption"",""qualified_event_risk_set_consumption"",""R3_contract_design_only""]","[""no_trading_advantage_claim"",""no_global_optimum_claim"",""no_future_outcome_selection"",""confirmed_exit_is_not_release"",""quality_interruption_is_not_natural_release"",""event_zone_member_is_not_risk_set"",""no_finalization_time_backfill"",""no_risk_set_mixing"",""strict_core_is_not_independent_product"",""no_PCT_parent_product"",""transition_trigger_trade_date_not_causal_time"",""no_cross_state_version_event_merge""]"
