pair_id,left_indicator_id,right_indicator_id,common_count,pearson_raw,spearman_midrank,left_unique_value_count,right_unique_value_count,left_tied_row_count,right_tied_row_count
A1_A2,A1_LogBodyCenterToMACloudCenter_5_60,A2_BodyCenterOutsideMACloudRate20_5_60,1602937,0.3826621326934279,0.4157603824138265,1602937,21,0,1602937
A1_A2b,A1_LogBodyCenterToMACloudCenter_5_60,A2b_BodyToMACloudGapMean20_5_60,1602937,0.6756652149540394,0.5922135852212188,1602937,916315,0,920772
A2_A2b,A2_BodyCenterOutsideMACloudRate20_5_60,A2b_BodyToMACloudGapMean20_5_60,1602937,0.4308186054876955,0.531502574824943,21,916315,1602937,920772
