pair_id,security_id,common_count,eligible,pearson_raw,spearman_midrank,reason
A1_A2,000001.SZ,2468,True,0.4233628958902958,0.4256460536323489,
A1_A2,000002.SZ,2161,True,0.41976259994448833,0.42941507897984815,
A1_A2,000009.SZ,2468,True,0.40211670615431977,0.4235030235976746,
A1_A2,000021.SZ,2389,True,0.38832371516723413,0.407143129768376,
A1_A2,000027.SZ,2468,True,0.4138641588933225,0.46829469556669817,
A1_A2,000032.SZ,2012,True,0.36791287651260546,0.41966814862996726,
A1_A2,000034.SZ,1913,True,0.416028038719634,0.451736176133993,
A1_A2,000039.SZ,2385,True,0.36954901058010114,0.40873814327631214,
A1_A2,000050.SZ,2182,True,0.3700928054127096,0.4572606592824021,
A1_A2,000060.SZ,2441,True,0.42351072699651593,0.4526060217458775,
A1_A2,000062.SZ,2169,True,0.3802965639517367,0.4324736487419117,
A1_A2,000063.SZ,2100,True,0.4423418715380111,0.45845093386423175,
A1_A2,000088.SZ,2296,True,0.36401002050042636,0.3546566715353086,
A1_A2,000100.SZ,2037,True,0.38851131413173023,0.42988425279235204,
A1_A2,000155.SZ,1735,True,0.40323098852182426,0.40706803763938454,
A1_A2,000157.SZ,2468,True,0.368275391801308,0.43446842699086063,
A1_A2,000166.SZ,2365,True,0.3436882269011963,0.38210806011477255,
A1_A2,000301.SZ,1947,True,0.35853611038411864,0.4043140084726092,
A1_A2,000333.SZ,2137,True,0.459264363981686,0.455636087764114,
A1_A2,000338.SZ,2388,True,0.4587499793351949,0.4516381612439113,
A1_A2,000400.SZ,2468,True,0.40482604156566393,0.399620139352868,
A1_A2,000408.SZ,1864,True,0.4929545643975284,0.48643375049863696,
A1_A2,000415.SZ,2034,True,0.31647740354667525,0.43251162574601054,
A1_A2,000423.SZ,2468,True,0.3942009521010401,0.41486013472204264,
A1_A2,000425.SZ,2157,True,0.4338868051055417,0.43087034792020923,
A1_A2,000429.SZ,2459,True,0.4427792843168392,0.44214915950459,
A1_A2,000513.SZ,2386,True,0.4293021457687511,0.43921084162217155,
A1_A2,000519.SZ,2305,True,0.4706132397177697,0.4906960640200801,
A1_A2,000528.SZ,2263,True,0.4157455772729142,0.416747068433753,
A1_A2,000537.SZ,2251,True,0.29672096140049803,0.4146080511992999,
A1_A2,000538.SZ,1962,True,0.4160095498382569,0.43661310857971447,
A1_A2,000539.SZ,2468,True,0.3858066483937965,0.45673712254502086,
A1_A2,000559.SZ,2297,True,0.4190880307579068,0.46557828405141527,
A1_A2,000568.SZ,2379,True,0.46913032256533466,0.508239481547908,
A1_A2,000582.SZ,2133,True,0.39213551611525005,0.4226095668102874,
A1_A2,000591.SZ,2468,True,0.35515008734067693,0.4021506922957052,
A1_A2,000596.SZ,2468,True,0.4873194291363996,0.4947402882430501,
A1_A2,000598.SZ,2468,True,0.37600506461747896,0.39447484091453067,
A1_A2,000617.SZ,2215,True,0.3840580009391284,0.4605748121693256,
A1_A2,000623.SZ,2412,True,0.3842026042234977,0.4215321613233405,
