scope_type,scope_id,W,q_low,q_high,lower_set_count,higher_set_count,lower_not_in_higher_count,higher_not_in_lower_count,symmetric_difference_count
anchor_active,C_GIVEN_P,120,0.1,0.2,184998,320710,0,135712,135712
anchor_active,C_GIVEN_P,120,0.2,0.3,320710,453633,0,132923,132923
anchor_active,C_GIVEN_P,250,0.1,0.2,161125,288044,0,126919,126919
anchor_active,C_GIVEN_P,250,0.2,0.3,288044,411853,0,123809,123809
anchor_active,C_GIVEN_P,500,0.1,0.2,139696,257278,0,117582,117582
anchor_active,C_GIVEN_P,500,0.2,0.3,257278,367725,0,110447,110447
anchor_active,T_GIVEN_PC,120,0.1,0.2,56797,145033,0,88236,88236
anchor_active,T_GIVEN_PC,120,0.2,0.3,145033,251148,0,106115,106115
anchor_active,T_GIVEN_PC,250,0.1,0.2,51967,132775,0,80808,80808
anchor_active,T_GIVEN_PC,250,0.2,0.3,132775,232009,0,99234,99234
anchor_active,T_GIVEN_PC,500,0.1,0.2,47470,123477,0,76007,76007
anchor_active,T_GIVEN_PC,500,0.2,0.3,123477,212911,0,89434,89434
anchor_active,V_GIVEN_PCT,120,0.1,0.2,6488,38760,0,32272,32272
anchor_active,V_GIVEN_PCT,120,0.2,0.3,38760,100186,0,61426,61426
anchor_active,V_GIVEN_PCT,250,0.1,0.2,5365,34310,0,28945,28945
anchor_active,V_GIVEN_PCT,250,0.2,0.3,34310,91074,0,56764,56764
anchor_active,V_GIVEN_PCT,500,0.1,0.2,4594,30370,0,25776,25776
anchor_active,V_GIVEN_PCT,500,0.2,0.3,30370,81681,0,51311,51311
child_active,C_GIVEN_P,120,0.1,0.2,56797,145033,0,88236,88236
child_active,C_GIVEN_P,120,0.2,0.3,145033,251148,0,106115,106115
child_active,C_GIVEN_P,250,0.1,0.2,51967,132775,0,80808,80808
child_active,C_GIVEN_P,250,0.2,0.3,132775,232009,0,99234,99234
child_active,C_GIVEN_P,500,0.1,0.2,47470,123477,0,76007,76007
child_active,C_GIVEN_P,500,0.2,0.3,123477,212911,0,89434,89434
child_active,T_GIVEN_PC,120,0.1,0.2,6693,39800,0,33107,33107
child_active,T_GIVEN_PC,120,0.2,0.3,39800,102437,0,62637,62637
child_active,T_GIVEN_PC,250,0.1,0.2,5427,34615,0,29188,29188
child_active,T_GIVEN_PC,250,0.2,0.3,34615,92041,0,57426,57426
child_active,T_GIVEN_PC,500,0.1,0.2,4637,30702,0,26065,26065
child_active,T_GIVEN_PC,500,0.2,0.3,30702,82661,0,51959,51959
child_active,V_GIVEN_PCT,120,0.1,0.2,1143,10768,0,9625,9625
child_active,V_GIVEN_PCT,120,0.2,0.3,10768,39199,0,28431,28431
child_active,V_GIVEN_PCT,250,0.1,0.2,612,7860,0,7248,7248
child_active,V_GIVEN_PCT,250,0.2,0.3,7860,31445,0,23585,23585
child_active,V_GIVEN_PCT,500,0.1,0.2,464,6159,0,5695,5695
child_active,V_GIVEN_PCT,500,0.2,0.3,6159,25479,0,19320,19320
denominator_keys,C_GIVEN_P,120,0.1,0.2,1563558,1563558,0,0,0
denominator_keys,C_GIVEN_P,120,0.2,0.3,1563558,1563558,0,0,0
denominator_keys,C_GIVEN_P,250,0.1,0.2,1460423,1460423,0,0,0
denominator_keys,C_GIVEN_P,250,0.2,0.3,1460423,1460423,0,0,0
denominator_keys,C_GIVEN_P,500,0.1,0.2,1263482,1263482,0,0,0
denominator_keys,C_GIVEN_P,500,0.2,0.3,1263482,1263482,0,0,0
denominator_keys,T_GIVEN_PC,120,0.1,0.2,1563558,1563558,0,0,0
denominator_keys,T_GIVEN_PC,120,0.2,0.3,1563558,1563558,0,0,0
denominator_keys,T_GIVEN_PC,250,0.1,0.2,1460423,1460423,0,0,0
denominator_keys,T_GIVEN_PC,250,0.2,0.3,1460423,1460423,0,0,0
denominator_keys,T_GIVEN_PC,500,0.1,0.2,1263482,1263482,0,0,0
denominator_keys,T_GIVEN_PC,500,0.2,0.3,1263482,1263482,0,0,0
denominator_keys,V_GIVEN_PCT,120,0.1,0.2,1545035,1545035,0,0,0
denominator_keys,V_GIVEN_PCT,120,0.2,0.3,1545035,1545035,0,0,0
denominator_keys,V_GIVEN_PCT,250,0.1,0.2,1442412,1442412,0,0,0
denominator_keys,V_GIVEN_PCT,250,0.2,0.3,1442412,1442412,0,0,0
denominator_keys,V_GIVEN_PCT,500,0.1,0.2,1246284,1246284,0,0,0
denominator_keys,V_GIVEN_PCT,500,0.2,0.3,1246284,1246284,0,0,0
dimension_active,C,120,0.1,0.2,208574,361374,0,152800,152800
dimension_active,C,120,0.2,0.3,361374,505581,0,144207,144207
dimension_active,C,250,0.1,0.2,167300,309393,0,142093,142093
dimension_active,C,250,0.2,0.3,309393,449168,0,139775,139775
dimension_active,C,500,0.1,0.2,139092,265832,0,126740,126740
dimension_active,C,500,0.2,0.3,265832,389423,0,123591,123591
dimension_active,P,120,0.1,0.2,196350,337590,0,141240,141240
dimension_active,P,120,0.2,0.3,337590,475043,0,137453,137453
dimension_active,P,250,0.1,0.2,168499,300660,0,132161,132161
dimension_active,P,250,0.2,0.3,300660,429506,0,128846,128846
dimension_active,P,500,0.1,0.2,142778,263160,0,120382,120382
dimension_active,P,500,0.2,0.3,263160,376575,0,113415,113415
dimension_active,T,120,0.1,0.2,90389,248118,0,157729,157729
dimension_active,T,120,0.2,0.3,248118,413530,0,165412,165412
dimension_active,T,250,0.1,0.2,75644,223760,0,148116,148116
dimension_active,T,250,0.2,0.3,223760,381659,0,157899,157899
dimension_active,T,500,0.1,0.2,62646,192452,0,129806,129806
dimension_active,T,500,0.2,0.3,192452,332310,0,139858,139858
dimension_active,V,120,0.1,0.2,145394,257834,0,112440,112440
dimension_active,V,120,0.2,0.3,257834,384902,0,127068,127068
dimension_active,V,250,0.1,0.2,90617,188233,0,97616,97616
dimension_active,V,250,0.2,0.3,188233,300225,0,111992,111992
dimension_active,V,500,0.1,0.2,57046,130608,0,73562,73562
dimension_active,V,500,0.2,0.3,130608,220371,0,89763,89763
