state_name,eligible_day_count,valid_day_count,unknown_day_count,blocked_day_count,diagnostic_required_day_count,raw_state_true_day_count,raw_state_false_day_count,raw_state_null_day_count,confirmed_state_true_day_count,confirmed_state_false_day_count,confirmed_state_null_day_count,unique_security_count_raw_true,unique_security_count_confirmed_true,nonzero_year_count_raw,nonzero_year_count_confirmed,candidate_config_id,W,q,K,raw_coverage,confirmed_coverage,year_coverage_raw,year_coverage_confirmed,unknown_ratio,blocked_ratio,diagnostic_required_ratio,raw_segment_count,raw_fragment_rate,raw_average_duration,raw_fragment_denominator_zero,raw_duration_denominator_zero,confirmed_interval_count,confirmed_interval_total_days,confirmed_interval_average_duration,unique_security_count_confirmed_interval,nonzero_year_count_confirmed_interval,confirmed_interval_status
S_P,1730769,1347788,382468,513,0,168499,1347788,214482,0,1347788,382981,789,0,10,0,R0_W250_Q10_K3_WEAK_D010,250,0.1,3,0.09735499075844321,0.0,0.9090909090909091,0.0,0.22098154057531652,0.00029640003952000526,0.0,19384,0.11503925839322489,8.692684688402807,False,False,0,0,,0,0,zero_confirmed_input_fact
S_PC,1730769,1347788,382468,513,0,0,1347788,382981,0,1347788,382981,0,0,0,0,R0_W250_Q10_K3_WEAK_D010,250,0.1,3,0.0,0.0,0.0,0.0,0.22098154057531652,0.00029640003952000526,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCT,1730769,1347788,382468,513,0,0,1347788,382981,0,1347788,382981,0,0,0,0,R0_W250_Q10_K3_WEAK_D010,250,0.1,3,0.0,0.0,0.0,0.0,0.22098154057531652,0.00029640003952000526,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCVT,1730769,1347788,382468,513,0,0,1347788,382981,0,1347788,382981,0,0,0,0,R0_W250_Q10_K3_WEAK_D010,250,0.1,3,0.0,0.0,0.0,0.0,0.22098154057531652,0.00029640003952000526,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_P,1730769,1347788,382468,513,0,168499,1347788,214482,0,1347788,382981,789,0,10,0,R0_W250_Q10_K5_WEAK_D010,250,0.1,5,0.09735499075844321,0.0,0.9090909090909091,0.0,0.22098154057531652,0.00029640003952000526,0.0,19384,0.11503925839322489,8.692684688402807,False,False,0,0,,0,0,zero_confirmed_input_fact
S_PC,1730769,1347788,382468,513,0,0,1347788,382981,0,1347788,382981,0,0,0,0,R0_W250_Q10_K5_WEAK_D010,250,0.1,5,0.0,0.0,0.0,0.0,0.22098154057531652,0.00029640003952000526,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCT,1730769,1347788,382468,513,0,0,1347788,382981,0,1347788,382981,0,0,0,0,R0_W250_Q10_K5_WEAK_D010,250,0.1,5,0.0,0.0,0.0,0.0,0.22098154057531652,0.00029640003952000526,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCVT,1730769,1347788,382468,513,0,0,1347788,382981,0,1347788,382981,0,0,0,0,R0_W250_Q10_K5_WEAK_D010,250,0.1,5,0.0,0.0,0.0,0.0,0.22098154057531652,0.00029640003952000526,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_P,1730769,1215627,514074,1068,0,300660,1215627,214482,0,1215627,515142,789,0,10,0,R0_W250_Q20_K2_WEAK_D010,250,0.2,2,0.1737146898286253,0.0,0.9090909090909091,0.0,0.29702057293607637,0.0006170667489422332,0.0,26648,0.08863167697731657,11.282647853497448,False,False,0,0,,0,0,zero_confirmed_input_fact
S_PC,1730769,1215627,514074,1068,0,0,1215627,515142,0,1215627,515142,0,0,0,0,R0_W250_Q20_K2_WEAK_D010,250,0.2,2,0.0,0.0,0.0,0.0,0.29702057293607637,0.0006170667489422332,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCT,1730769,1215627,514074,1068,0,0,1215627,515142,0,1215627,515142,0,0,0,0,R0_W250_Q20_K2_WEAK_D010,250,0.2,2,0.0,0.0,0.0,0.0,0.29702057293607637,0.0006170667489422332,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCVT,1730769,1215627,514074,1068,0,0,1215627,515142,0,1215627,515142,0,0,0,0,R0_W250_Q20_K2_WEAK_D010,250,0.2,2,0.0,0.0,0.0,0.0,0.29702057293607637,0.0006170667489422332,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_P,1730769,1215627,514074,1068,0,300660,1215627,214482,0,1215627,515142,789,0,10,0,R0_W250_Q20_K3_WEAK_D010,250,0.2,3,0.1737146898286253,0.0,0.9090909090909091,0.0,0.29702057293607637,0.0006170667489422332,0.0,26648,0.08863167697731657,11.282647853497448,False,False,0,0,,0,0,zero_confirmed_input_fact
S_PC,1730769,1215627,514074,1068,0,0,1215627,515142,0,1215627,515142,0,0,0,0,R0_W250_Q20_K3_WEAK_D010,250,0.2,3,0.0,0.0,0.0,0.0,0.29702057293607637,0.0006170667489422332,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCT,1730769,1215627,514074,1068,0,0,1215627,515142,0,1215627,515142,0,0,0,0,R0_W250_Q20_K3_WEAK_D010,250,0.2,3,0.0,0.0,0.0,0.0,0.29702057293607637,0.0006170667489422332,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCVT,1730769,1215627,514074,1068,0,0,1215627,515142,0,1215627,515142,0,0,0,0,R0_W250_Q20_K3_WEAK_D010,250,0.2,3,0.0,0.0,0.0,0.0,0.29702057293607637,0.0006170667489422332,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_P,1730769,1215627,514074,1068,0,300660,1215627,214482,0,1215627,515142,789,0,10,0,R0_W250_Q20_K5_WEAK_D010,250,0.2,5,0.1737146898286253,0.0,0.9090909090909091,0.0,0.29702057293607637,0.0006170667489422332,0.0,26648,0.08863167697731657,11.282647853497448,False,False,0,0,,0,0,zero_confirmed_input_fact
S_PC,1730769,1215627,514074,1068,0,0,1215627,515142,0,1215627,515142,0,0,0,0,R0_W250_Q20_K5_WEAK_D010,250,0.2,5,0.0,0.0,0.0,0.0,0.29702057293607637,0.0006170667489422332,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
