transition_path,W,q,K,lag_k,primary_stay_out_baseline_probability,unconditional_lag_support_marginal_probability,target_status_standardized_baseline_probability,security_year_standardized_baseline_probability,security_year_matched_anchor_count,security_year_unmatched_stratum_count,security_year_coverage,observed_probability,primary_absolute_difference,target_status_standardized_absolute_difference,security_year_standardized_absolute_difference,warnings
P_TO_C,120,0.1,not_applicable,1,0.10738834156051191,0.13339703420020235,0.2287848359897788,0.11567440832415518,25558,2,0.9999217527386541,0.2564945226917058,0.1491061811311939,0.027709686701927,0.14082011436755063,""
P_TO_C,120,0.1,not_applicable,3,0.10973201129121025,0.13339703420020235,0.19543295038535888,0.11887050848749994,25618,1,0.9999609664701979,0.2577774308130684,0.14804541952185818,0.06234448042770954,0.13890692232556848,""
P_TO_C,120,0.1,not_applicable,5,0.11288780484917015,0.13339703420020235,0.17848949736999056,0.12310242633262776,25695,1,0.9999610834371109,0.24505759651307596,0.1321697916639058,0.0665680991430854,0.1219551701804482,""
P_TO_C,120,0.1,not_applicable,10,0.11776936637975734,0.13339703420020235,0.1540339859230538,0.12900179261757735,25807,1,0.9999612523248606,0.21218226906385618,0.09441290268409884,0.058148283140802365,0.08318047644627882,""
P_TO_C,120,0.1,not_applicable,20,0.12266566902270976,0.13339703420020235,0.13256109424641524,0.13355503605450983,25959,1,0.9999614791987673,0.1920261941448382,0.06936052512212845,0.05946509989842297,0.05847115809032838,""
P_TO_C,120,0.2,not_applicable,1,0.16886734480360135,0.23112286208762323,0.3315371110296919,0.17967374761540744,32955,2,0.9999393148648239,0.36450526443547654,0.19563791963187518,0.03296815340578463,0.1848315168200691,""
P_TO_C,120,0.2,not_applicable,3,0.1736067604775899,0.23112286208762323,0.2969934544236593,0.18593246095459282,32996,0,1.0,0.3660140623105831,0.19240730183299318,0.06902060788692377,0.18008160135599027,""
P_TO_C,120,0.2,not_applicable,5,0.17984022630328517,0.23112286208762323,0.2788332586450461,0.19393322751618167,33045,0,1.0,0.359328188833409,0.17948796253012383,0.0804949301883629,0.16539496131722733,""
P_TO_C,120,0.2,not_applicable,10,0.1915032137673647,0.23112286208762323,0.2534274161785737,0.20815028943066805,33165,2,0.9999396990985016,0.330931347423644,0.1394281336562793,0.07750393124507032,0.12278105799297595,""
P_TO_C,120,0.2,not_applicable,20,0.20637092501266383,0.23112286208762323,0.2293487273552129,0.22337269229162604,33329,0,1.0,0.30075909868282874,0.09438817367016492,0.07141037132761585,0.0773864063912027,""
P_TO_C,120,0.3,not_applicable,1,0.22187340136740263,0.3233528912902495,0.39935920694839716,0.23452872033415104,37755,1,0.9999735141434474,0.4331761839177879,0.21130278255038526,0.03381697696939073,0.19864746358363686,""
P_TO_C,120,0.3,not_applicable,3,0.22863445507699726,0.3233528912902495,0.36807008037556455,0.24299539623440697,37806,1,0.9999735498717168,0.4401565847594361,0.21152212968243883,0.07208650438387154,0.19716118852502912,""
P_TO_C,120,0.3,not_applicable,5,0.23799415943453303,0.3233528912902495,0.3524608223626786,0.2544912544458885,37856,1,0.9999735848059804,0.4348997543386956,0.19690559490416257,0.08243893197601698,0.1804084998928071,""
P_TO_C,120,0.3,not_applicable,10,0.2569172923172636,0.3233528912902495,0.3314433071811015,0.27655868371217335,37949,2,0.9999473004663909,0.4155885220415799,0.1586712297243163,0.08414521486047843,0.13902983832940657,""
P_TO_C,120,0.3,not_applicable,20,0.2834202719708955,0.3233528912902495,0.3146481167060965,0.3036293727999699,38117,0,1.0,0.3900621769813994,0.10664190501050391,0.0754140602753029,0.08643280418142951,""
P_TO_C,250,0.1,not_applicable,1,0.08671258228500481,0.11455585128418273,0.20984366952193645,0.10673151999080507,18524,0,1.0,0.24314402936730728,0.15643144708230247,0.03330035984537083,0.1364125093765022,""
P_TO_C,250,0.1,not_applicable,3,0.08887582033181118,0.11455585128418273,0.17482468003920348,0.11089045269156836,18537,0,1.0,0.24232615849382316,0.15345033816201198,0.06750147845461968,0.1314357058022548,""
P_TO_C,250,0.1,not_applicable,5,0.09146566268824595,0.11455585128418273,0.15723894342811956,0.11571358788172781,18555,0,1.0,0.23346806790622474,0.1420024052179788,0.07622912447810518,0.11775448002449693,""
P_TO_C,250,0.1,not_applicable,10,0.09608355989143966,0.11455585128418273,0.13407591627210552,0.12389033170838305,18592,0,1.0,0.2073472461273666,0.11126368623592695,0.07327132985526108,0.08345691441898355,""
P_TO_C,250,0.1,not_applicable,20,0.10029250611539671,0.11455585128418273,0.11479887666751697,0.12857966263289033,18723,0,1.0,0.19190300699674198,0.09161050088134527,0.07710413032922502,0.06332334436385165,""
P_TO_C,250,0.2,not_applicable,1,0.14648160519948997,0.21185163476609173,0.30593203103701444,0.16918153616239126,25486,2,0.9998823021695633,0.34328533877358863,0.19680373357409867,0.03735330773657419,0.17410380261119737,""
P_TO_C,250,0.2,not_applicable,3,0.1509090909090909,0.21185163476609173,0.2711766900746914,0.17627845450946927,25511,1,0.9999608027594857,0.3454060834117278,0.19449699250263688,0.07422939333703638,0.16912762890225852,""
P_TO_C,250,0.2,not_applicable,5,0.15648094814194202,0.21185163476609173,0.2527382710517035,0.18504746484719106,25550,1,0.9999608625885484,0.3366991507181715,0.1802182025762295,0.08396087966646804,0.15165168587098046,""
P_TO_C,250,0.2,not_applicable,10,0.16624998252896697,0.21185163476609173,0.22691733396599092,0.19993066262941234,25617,1,0.999960964946522,0.31149972675462567,0.1452497442256587,0.08458239278863475,0.11156906412521334,""
