security_id,candidate_variant,baseline_variant,W,q,valid_row_count,baseline_true_count,candidate_true_count,jaccard,baseline_retention,candidate_precision
002558.SZ,c2_only,baseline_pair,120,0.2,2194,497,508,0.850828729281768,0.9295774647887324,0.9094488188976378
002568.SZ,c2_only,baseline_pair,120,0.2,2357,568,586,0.8493589743589743,0.9330985915492958,0.9044368600682594
002583.SZ,c2_only,baseline_pair,120,0.2,2267,515,516,0.8151408450704225,0.8990291262135922,0.8972868217054264
002594.SZ,c2_only,baseline_pair,120,0.2,2367,542,557,0.865874363327674,0.940959409594096,0.9156193895870736
002600.SZ,c2_only,baseline_pair,120,0.2,2122,473,476,0.8110687022900763,0.8985200845665962,0.8928571428571429
002601.SZ,c2_only,baseline_pair,120,0.2,2327,512,542,0.8266897746967071,0.931640625,0.8800738007380073
002602.SZ,c2_only,baseline_pair,120,0.2,2225,526,544,0.8480138169257341,0.9334600760456274,0.9025735294117647
002603.SZ,c2_only,baseline_pair,120,0.2,2307,521,542,0.8296041308089501,0.9251439539347409,0.8892988929889298
002608.SZ,c2_only,baseline_pair,120,0.2,1994,435,492,0.7040441176470589,0.8804597701149425,0.7784552845528455
002624.SZ,c2_only,baseline_pair,120,0.2,2273,530,556,0.8595890410958904,0.9471698113207547,0.9028776978417267
002625.SZ,c2_only,baseline_pair,120,0.2,2022,447,474,0.812992125984252,0.9239373601789709,0.8713080168776371
002648.SZ,c2_only,baseline_pair,120,0.2,2305,539,554,0.858843537414966,0.9369202226345084,0.9115523465703971
002670.SZ,c2_only,baseline_pair,120,0.2,2222,482,529,0.7135593220338983,0.8734439834024896,0.7958412098298677
002673.SZ,c2_only,baseline_pair,120,0.2,2353,534,581,0.7954911433172303,0.9250936329588015,0.8502581755593803
002683.SZ,c2_only,baseline_pair,120,0.2,2352,534,560,0.8263772954924875,0.9269662921348315,0.8839285714285714
002709.SZ,c2_only,baseline_pair,120,0.2,2357,595,609,0.8132530120481928,0.907563025210084,0.8866995073891626
002714.SZ,c2_only,baseline_pair,120,0.2,2357,537,556,0.8780068728522337,0.9515828677839852,0.9190647482014388
002736.SZ,c2_only,baseline_pair,120,0.2,2357,497,537,0.7766323024054983,0.9094567404426559,0.8417132216014898
002738.SZ,c2_only,baseline_pair,120,0.2,2180,494,517,0.8448905109489051,0.937246963562753,0.8955512572533849
002739.SZ,c2_only,baseline_pair,120,0.2,1903,470,472,0.8011472275334608,0.8914893617021277,0.8877118644067796
