comparison_id,W,q,common_valid_rows,pooled_spearman,per_security_spearman_median,per_security_spearman_q25,per_security_spearman_q75,mean_absolute_score_difference,median_absolute_score_difference,q90_absolute_score_difference,q95_absolute_score_difference
c1_vs_c2,120,0.2,1563558,0.9048447469786155,0.9132707992266658,0.8755855678746175,0.939564580588788,0.09331989390010903,0.05833333333333335,0.23333333333333328,0.30833333333333324
c1_vs_baseline_mean,120,0.2,1563558,0.9757513057316767,0.9777793907204604,0.9681924215527713,0.9845962473067886,0.046659946950054515,0.029166666666666674,0.1166666666666667,0.15416666666666662
c2_vs_baseline_mean,120,0.2,1563558,0.9759645511618367,0.9777258159586617,0.9681020142338583,0.984599680697184,0.046659946950054515,0.029166666666666674,0.1166666666666667,0.15416666666666662
