variant_id,W,q,weak_delta,denominator_scope,eligible_row_count,active_true_count,active_false_count,active_rate,transition_count,transition_rate_per_100_valid_steps,valid_step_count,valid_block_count,true_to_false_transition_count,false_to_true_transition_count,segment_count,segment_start_count,segment_duration_sum,mean_segment_duration,median_segment_duration,q90_segment_duration,max_segment_duration,singleton_segment_count,singleton_segment_ratio,unique_security_count,nonzero_year_count,max_year_active_share,max_year_active_rate
baseline_pair,120,0.2,0.1,pair_common_valid,1563558,361374,1202184,0.23112286208762323,72190,4.620322635356764,1562445,1113,36180,36010,36285,36285,361374,9.959322033898305,7.0,23.0,82,3285,0.09053327821413808,795,11,0.13388622313724838,0.3279908003018651
c1_only,120,0.2,0.1,pair_common_valid,1563558,387892,1175666,0.24808289810803308,73501,4.704229588881528,1562445,1113,36860,36641,36969,36969,387892,10.492358462495604,7.0,24.0,80,3233,0.08745164867862262,795,11,0.1372057170552628,0.3388076328745463
c2_only,120,0.2,0.1,pair_common_valid,1563558,377593,1185965,0.2414959982296787,76598,4.902444566048725,1562445,1113,38383,38215,38495,38495,377593,9.808884270684505,7.0,23.0,91,3763,0.09775295492921159,795,11,0.13128951013392728,0.34150285693750676
