source_level,layer,indicator_id,raw_source_indicator_id,W,validity_status,reason_code,row_count,ratio_within_indicator_W
indicator_score,P,P2_LogRange20,P2_LogRange20,250,unknown,insufficient_strict_past_history,199282,0.11413833808045848
indicator_score,P,P2_LogRange20,P2_LogRange20,250,unknown,raw_metric_not_valid,15200,0.008705767399077533
indicator_score,P,P2_LogRange20,P2_LogRange20,250,unknown,window_insufficient,15200,0.008705767399077533
indicator_score,P,P2_LogRange20,P2_LogRange20,250,valid,valid_no_blocker,1516287,0.8684501271213865
indicator_score,P,P2_LogRange20,P2_LogRange20,500,unknown,insufficient_strict_past_history,396565,0.2271317531983672
indicator_score,P,P2_LogRange20,P2_LogRange20,500,unknown,raw_metric_not_valid,15200,0.008705767399077533
indicator_score,P,P2_LogRange20,P2_LogRange20,500,unknown,window_insufficient,15200,0.008705767399077533
indicator_score,P,P2_LogRange20,P2_LogRange20,500,valid,valid_no_blocker,1319004,0.7554567120034777
indicator_score,T,T1_ER20,T1_ER20,120,unknown,insufficient_strict_past_history,95955,0.05493285030819759
indicator_score,T,T1_ER20,T1_ER20,120,unknown,raw_metric_not_valid,16000,0.009159768692941082
indicator_score,T,T1_ER20,T1_ER20,120,unknown,window_insufficient,16000,0.009159768692941082
indicator_score,T,T1_ER20,T1_ER20,120,valid,valid_no_blocker,1618814,0.9267476123059203
indicator_score,T,T1_ER20,T1_ER20,250,unknown,insufficient_strict_past_history,199274,0.11408148415732132
indicator_score,T,T1_ER20,T1_ER20,250,unknown,raw_metric_not_valid,16000,0.009159768692941082
indicator_score,T,T1_ER20,T1_ER20,250,unknown,window_insufficient,16000,0.009159768692941082
indicator_score,T,T1_ER20,T1_ER20,250,valid,valid_no_blocker,1515495,0.8675989784567966
indicator_score,T,T1_ER20,T1_ER20,500,unknown,insufficient_strict_past_history,396550,0.22701914219911162
indicator_score,T,T1_ER20,T1_ER20,500,unknown,raw_metric_not_valid,16000,0.009159768692941082
indicator_score,T,T1_ER20,T1_ER20,500,unknown,window_insufficient,16000,0.009159768692941082
indicator_score,T,T1_ER20,T1_ER20,500,valid,valid_no_blocker,1318219,0.7546613204150062
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,120,unknown,insufficient_strict_past_history,95957,0.05495916594166334
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,120,unknown,raw_metric_not_valid,15200,0.008705767399077533
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,120,unknown,window_insufficient,15200,0.008705767399077533
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,120,valid,valid_no_blocker,1619612,0.9276292992601816
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,250,unknown,insufficient_strict_past_history,199282,0.11413833808045848
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,250,unknown,raw_metric_not_valid,15200,0.008705767399077533
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,250,unknown,window_insufficient,15200,0.008705767399077533
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,250,valid,valid_no_blocker,1516287,0.8684501271213865
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,500,unknown,insufficient_strict_past_history,396565,0.2271317531983672
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,500,unknown,raw_metric_not_valid,15200,0.008705767399077533
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,500,unknown,window_insufficient,15200,0.008705767399077533
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,500,valid,valid_no_blocker,1319004,0.7554567120034777
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,blocked,provider_turnover_crosscheck_fail,1242,0.0006897501571652934
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,blocked,raw_metric_not_valid,1242,0.0006897501571652934
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,blocked,share_field_status_invalid,88,4.887118665905461e-05
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,blocked,window_insufficient,3,1.6660631815586798e-06
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,unknown,insufficient_strict_past_history,95727,0.053162410060355915
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,unknown,raw_metric_not_valid,66722,0.03705435586665275
