handoff_row_id,state_line,candidate_config_id,formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,q_or_q_vector,primary_role,request_role,archetype,center_id,parent_config_id,same_parameter_parent_id,baseline_comparator_id,source_route,input_gate_status,existence_status,intra_layer_status,inter_layer_increment_status,lead_lag_status,global_null_status,nested_increment_null_status,year_stability_status,identity_status,interval_geometry_status,neighborhood_status,complexity_status,multiplicity_status,confirmed_state_days,confirmed_coverage,unique_securities,confirmed_intervals,nonzero_years,max_year_share,fragment_rate,median_duration,affected_transition_path,retention,target_marginal,association_lift,absolute_increment,global_joint_lift,global_joint_excess,global_adjusted_or_empirical_p,nested_joint_lift,nested_joint_excess,nested_adjusted_or_empirical_p,multiplicity_scope,selection_path_not_independently_confirmed,direct_freeze_recommendation,warning_codes,overall_handoff_status,required_R2_decision,source_artifact_refs,source_artifact_hashes
shared_S_PCT_W250,S_PCT,R0_W250_Q20_K3_WEAK_D010,,,250,3,0.2,0.2,0.2,0.2,q=.20,reference,formal_candidate_family,shared_q,,,,R0_W250_Q20_K3_WEAK_D010:S_PCT,R1-T01..R1-T09,passed,passed,passed,passed,secondary_descriptive_evidence,passed,passed,passed,passed_with_warning,passed,not_applicable,shared_parameter_baseline,pre_registered_family,10854,0.006271200836160112,773,4884,10,0.21715496591118483,0.4606879606879607,2.0,T_GIVEN_PC,0.26070419883261153,0.14802286734733705,1.7612427289417836,0.11268133148527448,3.531493132801093,0.004495407821609932,0.0004997501249375312,1.7188303246430863,0.10902884432270868,0.0004997501249375312,R1-T08_pre_registered_global_and_nested_families,False,True,"[""availability_qualified_window_comparison"",""lead_lag_secondary_not_freeze_gate"",""partial_year_2026"",""window_dependent_state_identity""]",freeze_candidate,choose_window_and_state_version_without_R1_winner,"[""R1-T04"",""R1-T06"",""R1-T08"",""R1-T09""]","{""R1-T04"":{""path"":""data/generated/r1/r1_t04/R1-T04-20260710T0835Z/r1_t04_state_line_profile.csv"",""sha256"":""970484274d043338fa85666ad1e70f2ecec78bfdd6ac150c108e3adc1d90d301""},""R1-T06"":{""path"":""data/generated/r1/r1_t06/R1-T06-20260710T1216Z/r1_t06_layer_step_profile.csv"",""sha256"":""98c80443be455f31a279666c6d9074180a3050bbdb11665e45a36099d4d7f3e4""},""R1-T08"":{""path"":""data/generated/r1/r1_t08/R1-T08-20260710T1629Z/r1_t08_null_model_results.csv"",""sha256"":""080a8a531e333ca68cf01b354a0f177489da949be81b55b5810d668502adb4db""},""R1-T09"":{""path"":""data/generated/r1/r1_t09/R1-T09-20260710T1825Z/r1_t09_year_concentration_summary.csv"",""sha256"":""ac9066a36f75078bdfa2ff80b41b71b40317fc6e304ca0464275b514222e5f37""}}"
shared_S_PCT_W120,S_PCT,R0_W120_Q20_K3_WEAK_D010,,,120,3,0.2,0.2,0.2,0.2,q=.20,challenger,formal_candidate_family,shared_q,,,,R0_W250_Q20_K3_WEAK_D010:S_PCT,R1-T01..R1-T09,passed,passed,passed,passed,secondary_descriptive_evidence,passed,passed,passed,passed_with_warning,passed,not_applicable,shared_parameter_baseline,pre_registered_family,12480,0.007210667628089017,777,5528,11,0.17748397435897437,0.4547756874095514,2.0,T_GIVEN_PC,0.27442030434452847,0.15338669879850955,1.789074975171152,0.12103360554601891,3.922697093133724,0.005372476338552401,0.0004997501249375312,1.7785600130934767,0.12012677344071318,0.0004997501249375312,R1-T08_pre_registered_global_and_nested_families,False,True,"[""availability_qualified_window_comparison"",""lead_lag_secondary_not_freeze_gate"",""partial_year_2026"",""window_dependent_state_identity""]",freeze_candidate,choose_window_and_state_version_without_R1_winner,"[""R1-T04"",""R1-T06"",""R1-T08"",""R1-T09""]","{""R1-T04"":{""path"":""data/generated/r1/r1_t04/R1-T04-20260710T0835Z/r1_t04_state_line_profile.csv"",""sha256"":""970484274d043338fa85666ad1e70f2ecec78bfdd6ac150c108e3adc1d90d301""},""R1-T06"":{""path"":""data/generated/r1/r1_t06/R1-T06-20260710T1216Z/r1_t06_layer_step_profile.csv"",""sha256"":""98c80443be455f31a279666c6d9074180a3050bbdb11665e45a36099d4d7f3e4""},""R1-T08"":{""path"":""data/generated/r1/r1_t08/R1-T08-20260710T1629Z/r1_t08_null_model_results.csv"",""sha256"":""080a8a531e333ca68cf01b354a0f177489da949be81b55b5810d668502adb4db""},""R1-T09"":{""path"":""data/generated/r1/r1_t09/R1-T09-20260710T1825Z/r1_t09_year_concentration_summary.csv"",""sha256"":""ac9066a36f75078bdfa2ff80b41b71b40317fc6e304ca0464275b514222e5f37""}}"
shared_S_PCVT_W250,S_PCVT,R0_W250_Q20_K3_WEAK_D010,,,250,3,0.2,0.2,0.2,0.2,q=.20,reference,formal_candidate_family,shared_q,,R0_W250_Q20_K3_WEAK_D010:S_PCT,W250_K3_P20_C20_T20_V20,R0_W250_Q20_K3_WEAK_D010:S_PCVT,R1-T01..R1-T09,passed,passed,passed,passed,secondary_descriptive_evidence,passed,passed,passed,passed_with_warning,passed_with_warning,not_applicable,shared_parameter_baseline,pre_registered_family,2143,0.00123817794286817,520,1024,10,0.21931871208586096,0.48046875,2.0,V_GIVEN_PCT,0.22908772952491985,0.1296633694117908,1.7667883424914916,0.09942436011312905,4.721070226745756,0.0009759115745659877,0.0004997501249375312,1.4413550799102652,0.07014859459698647,0.0004997501249375312,R1-T08_pre_registered_global_and_nested_families,False,True,"[""PCVT_confirmed_high_fragmentation"",""PCVT_geometry_weaker_than_coverage_null"",""availability_qualified_window_comparison"",""lead_lag_secondary_not_freeze_gate"",""partial_year_2026"",""window_dependent_state_identity""]",freeze_candidate,choose_window_and_state_version_without_R1_winner,"[""R1-T04"",""R1-T06"",""R1-T08"",""R1-T09""]","{""R1-T04"":{""path"":""data/generated/r1/r1_t04/R1-T04-20260710T0835Z/r1_t04_state_line_profile.csv"",""sha256"":""970484274d043338fa85666ad1e70f2ecec78bfdd6ac150c108e3adc1d90d301""},""R1-T06"":{""path"":""data/generated/r1/r1_t06/R1-T06-20260710T1216Z/r1_t06_layer_step_profile.csv"",""sha256"":""98c80443be455f31a279666c6d9074180a3050bbdb11665e45a36099d4d7f3e4""},""R1-T08"":{""path"":""data/generated/r1/r1_t08/R1-T08-20260710T1629Z/r1_t08_null_model_results.csv"",""sha256"":""080a8a531e333ca68cf01b354a0f177489da949be81b55b5810d668502adb4db""},""R1-T09"":{""path"":""data/generated/r1/r1_t09/R1-T09-20260710T1825Z/r1_t09_year_concentration_summary.csv"",""sha256"":""ac9066a36f75078bdfa2ff80b41b71b40317fc6e304ca0464275b514222e5f37""}}"
shared_S_PCVT_W120,S_PCVT,R0_W120_Q20_K3_WEAK_D010,,,120,3,0.2,0.2,0.2,0.2,q=.20,challenger,formal_candidate_family,shared_q,,R0_W120_Q20_K3_WEAK_D010:S_PCT,W120_K3_P20_C20_T20_V20,R0_W250_Q20_K3_WEAK_D010:S_PCVT,R1-T01..R1-T09,passed,passed,passed,passed,secondary_descriptive_evidence,passed,passed,passed,passed_with_warning,passed_with_warning,not_applicable,shared_parameter_baseline,pre_registered_family,2941,0.0016992446710104006,617,1426,11,0.16865011900714044,0.49719495091164095,2.0,V_GIVEN_PCT,0.27781217750257997,0.16580401091237415,1.6755455792284848,0.11200816659020582,5.855731189882189,0.0014090597878746384,0.0004997501249375312,1.5655606784722431,0.10035998333168153,0.0004997501249375312,R1-T08_pre_registered_global_and_nested_families,False,True,"[""PCVT_confirmed_high_fragmentation"",""PCVT_geometry_weaker_than_coverage_null"",""availability_qualified_window_comparison"",""lead_lag_secondary_not_freeze_gate"",""partial_year_2026"",""window_dependent_state_identity""]",freeze_candidate,choose_window_and_state_version_without_R1_winner,"[""R1-T04"",""R1-T06"",""R1-T08"",""R1-T09""]","{""R1-T04"":{""path"":""data/generated/r1/r1_t04/R1-T04-20260710T0835Z/r1_t04_state_line_profile.csv"",""sha256"":""970484274d043338fa85666ad1e70f2ecec78bfdd6ac150c108e3adc1d90d301""},""R1-T06"":{""path"":""data/generated/r1/r1_t06/R1-T06-20260710T1216Z/r1_t06_layer_step_profile.csv"",""sha256"":""98c80443be455f31a279666c6d9074180a3050bbdb11665e45a36099d4d7f3e4""},""R1-T08"":{""path"":""data/generated/r1/r1_t08/R1-T08-20260710T1629Z/r1_t08_null_model_results.csv"",""sha256"":""080a8a531e333ca68cf01b354a0f177489da949be81b55b5810d668502adb4db""},""R1-T09"":{""path"":""data/generated/r1/r1_t09/R1-T09-20260710T1825Z/r1_t09_year_concentration_summary.csv"",""sha256"":""ac9066a36f75078bdfa2ff80b41b71b40317fc6e304ca0464275b514222e5f37""}}"
q_W250_K3_P20_C20_T25_V20_S_PCT,S_PCT,W250_K3_P20_C20_T25_V20,R0T15_67d6724c4be0c280defb,W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,"P=0.2,C=0.2,T=0.25,V=0.2",q_revalidation,center,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,W250_K3_P20_C20_T25_V20,W250_K3_P20_C20_T25_V20,R0_W250_Q20_K3_WEAK_D010:S_PCT,R1-T14-01→R0-T15→R1-T14-02,passed,passed,passed,passed,not_revalidated_for_q_vector_secondary_only,passed,passed,passed,passed,passed,passed,requires_R2_parsimony_decision,family_max_adjusted_passed,18328,0.012188836520754873,782,6958,10,0.22681143605412485,0.37841333716585224,2.0,T_GIVEN_PC,0.3465938617962719,0.0,1.7477558099474033,0.14828591750358364,3.501241232808281,0.007565010119779126,9.999000099990002e-05,1.737182727374786,0.19560823084744267,9.999000099990002e-05,R1-T14-02_five_family_max_statistic,True,False,"[""affected_lift_deterioration_vs_baseline"",""layer_q_complexity_added"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed""]",review_candidate,accept_or_reject_qT_decoupling_and_converge_qT,"[""R1-T14-01"",""R0-T15"",""R1-T14-02""]","{""R1-T14-01"":{""path"":""data/generated/r1/r1_t14_01/R1-T14-01-20260710T2113Z/r1_t14_01_result_package.json"",""sha256"":""300bbc213a1b42b317f1a8ea7452b846ee5406882eae7aff79e9c4ce12138a35""},""R0-T15"":{""path"":""data/generated/r0/r0_t15/R0-T15-20260710T2136Z/r0_t15_result_package.json"",""sha256"":""aaea43c420289d95a384b49ce045f69045007ba6a5ac669079d6d3f055d72ac2""},""R1-T14-02"":{""path"":""data/generated/r1/r1_t14_02/R1-T14-02-20260711T1100Z/r1_t14_02_result_package.json"",""sha256"":""cb5c6c454f7023059ea237c32d574aca13e5b82343ba6ee36e6839711a13eb25""}}"
q_W250_K3_P20_C20_T30_V20_S_PCT,S_PCT,W250_K3_P20_C20_T30_V20,R0T15_1c9720c4f9f1497c6968,W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,"P=0.2,C=0.2,T=0.3,V=0.2",sidecar,immediate_neighbor,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,W250_K3_P20_C20_T30_V20,W250_K3_P20_C20_T30_V20,R0_W250_Q20_K3_WEAK_D010:S_PCT,R1-T14-01→R0-T15→R1-T14-02,passed,passed,passed,passed,not_revalidated_for_q_vector_secondary_only,passed,passed,passed,passed,passed,passed,requires_R2_parsimony_decision,family_max_adjusted_passed,27083,0.018011253791554136,784,8562,10,0.22645201787098918,0.30892314879701005,2.0,T_GIVEN_PC,0.43203916399924686,0.0,1.7192694559369597,0.18074687092247832,3.4901645287245002,0.011164513519712913,9.999000099990002e-05,1.737182727374786,0.19560823084744267,9.999000099990002e-05,R1-T14-02_five_family_max_statistic,True,False,"[""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed"",""sidecar_neighbor_only""]",review_candidate,compare_qT_025_vs_030_under_parsimony,"[""R1-T14-01"",""R0-T15"",""R1-T14-02""]","{""R1-T14-01"":{""path"":""data/generated/r1/r1_t14_01/R1-T14-01-20260710T2113Z/r1_t14_01_result_package.json"",""sha256"":""300bbc213a1b42b317f1a8ea7452b846ee5406882eae7aff79e9c4ce12138a35""},""R0-T15"":{""path"":""data/generated/r0/r0_t15/R0-T15-20260710T2136Z/r0_t15_result_package.json"",""sha256"":""aaea43c420289d95a384b49ce045f69045007ba6a5ac669079d6d3f055d72ac2""},""R1-T14-02"":{""path"":""data/generated/r1/r1_t14_02/R1-T14-02-20260711T1100Z/r1_t14_02_result_package.json"",""sha256"":""cb5c6c454f7023059ea237c32d574aca13e5b82343ba6ee36e6839711a13eb25""}}"
q_W120_K3_P20_C20_T25_V20_S_PCT,S_PCT,W120_K3_P20_C20_T25_V20,R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,"P=0.2,C=0.2,T=0.25,V=0.2",q_revalidation,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,W120_K3_P20_C20_T25_V20,W120_K3_P20_C20_T25_V20,R0_W120_Q20_K3_WEAK_D010:S_PCT,R1-T14-01→R0-T15→R1-T14-02,passed,passed,passed,passed,not_revalidated_for_q_vector_secondary_only,passed,passed,passed,passed,passed,passed,requires_R2_parsimony_decision,family_max_adjusted_passed,20479,0.012777557320874607,783,7673,11,0.18164949460422872,0.3830314088361788,2.0,T_GIVEN_PC,0.36143498376231614,0.0,1.7784249258765976,0.1582017865081996,3.947941992338305,0.008835228964697194,9.999000099990002e-05,1.7920173314062566,0.19986962986877854,9.999000099990002e-05,R1-T14-02_five_family_max_statistic,True,False,"[""affected_lift_deterioration_vs_baseline"",""layer_q_complexity_added"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed""]",review_candidate,accept_or_reject_qT_decoupling_and_converge_qT,"[""R1-T14-01"",""R0-T15"",""R1-T14-02""]","{""R1-T14-01"":{""path"":""data/generated/r1/r1_t14_01/R1-T14-01-20260710T2113Z/r1_t14_01_result_package.json"",""sha256"":""300bbc213a1b42b317f1a8ea7452b846ee5406882eae7aff79e9c4ce12138a35""},""R0-T15"":{""path"":""data/generated/r0/r0_t15/R0-T15-20260710T2136Z/r0_t15_result_package.json"",""sha256"":""aaea43c420289d95a384b49ce045f69045007ba6a5ac669079d6d3f055d72ac2""},""R1-T14-02"":{""path"":""data/generated/r1/r1_t14_02/R1-T14-02-20260711T1100Z/r1_t14_02_result_package.json"",""sha256"":""cb5c6c454f7023059ea237c32d574aca13e5b82343ba6ee36e6839711a13eb25""}}"
q_W120_K3_P20_C20_T30_V20_S_PCT,S_PCT,W120_K3_P20_C20_T30_V20,R0T15_ebf91f90f1a105d63dda,W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,"P=0.2,C=0.2,T=0.3,V=0.2",sidecar,immediate_neighbor,PCT_fast_W120,W120_K3_P20_C20_T25_V20,W120_K3_P20_C20_T30_V20,W120_K3_P20_C20_T30_V20,R0_W120_Q20_K3_WEAK_D010:S_PCT,R1-T14-01→R0-T15→R1-T14-02,passed,passed,passed,passed,not_revalidated_for_q_vector_secondary_only,passed,passed,passed,passed,passed,passed,requires_R2_parsimony_decision,family_max_adjusted_passed,29515,0.018415430652161436,788,9499,11,0.1840081314585804,0.3274028845141594,2.0,T_GIVEN_PC,0.4461812139306227,0.0,1.752241331418205,0.19154664623126438,3.9460081271322935,0.012731502066422498,9.999000099990002e-05,1.7920173314062566,0.19986962986877854,9.999000099990002e-05,R1-T14-02_five_family_max_statistic,True,False,"[""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed"",""sidecar_neighbor_only""]",review_candidate,compare_qT_025_vs_030_under_parsimony,"[""R1-T14-01"",""R0-T15"",""R1-T14-02""]","{""R1-T14-01"":{""path"":""data/generated/r1/r1_t14_01/R1-T14-01-20260710T2113Z/r1_t14_01_result_package.json"",""sha256"":""300bbc213a1b42b317f1a8ea7452b846ee5406882eae7aff79e9c4ce12138a35""},""R0-T15"":{""path"":""data/generated/r0/r0_t15/R0-T15-20260710T2136Z/r0_t15_result_package.json"",""sha256"":""aaea43c420289d95a384b49ce045f69045007ba6a5ac669079d6d3f055d72ac2""},""R1-T14-02"":{""path"":""data/generated/r1/r1_t14_02/R1-T14-02-20260711T1100Z/r1_t14_02_result_package.json"",""sha256"":""cb5c6c454f7023059ea237c32d574aca13e5b82343ba6ee36e6839711a13eb25""}}"
q_W250_K3_P20_C20_T20_V25_S_PCVT,S_PCVT,W250_K3_P20_C20_T20_V25,R0T15_91a5b343f0936218f031,W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,"P=0.2,C=0.2,T=0.2,V=0.25",sidecar,immediate_neighbor,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,W250_K3_P20_C20_T20_V20,W250_K3_P20_C20_T20_V20,R0_W250_Q20_K3_WEAK_D010:S_PCVT,R1-T14-01→R0-T15→R1-T14-02,passed,passed,passed,passed,not_revalidated_for_q_vector_secondary_only,passed,passed,passed,passed,passed,passed,complexity_not_justified,family_max_adjusted_passed,2808,0.0018678086374176348,587,1319,10,0.21082621082621084,0.4746019711902957,2.0,V_GIVEN_PCT,0.2964733313902652,0.0,1.8054579815070515,0.13226384303496544,4.866345339989089,0.0012890082963122173,9.999000099990002e-05,1.4718477780555068,0.09504398807736963,9.999000099990002e-05,R1-T14-02_five_family_max_statistic,True,False,"[""V_security_negative_delta_share_material"",""complexity_not_justified"",""failed_hard_gate:material_advantage"",""prefer_shared_q"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed"",""sidecar_neighbor_only"",""stability_envelope_equivalent""]",do_not_freeze,retain_as_sensitivity_only_unless_new_R2_evidence,"[""R1-T14-01"",""R0-T15"",""R1-T14-02""]","{""R1-T14-01"":{""path"":""data/generated/r1/r1_t14_01/R1-T14-01-20260710T2113Z/r1_t14_01_result_package.json"",""sha256"":""300bbc213a1b42b317f1a8ea7452b846ee5406882eae7aff79e9c4ce12138a35""},""R0-T15"":{""path"":""data/generated/r0/r0_t15/R0-T15-20260710T2136Z/r0_t15_result_package.json"",""sha256"":""aaea43c420289d95a384b49ce045f69045007ba6a5ac669079d6d3f055d72ac2""},""R1-T14-02"":{""path"":""data/generated/r1/r1_t14_02/R1-T14-02-20260711T1100Z/r1_t14_02_result_package.json"",""sha256"":""cb5c6c454f7023059ea237c32d574aca13e5b82343ba6ee36e6839711a13eb25""}}"
q_W250_K3_P20_C20_T20_V30_S_PCVT,S_PCVT,W250_K3_P20_C20_T20_V30,R0T15_6544fee51f1246d4915d,W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,"P=0.2,C=0.2,T=0.2,V=0.3",q_revalidation,center,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,W250_K3_P20_C20_T20_V20,W250_K3_P20_C20_T20_V20,R0_W250_Q20_K3_WEAK_D010:S_PCVT,R1-T14-01→R0-T15→R1-T14-02,passed,passed,passed,passed,not_revalidated_for_q_vector_secondary_only,passed,passed,passed,passed,passed,passed,requires_R2_parsimony_decision,family_max_adjusted_passed,3591,0.002388639892082168,640,1674,10,0.2049568365357839,0.480884109916368,2.0,V_GIVEN_PCT,0.374992713494608,0.0,1.830437477580007,0.17012763720127289,4.990237006380305,0.001659028385648229,9.999000099990002e-05,1.5029111836707543,0.12548181919231477,9.999000099990002e-05,R1-T14-02_five_family_max_statistic,True,False,"[""V_security_negative_delta_share_material"",""V_selectivity_reduced_but_guard_passed"",""layer_q_complexity_added"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed""]",review_candidate,accept_or_reject_qV_selectivity_heterogeneity_tradeoff,"[""R1-T14-01"",""R0-T15"",""R1-T14-02""]","{""R1-T14-01"":{""path"":""data/generated/r1/r1_t14_01/R1-T14-01-20260710T2113Z/r1_t14_01_result_package.json"",""sha256"":""300bbc213a1b42b317f1a8ea7452b846ee5406882eae7aff79e9c4ce12138a35""},""R0-T15"":{""path"":""data/generated/r0/r0_t15/R0-T15-20260710T2136Z/r0_t15_result_package.json"",""sha256"":""aaea43c420289d95a384b49ce045f69045007ba6a5ac669079d6d3f055d72ac2""},""R1-T14-02"":{""path"":""data/generated/r1/r1_t14_02/R1-T14-02-20260711T1100Z/r1_t14_02_result_package.json"",""sha256"":""cb5c6c454f7023059ea237c32d574aca13e5b82343ba6ee36e6839711a13eb25""}}"
