transition_path,W,q,K,lag_k,anchor_year,anchor_event_count,control_anchor_count,target_valid_event_count,target_true_event_count,target_valid_control_count,target_true_control_count,observed_probability,baseline_probability,absolute_difference,relative_lift
P_TO_C,120,0.3,not_applicable,1,2022,4970,115610,4907,2110,113133,26669,0.4299979620949664,0.2357313957907949,0.19426656630417147,1.8241013703434636
P_TO_C,120,0.3,not_applicable,1,2023,5269,108034,5210,2225,106600,25239,0.42706333973128596,0.23676360225140713,0.19029973747987883,1.8037541905525212
P_TO_C,120,0.3,not_applicable,1,2024,3968,150081,3943,1803,147830,34390,0.4572660410854679,0.23263207738618683,0.2246339636992811,1.965619041979201
P_TO_C,120,0.3,not_applicable,1,2025,4567,118736,4540,1828,117128,25812,0.4026431718061674,0.22037429137354006,0.18226888043262732,1.8270877664385856
P_TO_C,120,0.3,not_applicable,1,2026,1407,77050,1388,548,75455,14820,0.39481268011527376,0.19640845537075077,0.198404224744523,2.0101613210592433
P_TO_C,120,0.3,not_applicable,3,2016,1040,20379,571,275,14382,2570,0.4816112084063047,0.17869559171186206,0.30291561669444267,2.695148793501741
P_TO_C,120,0.3,not_applicable,3,2017,2895,91050,2760,1178,87042,17273,0.42681159420289855,0.19844442912616897,0.22836716507672958,2.1507864749961616
P_TO_C,120,0.3,not_applicable,3,2018,3407,101293,3326,1567,98616,24811,0.47113650030066145,0.2515920337470593,0.21954446655360216,1.8726208985389556
P_TO_C,120,0.3,not_applicable,3,2019,4064,89051,3976,1787,85220,18484,0.4494466800804829,0.21689744191504343,0.23254923816543946,2.0721621984667142
P_TO_C,120,0.3,not_applicable,3,2020,3331,117411,3261,1479,113732,25090,0.45354185832566696,0.22060633770618648,0.23293552061948047,2.0558877094896273
P_TO_C,120,0.3,not_applicable,3,2021,4020,116148,3919,1730,112596,26329,0.44143914263842815,0.23383601548900493,0.20760312714942322,1.8878150216307668
P_TO_C,120,0.3,not_applicable,3,2022,4970,115610,4913,2139,113187,27476,0.4353755342967637,0.24274872556035587,0.1926268087364078,1.7935234604908936
P_TO_C,120,0.3,not_applicable,3,2023,5269,108034,5214,2282,106634,26388,0.4376678174146529,0.24746328563122455,0.19020453178342833,1.7686171760722336
P_TO_C,120,0.3,not_applicable,3,2024,3968,150081,3941,1805,147836,35381,0.4580055823395077,0.23932600990286534,0.21867957243664238,1.9137309084181753
P_TO_C,120,0.3,not_applicable,3,2025,4567,118736,4541,1863,117154,26478,0.41026205681567934,0.226010208785018,0.18425184803066133,1.8152368382877897
P_TO_C,120,0.3,not_applicable,3,2026,1407,77050,1385,536,73899,14427,0.38700361010830325,0.19522591645353793,0.19177769365476532,1.982337269244715
P_TO_C,120,0.3,not_applicable,5,2016,1040,20379,598,286,14648,2838,0.4782608695652174,0.19374658656471874,0.28451428300049864,2.4684866868891135
