transition_path,W,q,K,lag_k,primary_stay_out_baseline_probability,unconditional_lag_support_marginal_probability,target_status_standardized_baseline_probability,target_status_matched_event_count,target_status_matched_true_count,target_status_matched_observed_probability,target_status_matched_event_coverage,security_year_standardized_baseline_probability,security_year_matched_anchor_count,security_year_unmatched_stratum_count,security_year_coverage,observed_probability,primary_absolute_difference,target_status_standardized_absolute_difference,security_year_standardized_absolute_difference,warnings
P_TO_C,120,0.1,not_applicable,1,0.10738834156051191,0.13339703420020235,0.2287848359897788,25534,6554,0.25667737134800656,0.9989827856025039,0.1156744083241552,25558,2,0.9999217527386541,0.2564945226917058,0.1491061811311939,0.02789253535822775,0.1408201143675506,""
P_TO_C,120,0.1,not_applicable,3,0.10973201129121025,0.13339703420020235,0.19543295038535888,25528,6588,0.25806957066750236,0.9964479487880089,0.11887050848749994,25618,1,0.9999609664701979,0.2577774308130684,0.14804541952185818,0.06263662028214348,0.13890692232556848,""
P_TO_C,120,0.1,not_applicable,5,0.11288780484917015,0.13339703420020235,0.17848949736999056,25522,6252,0.24496512812475513,0.9932285180572852,0.12310242633262776,25695,1,0.9999610834371109,0.24505759651307596,0.1321697916639058,0.06647563075476456,0.1219551701804482,""
P_TO_C,120,0.1,not_applicable,10,0.11776936637975734,0.13339703420020235,0.1540339859230538,25501,5412,0.21222697149131406,0.9881044637321761,0.12900179261757733,25807,1,0.9999612523248606,0.21218226906385618,0.09441290268409884,0.05819298556826025,0.08318047644627885,""
P_TO_C,120,0.1,not_applicable,20,0.12266566902270976,0.13339703420020235,0.13256109424641524,25456,4841,0.19017127592708988,0.9805855161787366,0.13355503605450983,25959,1,0.9999614791987673,0.1920261941448382,0.06936052512212845,0.05761018168067464,0.05847115809032838,""
P_TO_C,120,0.2,not_applicable,1,0.16886734480360135,0.23112286208762323,0.3315371110296919,32933,12008,0.36461907509185315,0.9992717783778864,0.17967374761540744,32955,2,0.9999393148648239,0.36450526443547654,0.19563791963187518,0.03308196406216124,0.1848315168200691,""
P_TO_C,120,0.2,not_applicable,3,0.1736067604775899,0.23112286208762323,0.2969934544236593,32922,12060,0.36632039365773644,0.9977573039156261,0.1859324609545929,32996,0,1.0,0.3660140623105831,0.19240730183299318,0.06932693923407712,0.1800816013559902,""
P_TO_C,120,0.2,not_applicable,5,0.17984022630328517,0.23112286208762323,0.2788332586450461,32914,11838,0.35966458042170507,0.9960357088818278,0.19393322751618167,33045,0,1.0,0.359328188833409,0.17948796253012383,0.08083132177665897,0.16539496131722733,""
P_TO_C,120,0.2,not_applicable,10,0.1915032137673647,0.23112286208762323,0.2534274161785737,32884,10874,0.33067753314681914,0.9914674224379655,0.20815028943066813,33165,2,0.9999396990985016,0.330931347423644,0.1394281336562793,0.07725011696824546,0.12278105799297587,""
P_TO_C,120,0.2,not_applicable,20,0.20637092501266383,0.23112286208762323,0.2293487273552129,32823,9837,0.2996983822319715,0.9848180263434246,0.22337269229162604,33329,0,1.0,0.30075909868282874,0.09438817367016492,0.0703496548767586,0.0773864063912027,""
P_TO_C,120,0.3,not_applicable,1,0.22187340136740263,0.3233528912902495,0.39935920694839716,37736,16350,0.43327326690693235,0.999470282868948,0.23452872033415104,37755,1,0.9999735141434474,0.4331761839177879,0.21130278255038526,0.03391405995853519,0.19864746358363686,""
P_TO_C,120,0.3,not_applicable,3,0.22863445507699726,0.3233528912902495,0.36807008037556455,37722,16612,0.44037961932029057,0.9977517390959346,0.24299539623440694,37806,1,0.9999735498717168,0.4401565847594361,0.21152212968243883,0.07230953894472603,0.19716118852502915,""
