transition_path,W,q,K,lag_k,event_security_count,per_security_median_effect,positive_security_count,negative_security_count,zero_security_count,pooled_absolute_difference,pooled_vs_security_median_sign_consistency
P_TO_T,120,0.3,not_applicable,1,794,0.09309498986710989,722,72,0,0.09840288195071611,true
P_TO_T,120,0.3,not_applicable,3,794,0.0935633244189775,709,85,0,0.09441691986124967,true
P_TO_T,120,0.3,not_applicable,5,794,0.06924293951574644,658,136,0,0.06951127130503126,true
P_TO_T,120,0.3,not_applicable,10,794,0.005943944537387474,422,372,0,0.006607172494214331,true
P_TO_T,120,0.3,not_applicable,20,794,-0.027136018945681725,272,522,0,-0.025574582822428943,true
P_TO_T,250,0.1,not_applicable,1,789,0.020616180078710335,497,291,1,0.029091392666135557,true
P_TO_T,250,0.1,not_applicable,3,789,0.01184640522875817,449,338,2,0.021337633356069884,true
P_TO_T,250,0.1,not_applicable,5,789,0.00508130081300813,420,369,0,0.015451888066875065,true
P_TO_T,250,0.1,not_applicable,10,789,-0.010964912280701754,309,480,0,-0.003810694056447586,true
P_TO_T,250,0.1,not_applicable,20,789,-0.013120165033522431,293,495,1,-0.006351579177881185,true
P_TO_T,250,0.2,not_applicable,1,788,0.059060868894055894,623,165,0,0.06516902311469217,true
P_TO_T,250,0.2,not_applicable,3,788,0.05821799403094542,624,164,0,0.06082514976001582,true
P_TO_T,250,0.2,not_applicable,5,788,0.03371364860522902,540,248,0,0.03689253505392434,true
P_TO_T,250,0.2,not_applicable,10,788,-0.0017794329038482992,386,402,0,-0.0009167076823380915,true
P_TO_T,250,0.2,not_applicable,20,788,-0.0159955675322683,302,486,0,-0.014811106246075817,true
P_TO_T,250,0.3,not_applicable,1,791,0.08850196705188099,668,123,0,0.0882519956528269,true
P_TO_T,250,0.3,not_applicable,3,791,0.08859922345010027,671,120,0,0.09151171025322533,true
P_TO_T,250,0.3,not_applicable,5,791,0.07079383886255924,633,158,0,0.07265520022227179,true
P_TO_T,250,0.3,not_applicable,10,791,0.014528929851510497,449,342,0,0.013415205495131421,true
P_TO_T,250,0.3,not_applicable,20,791,-0.024885334587792574,295,496,0,-0.02546600609141017,true
P_TO_T,500,0.1,not_applicable,1,770,0.012761295851791137,466,304,0,0.024515961250390884,true
P_TO_T,500,0.1,not_applicable,3,770,0.014089848454789968,478,292,0,0.024822089996698257,true
P_TO_T,500,0.1,not_applicable,5,770,0.004865533010315531,413,357,0,0.012415863082141695,true
P_TO_T,500,0.1,not_applicable,10,770,-0.007188359443495097,326,444,0,-0.002988904706925817,true
P_TO_T,500,0.1,not_applicable,20,770,-0.018287373386976998,294,476,0,-0.006609045126988754,true
P_TO_T,500,0.2,not_applicable,1,776,0.0532348417992336,599,177,0,0.061954911403722335,true
P_TO_T,500,0.2,not_applicable,3,776,0.05113328354850206,577,199,0,0.05998982165664535,true
P_TO_T,500,0.2,not_applicable,5,776,0.03522937878352643,521,255,0,0.03768610589500296,true
P_TO_T,500,0.2,not_applicable,10,776,0.004398650491536829,400,376,0,0.009913219671744578,true
P_TO_T,500,0.2,not_applicable,20,776,-0.015760742544890433,311,465,0,-0.012153641187371167,true
P_TO_T,500,0.3,not_applicable,1,779,0.08747461069735951,652,127,0,0.08918701040797666,true
P_TO_T,500,0.3,not_applicable,3,779,0.08775319049291655,631,147,1,0.08915578340751679,true
P_TO_T,500,0.3,not_applicable,5,779,0.06327068416865553,596,182,1,0.06746152287429219,true
P_TO_T,500,0.3,not_applicable,10,779,0.008039008961518157,420,359,0,0.013656970988360662,true
P_TO_T,500,0.3,not_applicable,20,779,-0.01790893271461716,325,454,0,-0.015800595148827035,true
P_TO_V,120,0.1,not_applicable,1,794,0.1790415984174406,774,12,6,0.18440786030394873,true
P_TO_V,120,0.1,not_applicable,3,794,0.16770186335403728,770,17,6,0.17237956903291257,true
P_TO_V,120,0.1,not_applicable,5,794,0.14743589743589747,763,24,6,0.1527569677877587,true
P_TO_V,120,0.1,not_applicable,10,794,0.09886154361292482,715,72,6,0.10430294604653222,true
P_TO_V,120,0.1,not_applicable,20,794,0.01296898279832047,469,319,5,0.02179550460283916,true
P_TO_V,120,0.2,not_applicable,1,794,0.21996735815831292,781,10,2,0.2163217606741333,true
P_TO_V,120,0.2,not_applicable,3,794,0.21718466955689888,781,10,2,0.21221232126093148,true
P_TO_V,120,0.2,not_applicable,5,794,0.20516799875843875,779,12,2,0.2012903409253461,true
P_TO_V,120,0.2,not_applicable,10,794,0.15727036493051633,767,25,1,0.1589448476690568,true
P_TO_V,120,0.2,not_applicable,20,794,0.05033355752276733,584,208,1,0.05292905937590431,true
P_TO_V,120,0.3,not_applicable,1,794,0.2429366990625269,789,2,2,0.24641737772745273,true
P_TO_V,120,0.3,not_applicable,3,794,0.24683391143018474,785,7,1,0.24370354585479617,true
P_TO_V,120,0.3,not_applicable,5,794,0.23749257278669045,788,4,1,0.23378406544834307,true
P_TO_V,120,0.3,not_applicable,10,794,0.20060031501679101,782,9,2,0.19669731898803802,true
P_TO_V,120,0.3,not_applicable,20,794,0.082021978021978,673,120,0,0.08268294184074515,true
P_TO_V,250,0.1,not_applicable,1,789,0.12492219307944358,714,54,18,0.13677886125526229,true
P_TO_V,250,0.1,not_applicable,3,789,0.12179641239986068,714,54,18,0.1342995857962305,true
P_TO_V,250,0.1,not_applicable,5,789,0.1138268156424581,706,63,18,0.12458706478297316,true
P_TO_V,250,0.1,not_applicable,10,789,0.08268833849329205,660,110,17,0.09542595606270167,true
P_TO_V,250,0.1,not_applicable,20,789,0.02550324121460252,496,274,17,0.03891919074172291,true
P_TO_V,250,0.2,not_applicable,1,788,0.17669203892309684,752,21,13,0.18345055599553994,true
P_TO_V,250,0.2,not_applicable,3,788,0.18157908176293344,752,22,12,0.1860085740308875,true
P_TO_V,250,0.2,not_applicable,5,788,0.173,749,26,12,0.17736445544017004,true
P_TO_V,250,0.2,not_applicable,10,788,0.1422030583214794,738,40,9,0.14649781879741086,true
